"Step","Feb25_23-32-25_trpo_rover_TRPO - Reward / Total reward (mean)","Feb25_23-32-25_trpo_rover_TRPO - Reward / Total reward (mean)__MIN","Feb25_23-32-25_trpo_rover_TRPO - Reward / Total reward (mean)__MAX"
"13","-0.59640145","-0.59640145","-0.59640145"
"30","-0.59644675","-0.59644675","-0.59644675"
"51","0.8122732","0.8122732","0.8122732"
"64","1.5659052","1.5659052","1.5659052"
"89","1.1891596","1.1891596","1.1891596"
"102","1.1648984","1.1648984","1.1648984"
"123","1.402822","1.402822","1.402822"
"140","1.186258","1.186258","1.186258"
"161","1.2890167","1.2890167","1.2890167"
"182","1.5279142","1.5279142","1.5279142"
"199","1.197214","1.197214","1.197214"
"220","1.3262339","1.3262339","1.3262339"
"249","1.2334936","1.2334936","1.2334936"
"266","1.5078208","1.5078208","1.5078208"
"287","1.4667143","1.4667143","1.4667143"
"300","1.530861","1.530861","1.530861"
"317","1.1820563","1.1820563","1.1820563"
"338","1.539428","1.539428","1.539428"
"359","1.13875","1.13875","1.13875"
"384","1.5174266","1.5174266","1.5174266"
"397","1.1114085","1.1114085","1.1114085"
"426","1.4182882","1.4182882","1.4182882"
"435","1.4215063","1.4215063","1.4215063"
"464","1.0679353","1.0679353","1.0679353"
"477","1.3678464","1.3678464","1.3678464"
"494","1.3085957","1.3085957","1.3085957"
"523","1.3245004","1.3245004","1.3245004"
"544","1.7217052","1.7217052","1.7217052"
"553","0.58148396","0.58148396","0.58148396"
"574","1.2284968","1.2284968","1.2284968"
"595","0.9163061","0.9163061","0.9163061"
"620","1.2344748","1.2344748","1.2344748"
"641","1.2087475","1.2087475","1.2087475"
"662","1.5822537","1.5822537","1.5822537"
"671","1.061698","1.061698","1.061698"
"692","1.3047899","1.3047899","1.3047899"
"713","1.5833267","1.5833267","1.5833267"
"730","1.4251926","1.4251926","1.4251926"
"759","1.3626652","1.3626652","1.3626652"
"780","0.93334013","0.93334013","0.93334013"
"789","1.6021224","1.6021224","1.6021224"
"810","1.1188575","1.1188575","1.1188575"
"839","1.5477943","1.5477943","1.5477943"
"848","0.8113569","0.8113569","0.8113569"
"869","1.4535536","1.4535536","1.4535536"
"890","1.0969474","1.0969474","1.0969474"
"907","1.31371","1.31371","1.31371"
"928","1.0197432","1.0197432","1.0197432"
"949","1.2011069","1.2011069","1.2011069"
"966","1.5146003","1.5146003","1.5146003"
"995","1.3255445","1.3255445","1.3255445"
"1008","1.4493301","1.4493301","1.4493301"
"1033","1.2875443","1.2875443","1.2875443"
"1046","1.2535901","1.2535901","1.2535901"
"1067","0.8734665","0.8734665","0.8734665"
"1092","1.2008547","1.2008547","1.2008547"
"1113","1.5531232","1.5531232","1.5531232"
"1126","1.509816","1.509816","1.509816"
"1151","1.1666417","1.1666417","1.1666417"
"1164","1.2460699","1.2460699","1.2460699"
"1185","1.0694315","1.0694315","1.0694315"
"1202","1.1045197","1.1045197","1.1045197"
"1223","1.4600714","1.4600714","1.4600714"
"1252","1.2538435","1.2538435","1.2538435"
"1261","1.3922935","1.3922935","1.3922935"
"1290","1.1710913","1.1710913","1.1710913"
"1303","1.3486426","1.3486426","1.3486426"
"1320","1.056547","1.056547","1.056547"
"1341","1.3352381","1.3352381","1.3352381"
"1362","1.2076106","1.2076106","1.2076106"
"1387","1.2401093","1.2401093","1.2401093"
"1408","1.500524","1.500524","1.500524"
"1429","1.4538928","1.4538928","1.4538928"
"1438","1.0733814","1.0733814","1.0733814"
"1459","1.2216854","1.2216854","1.2216854"
"1480","1.5685002","1.5685002","1.5685002"
"1497","1.1592017","1.1592017","1.1592017"
"1526","1.2374959","1.2374959","1.2374959"
"1539","1.4910816","1.4910816","1.4910816"
"1564","1.5255278","1.5255278","1.5255278"
"1585","1.4762084","1.4762084","1.4762084"
"1606","1.2855158","1.2855158","1.2855158"
"1615","0.9320965","0.9320965","0.9320965"
"1636","1.287074","1.287074","1.287074"
"1657","0.7581309","0.7581309","0.7581309"
"1674","1.2898918","1.2898918","1.2898918"
"1695","1.3265287","1.3265287","1.3265287"
"1716","1.6349107","1.6349107","1.6349107"
"1733","1.2875022","1.2875022","1.2875022"
"1762","1.5373865","1.5373865","1.5373865"
"1775","1.1110872","1.1110872","1.1110872"
"1792","1.40605","1.40605","1.40605"
"1821","1.3136474","1.3136474","1.3136474"
"1842","1.4686441","1.4686441","1.4686441"
"1851","1.3818706","1.3818706","1.3818706"
"1872","1.1988658","1.1988658","1.1988658"
"1893","1.6337819","1.6337819","1.6337819"
"1910","1.3565276","1.3565276","1.3565276"
"1939","1.3387069","1.3387069","1.3387069"
"1952","1.1494277","1.1494277","1.1494277"
"1969","1.4454315","1.4454315","1.4454315"
"1990","0.99250317","0.99250317","0.99250317"
"2019","1.4423146","1.4423146","1.4423146"
"2028","1.4629939","1.4629939","1.4629939"
"2057","1.5701007","1.5701007","1.5701007"
"2070","1.3479195","1.3479195","1.3479195"
"2087","1.2960458","1.2960458","1.2960458"
"2116","1.2920399","1.2920399","1.2920399"
"2137","1.5404195","1.5404195","1.5404195"
"2146","1.3948258","1.3948258","1.3948258"
"2167","1.2842238","1.2842238","1.2842238"
"2196","1.1255803","1.1255803","1.1255803"
"2205","1.5729322","1.5729322","1.5729322"
"2234","1.1513755","1.1513755","1.1513755"
"2247","1.3626161","1.3626161","1.3626161"
"2264","1.4223882","1.4223882","1.4223882"
"2285","1.4021343","1.4021343","1.4021343"
"2306","1.2095152","1.2095152","1.2095152"
"2323","1.1714553","1.1714553","1.1714553"
"2344","1.0660065","1.0660065","1.0660065"
"2365","1.1507616","1.1507616","1.1507616"
"2382","1.2854645","1.2854645","1.2854645"
"2403","1.4760593","1.4760593","1.4760593"
"2432","1.4079117","1.4079117","1.4079117"
"2441","1.5138942","1.5138942","1.5138942"
"2470","1.3610723","1.3610723","1.3610723"
"2483","1.6382817","1.6382817","1.6382817"
"2500","1.3019009","1.3019009","1.3019009"
"2529","1.210691","1.210691","1.210691"
"2550","1.4174868","1.4174868","1.4174868"
"2559","1.1345627","1.1345627","1.1345627"
"2580","1.3408691","1.3408691","1.3408691"
"2609","1.3618097","1.3618097","1.3618097"
"2618","1.3336527","1.3336527","1.3336527"
"2639","0.68965966","0.68965966","0.68965966"
"2660","1.2483021","1.2483021","1.2483021"
"2685","1.4364957","1.4364957","1.4364957"
"2706","1.1474096","1.1474096","1.1474096"
"2727","1.1832268","1.1832268","1.1832268"
"2744","1.4014513","1.4014513","1.4014513"
"2765","1.2950991","1.2950991","1.2950991"
"2778","1.5013459","1.5013459","1.5013459"
"2795","1.1095616","1.1095616","1.1095616"
"2816","1.1295016","1.1295016","1.1295016"
"2845","1.1501795","1.1501795","1.1501795"
"2854","1.3715546","1.3715546","1.3715546"
"2883","1.2959574","1.2959574","1.2959574"
"2904","1.4463313","1.4463313","1.4463313"
"2913","1.3091617","1.3091617","1.3091617"
"2934","1.2970878","1.2970878","1.2970878"
"2955","1.1149546","1.1149546","1.1149546"
"2980","0.8011806","0.8011806","0.8011806"
"3001","1.5662941","1.5662941","1.5662941"
"3014","1.3443561","1.3443561","1.3443561"
"3031","1.5550307","1.5550307","1.5550307"
"3052","1.3874867","1.3874867","1.3874867"
"3073","1.4263569","1.4263569","1.4263569"
"3090","1.5338441","1.5338441","1.5338441"
"3111","1.49243","1.49243","1.49243"
"3132","1.5006192","1.5006192","1.5006192"
"3157","1.1446911","1.1446911","1.1446911"
"3178","1.6222249","1.6222249","1.6222249"
"3191","1.4019462","1.4019462","1.4019462"
"3216","1.1164135","1.1164135","1.1164135"
"3237","1.1191145","1.1191145","1.1191145"
"3258","1.2034414","1.2034414","1.2034414"
"3267","1.2009602","1.2009602","1.2009602"
"3288","1.6501477","1.6501477","1.6501477"
"3317","1.3663406","1.3663406","1.3663406"
"3334","1.3362072","1.3362072","1.3362072"
"3347","1.3543538","1.3543538","1.3543538"
"3376","1.0164733","1.0164733","1.0164733"
"3393","1.3843307","1.3843307","1.3843307"
"3414","1.3637977","1.3637977","1.3637977"
