"Step","Feb25_16-58-57_trpo_rover_TRPO - Reward / Total reward (mean)","Feb25_16-58-57_trpo_rover_TRPO - Reward / Total reward (mean)__MIN","Feb25_16-58-57_trpo_rover_TRPO - Reward / Total reward (mean)__MAX"
"13","-0.59656733","-0.59656733","-0.59656733"
"30","-0.593112","-0.593112","-0.593112"
"51","0.7030914","0.7030914","0.7030914"
"64","1.632592","1.632592","1.632592"
"89","0.6958938","0.6958938","0.6958938"
"110","1.362136","1.362136","1.362136"
"123","1.4971025","1.4971025","1.4971025"
"148","1.3399801","1.3399801","1.3399801"
"169","1.3819478","1.3819478","1.3819478"
"190","1.3868306","1.3868306","1.3868306"
"199","0.9485708","0.9485708","0.9485708"
"220","1.3944091","1.3944091","1.3944091"
"241","1.5248947","1.5248947","1.5248947"
"258","1.4357368","1.4357368","1.4357368"
"287","1.039665","1.039665","1.039665"
"308","1.2482213","1.2482213","1.2482213"
"325","1.1176215","1.1176215","1.1176215"
"338","1.643298","1.643298","1.643298"
"359","1.6233354","1.6233354","1.6233354"
"384","1.2230325","1.2230325","1.2230325"
"405","1.3878847","1.3878847","1.3878847"
"418","1.0217174","1.0217174","1.0217174"
"435","1.3136942","1.3136942","1.3136942"
"456","1.3426046","1.3426046","1.3426046"
"477","1.2687678","1.2687678","1.2687678"
"494","1.1919705","1.1919705","1.1919705"
"515","1.3915839","1.3915839","1.3915839"
"536","1.1800535","1.1800535","1.1800535"
"553","1.1310796","1.1310796","1.1310796"
"582","1.4439008","1.4439008","1.4439008"
"603","1.120436","1.120436","1.120436"
"612","1.5619475","1.5619475","1.5619475"
"641","1.4662249","1.4662249","1.4662249"
"654","1.3685573","1.3685573","1.3685573"
"679","1.5960395","1.5960395","1.5960395"
"692","0.8306646","0.8306646","0.8306646"
"721","1.3377328","1.3377328","1.3377328"
"730","1.3463864","1.3463864","1.3463864"
"751","1.0901574","1.0901574","1.0901574"
"780","0.8700795","0.8700795","0.8700795"
"797","1.3712866","1.3712866","1.3712866"
"818","1.2120308","1.2120308","1.2120308"
"839","1.2359605","1.2359605","1.2359605"
"848","1.2534653","1.2534653","1.2534653"
"869","1.1377507","1.1377507","1.1377507"
"898","0.9492124","0.9492124","0.9492124"
"907","0.93617064","0.93617064","0.93617064"
"928","1.1944959","1.1944959","1.1944959"
"957","1.4492415","1.4492415","1.4492415"
"966","1.0431525","1.0431525","1.0431525"
"995","1.1543462","1.1543462","1.1543462"
"1008","1.2926842","1.2926842","1.2926842"
"1033","1.1249008","1.1249008","1.1249008"
"1046","1.250061","1.250061","1.250061"
"1067","1.3212863","1.3212863","1.3212863"
"1092","1.0821577","1.0821577","1.0821577"
"1105","1.1368672","1.1368672","1.1368672"
"1126","1.1519343","1.1519343","1.1519343"
"1151","1.1277615","1.1277615","1.1277615"
"1164","1.3169672","1.3169672","1.3169672"
"1193","1.2131461","1.2131461","1.2131461"
"1202","1.4062065","1.4062065","1.4062065"
"1231","1.469702","1.469702","1.469702"
"1252","1.3832313","1.3832313","1.3832313"
"1261","1.4119345","1.4119345","1.4119345"
"1290","0.98018503","0.98018503","0.98018503"
"1303","1.2590909","1.2590909","1.2590909"
