"Step","Feb25_09-46-53_trpo_rover_TRPO - Reward / Total reward (mean)","Feb25_09-46-53_trpo_rover_TRPO - Reward / Total reward (mean)__MIN","Feb25_09-46-53_trpo_rover_TRPO - Reward / Total reward (mean)__MAX"
"2825","0.18030289","0.18030289","0.18030289"
"2846","0.17612526","0.17612526","0.17612526"
"2878","0.23051344","0.23051344","0.23051344"
"2899","0.03265794","0.03265794","0.03265794"
"2920","0.13016205","0.13016205","0.13016205"
"2937","0.49520588","0.49520588","0.49520588"
"2958","0.36295885","0.36295885","0.36295885"
"2979","0.1425655","0.1425655","0.1425655"
"2996","-0.014481603","-0.014481603","-0.014481603"
"3017","0.38319683","0.38319683","0.38319683"
"3038","0.2855842","0.2855842","0.2855842"
"3055","0.10019932","0.10019932","0.10019932"
"3076","0.44524455","0.44524455","0.44524455"
"3097","-0.22192097","-0.22192097","-0.22192097"
"3114","0.7673791","0.7673791","0.7673791"
"3127","0.10527062","0.10527062","0.10527062"
"3156","0.25287682","0.25287682","0.25287682"
"3173","0.20122883","0.20122883","0.20122883"
"3194","-0.19860204","-0.19860204","-0.19860204"
"3215","0.09284517","0.09284517","0.09284517"
"3232","-0.5397596","-0.5397596","-0.5397596"
"3253","0.59641486","0.59641486","0.59641486"
"3274","0.09146111","0.09146111","0.09146111"
"3291","0.17141883","0.17141883","0.17141883"
"3312","0.20427983","0.20427983","0.20427983"
"3333","-0.052087996","-0.052087996","-0.052087996"
"3350","-0.0063329483","-0.0063329483","-0.0063329483"
"3371","0.08891876","0.08891876","0.08891876"
"3392","0.115584396","0.115584396","0.115584396"
"3409","0.19475575","0.19475575","0.19475575"
"3430","-0.072479896","-0.072479896","-0.072479896"
"3451","0.08034131","0.08034131","0.08034131"
"3468","-0.0028302951","-0.0028302951","-0.0028302951"
"3489","0.7061439","0.7061439","0.7061439"
"3510","-0.15867577","-0.15867577","-0.15867577"
"3527","0.06800109","0.06800109","0.06800109"
"3548","0.14637963","0.14637963","0.14637963"
"3569","0.27124763","0.27124763","0.27124763"
"3586","0.12125927","0.12125927","0.12125927"
"3607","0.045722183","0.045722183","0.045722183"
"3628","0.09629037","0.09629037","0.09629037"
"3645","0.10528261","0.10528261","0.10528261"
"3666","0.03967003","0.03967003","0.03967003"
"3687","0.07292129","0.07292129","0.07292129"
"3704","0.1294799","0.1294799","0.1294799"
"3725","0.1780674","0.1780674","0.1780674"
"3746","0.09864447","0.09864447","0.09864447"
"3763","0.03222859","0.03222859","0.03222859"
"3784","-0.06658138","-0.06658138","-0.06658138"
"3805","0.031186422","0.031186422","0.031186422"
"3822","0.119875446","0.119875446","0.119875446"
"3843","0.78694","0.78694","0.78694"
