"Step","Feb14_07-51-54_PPO - Episode / Total timesteps (mean)","Feb14_07-51-54_PPO - Episode / Total timesteps (mean)__MIN","Feb14_07-51-54_PPO - Episode / Total timesteps (mean)__MAX"
"2989","118.25068","118.25068","118.25068"
"3009","116.42547","116.42547","116.42547"
"3029","118.73217","118.73217","118.73217"
"3054","117.20347","117.20347","117.20347"
"3066","129.08113","129.08113","129.08113"
"3086","153.70311","153.70311","153.70311"
"3111","136.98337","136.98337","136.98337"
"3123","112.23705","112.23705","112.23705"
"3151","112.40662","112.40662","112.40662"
"3168","118.95353","118.95353","118.95353"
"3188","116.8686","116.8686","116.8686"
"3208","123.467155","123.467155","123.467155"
"3225","102.05216","102.05216","102.05216"
"3237","115.52659","115.52659","115.52659"
"3257","162.45024","162.45024","162.45024"
"3282","105.16928","105.16928","105.16928"
"3294","137.71304","137.71304","137.71304"
"3314","111.482346","111.482346","111.482346"
"3339","125.56742","125.56742","125.56742"
"3351","114.38002","114.38002","114.38002"
"3371","143.24779","143.24779","143.24779"
"3388","110.584335","110.584335","110.584335"
"3408","116.59776","116.59776","116.59776"
"3428","117.82236","117.82236","117.82236"
"3445","111.61493","111.61493","111.61493"
"3465","109.921135","109.921135","109.921135"
"3485","138.27426","138.27426","138.27426"
"3502","115.5092","115.5092","115.5092"
"3530","130.20613","130.20613","130.20613"
"3550","121.960434","121.960434","121.960434"
"3559","112.72312","112.72312","112.72312"
"3579","132.38467","132.38467","132.38467"
"3607","165.24887","165.24887","165.24887"
"3624","128.57567","128.57567","128.57567"
"3636","117.83883","117.83883","117.83883"
"3656","143.57242","143.57242","143.57242"
"3673","131.83769","131.83769","131.83769"
"3693","122.546875","122.546875","122.546875"
"3713","125.27028","125.27028","125.27028"
"3730","123.77441","123.77441","123.77441"
"3758","119.85851","119.85851","119.85851"
"3770","116.41415","116.41415","116.41415"
"3795","109.34718","109.34718","109.34718"
"3807","115.60248","115.60248","115.60248"
"3835","118.82516","118.82516","118.82516"
"3844","116.4506","116.4506","116.4506"
"3864","119.67553","119.67553","119.67553"
"3892","129.55923","129.55923","129.55923"
"3901","134.39099","134.39099","134.39099"
"3921","114.18838","114.18838","114.18838"
"3941","119.8027","119.8027","119.8027"
"3958","155.44661","155.44661","155.44661"
"3978","119.43527","119.43527","119.43527"
"3998","117.64596","117.64596","117.64596"
"4015","158.00291","158.00291","158.00291"
"4035","116.34863","116.34863","116.34863"
"4063","118.06521","118.06521","118.06521"
"4080","140.56657","140.56657","140.56657"
"4100","123.54561","123.54561","123.54561"
"4112","115.36913","115.36913","115.36913"
"4129","107.21642","107.21642","107.21642"
"4149","110.75632","110.75632","110.75632"
"4169","116.690094","116.690094","116.690094"
"4194","124.57331","124.57331","124.57331"
"4206","114.145905","114.145905","114.145905"
"4234","105.60404","105.60404","105.60404"
"4251","116.43488","116.43488","116.43488"
"4263","122.69045","122.69045","122.69045"
"4283","114.73424","114.73424","114.73424"
"4308","114.20274","114.20274","114.20274"
"4320","110.83881","110.83881","110.83881"
"4340","115.76007","115.76007","115.76007"
"4357","137.79501","137.79501","137.79501"
"4377","117.04904","117.04904","117.04904"
"4397","104.48508","104.48508","104.48508"
"4414","116.13287","116.13287","116.13287"
"4434","115.04182","115.04182","115.04182"
"4462","108.1506","108.1506","108.1506"
"4471","115.97863","115.97863","115.97863"
"4491","135.37766","135.37766","135.37766"
"4519","104.20182","104.20182","104.20182"
"4528","107.72168","107.72168","107.72168"
"4548","115.93985","115.93985","115.93985"
"4568","103.45887","103.45887","103.45887"
"4585","131.0593","131.0593","131.0593"
"4605","112.2011","112.2011","112.2011"
"4625","110.244965","110.244965","110.244965"
"4642","123.303345","123.303345","123.303345"
"4662","113.577324","113.577324","113.577324"
"4682","115.399666","115.399666","115.399666"
"4699","112.0535","112.0535","112.0535"
"4719","109.77713","109.77713","109.77713"
"4739","108.68228","108.68228","108.68228"
"4756","115.52637","115.52637","115.52637"
"4776","118.80006","118.80006","118.80006"
"4804","107.91719","107.91719","107.91719"
"4813","133.37727","133.37727","133.37727"
"4841","116.044395","116.044395","116.044395"
"4853","117.093155","117.093155","117.093155"
"4870","113.249","113.249","113.249"
"4890","112.48318","112.48318","112.48318"
"4910","111.650475","111.650475","111.650475"
"4927","123.15774","123.15774","123.15774"
"4955","113.443405","113.443405","113.443405"
"4975","104.49672","104.49672","104.49672"
"4984","122.636154","122.636154","122.636154"
"5012","119.89575","119.89575","119.89575"
"5024","120.40227","120.40227","120.40227"
"5041","124.106064","124.106064","124.106064"
"5069","112.72073","112.72073","112.72073"
"5081","132.40262","132.40262","132.40262"
"5098","130.9981","130.9981","130.9981"
"5118","116.78985","116.78985","116.78985"
"5138","126.43296","126.43296","126.43296"
"5155","139.4853","139.4853","139.4853"
"5175","115.46346","115.46346","115.46346"
"5203","115.7173","115.7173","115.7173"
"5212","113.128784","113.128784","113.128784"
"5232","127.77204","127.77204","127.77204"
"5252","118.626434","118.626434","118.626434"
"5277","118.51044","118.51044","118.51044"
"5289","153.15631","153.15631","153.15631"
"5309","106.353615","106.353615","106.353615"
"5326","134.7828","134.7828","134.7828"
"5346","112.77713","112.77713","112.77713"
"5366","124.84163","124.84163","124.84163"
"5383","119.3805","119.3805","119.3805"
"5403","123.937225","123.937225","123.937225"
"5423","111.98926","111.98926","111.98926"
"5448","124.48558","124.48558","124.48558"
"5460","108.17402","108.17402","108.17402"
"5480","122.04075","122.04075","122.04075"
"5505","123.12126","123.12126","123.12126"
"5517","121.40409","121.40409","121.40409"
"5537","115.20524","115.20524","115.20524"
"5554","125.077705","125.077705","125.077705"
"5582","126.614136","126.614136","126.614136"
"5594","113.2603","113.2603","113.2603"
"5611","111.05002","111.05002","111.05002"
"5631","119.42242","119.42242","119.42242"
"5659","115.1243","115.1243","115.1243"
"5668","127.54924","127.54924","127.54924"
"5696","115.4498","115.4498","115.4498"
"5716","115.56832","115.56832","115.56832"
"5725","113.21346","113.21346","113.21346"
"5753","124.56791","124.56791","124.56791"
"5773","120.03244","120.03244","120.03244"
"5782","117.12698","117.12698","117.12698"
"5802","139.1171","139.1171","139.1171"
"5822","118.05889","118.05889","118.05889"
"5839","160.7846","160.7846","160.7846"
"5859","118.29626","118.29626","118.29626"
"5887","106.247116","106.247116","106.247116"
"5904","114.81105","114.81105","114.81105"
"5916","133.16869","133.16869","133.16869"
"5936","127.814156","127.814156","127.814156"
"5953","144.89346","144.89346","144.89346"
"5973","107.17212","107.17212","107.17212"
"6001","120.29901","120.29901","120.29901"
"6018","127.82147","127.82147","127.82147"
"6038","111.70506","111.70506","111.70506"
"6050","110.025826","110.025826","110.025826"
"6075","146.71628","146.71628","146.71628"
"6095","114.0572","114.0572","114.0572"
"6107","116.90974","116.90974","116.90974"
"6124","123.44299","123.44299","123.44299"
"6152","122.90287","122.90287","122.90287"
"6164","112.96226","112.96226","112.96226"
"6189","145.48503","145.48503","145.48503"
"6201","126.40642","126.40642","126.40642"
"6221","108.081985","108.081985","108.081985"
"6246","122.36315","122.36315","122.36315"
"6266","109.78288","109.78288","109.78288"
"6278","108.586945","108.586945","108.586945"
"6295","119.74943","119.74943","119.74943"
"6315","122.66058","122.66058","122.66058"
"6335","129.40933","129.40933","129.40933"
"6352","120.65344","120.65344","120.65344"
"6372","129.6838","129.6838","129.6838"
"6400","114.9019","114.9019","114.9019"
"6409","161.1312","161.1312","161.1312"
"6437","119.843155","119.843155","119.843155"
"6449","116.28509","116.28509","116.28509"
"6466","124.52824","124.52824","124.52824"
"6486","112.16763","112.16763","112.16763"
"6506","126.21808","126.21808","126.21808"
"6523","116.17918","116.17918","116.17918"
"6543","117.09735","117.09735","117.09735"
"6563","116.80518","116.80518","116.80518"
"6580","115.9891","115.9891","115.9891"
"6600","110.92698","110.92698","110.92698"
"6628","124.409","124.409","124.409"
"6637","119.68941","119.68941","119.68941"
"6657","127.059494","127.059494","127.059494"
"6677","110.084274","110.084274","110.084274"
"6702","151.4573","151.4573","151.4573"
"6714","119.83935","119.83935","119.83935"
"6742","170.52022","170.52022","170.52022"
"6759","132.43259","132.43259","132.43259"
"6771","123.25467","123.25467","123.25467"
"6791","121.91914","121.91914","121.91914"
"6816","118.93149","118.93149","118.93149"
"6828","130.7331","130.7331","130.7331"
"6848","127.1126","127.1126","127.1126"
"6865","140.63779","140.63779","140.63779"
"6885","108.61633","108.61633","108.61633"
"6905","101.73235","101.73235","101.73235"
"6930","153.98897","153.98897","153.98897"
"6950","119.92666","119.92666","119.92666"
"6962","112.880066","112.880066","112.880066"
"6987","128.34427","128.34427","128.34427"
"7007","131.91325","131.91325","131.91325"
"7027","116.85473","116.85473","116.85473"
"7044","122.42075","122.42075","122.42075"
"7064","112.53863","112.53863","112.53863"
"7076","117.53563","117.53563","117.53563"
"7093","119.93298","119.93298","119.93298"
"7113","123.3998","123.3998","123.3998"
"7133","121.20308","121.20308","121.20308"
"7150","119.07944","119.07944","119.07944"
"7170","133.43874","133.43874","133.43874"
"7190","116.85749","116.85749","116.85749"
"7207","126.096825","126.096825","126.096825"
"7227","125.4908","125.4908","125.4908"
"7247","110.6488","110.6488","110.6488"
"7264","174.3388","174.3388","174.3388"
"7284","144.79836","144.79836","144.79836"
"7304","150.0187","150.0187","150.0187"
"7329","112.62296","112.62296","112.62296"
"7341","126.69147","126.69147","126.69147"
"7369","165.48622","165.48622","165.48622"
"7378","123.77065","123.77065","123.77065"
"7406","159.19734","159.19734","159.19734"
"7418","111.40166","111.40166","111.40166"
"7435","141.14925","141.14925","141.14925"
"7455","118.42735","118.42735","118.42735"
"7475","115.64654","115.64654","115.64654"
"7492","119.789856","119.789856","119.789856"
"7512","113.2948","113.2948","113.2948"
"7532","122.94025","122.94025","122.94025"
"7557","137.60873","137.60873","137.60873"
"7577","155.06624","155.06624","155.06624"
"7589","146.60883","146.60883","146.60883"
"7614","150.02756","150.02756","150.02756"
"7626","134.2985","134.2985","134.2985"
"7646","112.624466","112.624466","112.624466"
"7663","132.43864","132.43864","132.43864"
"7683","157.12503","157.12503","157.12503"
"7703","119.75856","119.75856","119.75856"
"7720","169.4968","169.4968","169.4968"
"7740","137.61577","137.61577","137.61577"
"7760","137.67448","137.67448","137.67448"
"7777","123.773476","123.773476","123.773476"
"7797","134.70845","134.70845","134.70845"
"7817","115.92278","115.92278","115.92278"
"7834","140.96806","140.96806","140.96806"
"7854","137.86792","137.86792","137.86792"
"7874","128.40657","128.40657","128.40657"
"7891","145.87915","145.87915","145.87915"
"7911","130.95053","130.95053","130.95053"
"7931","128.6701","128.6701","128.6701"
"7948","122.12819","122.12819","122.12819"
"7968","133.72383","133.72383","133.72383"
"7996","165.56871","165.56871","165.56871"
"8005","118.68944","118.68944","118.68944"
"8033","140.38574","140.38574","140.38574"
"8053","127.7708","127.7708","127.7708"
"8062","146.25227","146.25227","146.25227"
"8082","158.70413","158.70413","158.70413"
"8110","123.411865","123.411865","123.411865"
"8127","131.0273","131.0273","131.0273"
"8139","126.92846","126.92846","126.92846"
"8167","141.02078","141.02078","141.02078"
"8176","158.49104","158.49104","158.49104"
"8196","132.95396","132.95396","132.95396"
"8216","140.25642","140.25642","140.25642"
"8233","153.24574","153.24574","153.24574"
"8261","128.32936","128.32936","128.32936"
"8281","149.73422","149.73422","149.73422"
"8298","159.32681","159.32681","159.32681"
"8318","166.97295","166.97295","166.97295"
"8330","127.56417","127.56417","127.56417"
"8355","128.98683","128.98683","128.98683"
"8375","123.112526","123.112526","123.112526"
"8387","140.4944","140.4944","140.4944"
"8412","132.78522","132.78522","132.78522"
"8432","181.19395","181.19395","181.19395"
"8452","132.7626","132.7626","132.7626"
"8461","124.81105","124.81105","124.81105"
"8481","149.23267","149.23267","149.23267"
"8501","124.38076","124.38076","124.38076"
"8518","164.60486","164.60486","164.60486"
"8538","124.03931","124.03931","124.03931"
"8566","122.1579","122.1579","122.1579"
"8575","162.89407","162.89407","162.89407"
"8603","195.59691","195.59691","195.59691"
"8623","162.11316","162.11316","162.11316"
"8640","143.32106","143.32106","143.32106"
"8652","127.41438","127.41438","127.41438"
"8680","123.275154","123.275154","123.275154"
"8689","129.19283","129.19283","129.19283"
"8717","135.97337","135.97337","135.97337"
"8737","138.1907","138.1907","138.1907"
"8746","123.2609","123.2609","123.2609"
"8766","133.79578","133.79578","133.79578"
"8794","120.00488","120.00488","120.00488"
"8803","127.72664","127.72664","127.72664"
"8823","159.14651","159.14651","159.14651"
"8843","127.986916","127.986916","127.986916"
"8868","135.77304","135.77304","135.77304"
"8880","146.99898","146.99898","146.99898"
"8900","145.80035","145.80035","145.80035"
"8917","149.33429","149.33429","149.33429"
"8945","194.2005","194.2005","194.2005"
"8957","134.67915","134.67915","134.67915"
"8974","141.41814","141.41814","141.41814"
"9002","123.36232","123.36232","123.36232"
"9014","136.95825","136.95825","136.95825"
"9039","124.036","124.036","124.036"
"9051","129.54861","129.54861","129.54861"
"9079","122.275055","122.275055","122.275055"
"9088","138.41255","138.41255","138.41255"
"9116","145.12985","145.12985","145.12985"
"9128","128.97215","128.97215","128.97215"
"9145","147.81593","147.81593","147.81593"
"9173","125.17659","125.17659","125.17659"
"9193","173.14487","173.14487","173.14487"
"9202","128.06053","128.06053","128.06053"
"9230","138.06851","138.06851","138.06851"
"9242","112.83449","112.83449","112.83449"
"9267","122.61414","122.61414","122.61414"
