"Step","Feb12_13-57-10_PPO - Episode / Total timesteps (mean)","Feb12_13-57-10_PPO - Episode / Total timesteps (mean)__MIN","Feb12_13-57-10_PPO - Episode / Total timesteps (mean)__MAX"
"16","25","25","25"
"36","64.80556","64.80556","64.80556"
"45","55.675","55.675","55.675"
"73","143.8","143.8","143.8"
"90","180.28638","180.28638","180.28638"
"110","212.88762","212.88762","212.88762"
"122","244.63179","244.63179","244.63179"
"147","249.82115","249.82115","249.82115"
"167","310.82104","310.82104","310.82104"
"187","351.11365","351.11365","351.11365"
"204","341.61917","341.61917","341.61917"
"216","406.66956","406.66956","406.66956"
"244","122.633514","122.633514","122.633514"
"261","456.62357","456.62357","456.62357"
"273","420.0104","420.0104","420.0104"
"301","335.4572","335.4572","335.4572"
"318","319.9596","319.9596","319.9596"
"338","429.58682","429.58682","429.58682"
"358","365.12592","365.12592","365.12592"
"375","316.98737","316.98737","316.98737"
"395","293.84702","293.84702","293.84702"
"415","326.97098","326.97098","326.97098"
"432","324.4606","324.4606","324.4606"
"444","337.60336","337.60336","337.60336"
"464","229.46797","229.46797","229.46797"
"481","238.84355","238.84355","238.84355"
"501","320.6986","320.6986","320.6986"
"521","289.5137","289.5137","289.5137"
"546","249.31235","249.31235","249.31235"
"558","326.8904","326.8904","326.8904"
"586","249.59084","249.59084","249.59084"
"603","218.2794","218.2794","218.2794"
"623","251.78592","251.78592","251.78592"
"643","422.6498","422.6498","422.6498"
"652","325.08633","325.08633","325.08633"
"680","289.03726","289.03726","289.03726"
"692","220.28288","220.28288","220.28288"
"709","264.26233","264.26233","264.26233"
"737","250.28967","250.28967","250.28967"
"757","304.94733","304.94733","304.94733"
"774","267.01395","267.01395","267.01395"
"794","293.30453","293.30453","293.30453"
"806","307.1567","307.1567","307.1567"
"831","397.7846","397.7846","397.7846"
"851","229.19763","229.19763","229.19763"
"871","450.22632","450.22632","450.22632"
"888","346.84186","346.84186","346.84186"
"908","382.93542","382.93542","382.93542"
"928","271.61273","271.61273","271.61273"
"945","369.86374","369.86374","369.86374"
"965","305.26666","305.26666","305.26666"
"977","267.68338","267.68338","267.68338"
"1002","385.4736","385.4736","385.4736"
"1014","435.03168","435.03168","435.03168"
"1034","359.63895","359.63895","359.63895"
"1059","425.34958","425.34958","425.34958"
"1079","450.40433","450.40433","450.40433"
"1099","274.77707","274.77707","274.77707"
"1116","320.62732","320.62732","320.62732"
"1136","271.7399","271.7399","271.7399"
"1156","359.59085","359.59085","359.59085"
"1173","250.11034","250.11034","250.11034"
"1185","295.28394","295.28394","295.28394"
"1213","281.48193","281.48193","281.48193"
"1230","423.959","423.959","423.959"
"1242","467.2028","467.2028","467.2028"
"1270","294.0057","294.0057","294.0057"
"1287","417.08798","417.08798","417.08798"
"1307","590.1586","590.1586","590.1586"
