"Step","Feb13_16-07-32_PPO - Episode / Total timesteps (mean)","Feb13_16-07-32_PPO - Episode / Total timesteps (mean)__MIN","Feb13_16-07-32_PPO - Episode / Total timesteps (mean)__MAX"
"16","31","31","31"
"33","49.959595","49.959595","49.959595"
"53","102.31043","102.31043","102.31043"
"65","129.27919","129.27919","129.27919"
"90","153.52916","153.52916","153.52916"
"110","119.814445","119.814445","119.814445"
"122","132.38777","132.38777","132.38777"
"139","134.46053","134.46053","134.46053"
"159","125.292274","125.292274","125.292274"
"187","141.97343","141.97343","141.97343"
"204","134.1882","134.1882","134.1882"
"216","148.59392","148.59392","148.59392"
"236","150.82475","150.82475","150.82475"
"261","135.7452","135.7452","135.7452"
"273","157.48346","157.48346","157.48346"
"301","148.43","148.43","148.43"
"318","123.39639","123.39639","123.39639"
"330","137.62613","137.62613","137.62613"
"350","147.92691","147.92691","147.92691"
"375","156.76689","156.76689","156.76689"
"387","126.59891","126.59891","126.59891"
"415","140.34776","140.34776","140.34776"
"424","160.8587","160.8587","160.8587"
"444","108.29851","108.29851","108.29851"
"464","126.58038","126.58038","126.58038"
"481","130.99382","130.99382","130.99382"
"509","144.6713","144.6713","144.6713"
"521","149.2081","149.2081","149.2081"
"538","134.43747","134.43747","134.43747"
"566","126.5684","126.5684","126.5684"
"586","162.56146","162.56146","162.56146"
"603","131.15154","131.15154","131.15154"
"615","138.50499","138.50499","138.50499"
"635","127.329834","127.329834","127.329834"
"652","139.75064","139.75064","139.75064"
"680","122.114555","122.114555","122.114555"
"692","187.04628","187.04628","187.04628"
"717","123.18213","123.18213","123.18213"
"729","130.73828","130.73828","130.73828"
"749","115.11573","115.11573","115.11573"
"774","110.611465","110.611465","110.611465"
"786","181.97404","181.97404","181.97404"
"806","158.6126","158.6126","158.6126"
"823","143.8735","143.8735","143.8735"
"851","152.8998","152.8998","152.8998"
"871","128.48256","128.48256","128.48256"
"880","105.84894","105.84894","105.84894"
"900","117.61603","117.61603","117.61603"
"928","141.23581","141.23581","141.23581"
"945","159.74185","159.74185","159.74185"
"957","111.08479","111.08479","111.08479"
"977","123.88862","123.88862","123.88862"
"1002","117.27417","117.27417","117.27417"
"1014","141.10486","141.10486","141.10486"
"1034","181.5835","181.5835","181.5835"
"1051","188.83592","188.83592","188.83592"
"1079","134.35672","134.35672","134.35672"
"1091","165.26593","165.26593","165.26593"
"1108","142.23198","142.23198","142.23198"
"1136","122.239586","122.239586","122.239586"
"1156","125.89857","125.89857","125.89857"
"1165","113.93239","113.93239","113.93239"
"1185","113.06696","113.06696","113.06696"
"1205","148.63377","148.63377","148.63377"
"1222","116.3207","116.3207","116.3207"
"1242","174.1023","174.1023","174.1023"
"1262","134.96909","134.96909","134.96909"
"1279","133.02101","133.02101","133.02101"
"1299","120.9613","120.9613","120.9613"
"1319","117.073105","117.073105","117.073105"
"1336","120.120766","120.120766","120.120766"
"1356","160.74106","160.74106","160.74106"
"1384","144.38852","144.38852","144.38852"
"1393","119.95313","119.95313","119.95313"
"1421","115.806244","115.806244","115.806244"
"1441","117.75091","117.75091","117.75091"
"1450","137.87294","137.87294","137.87294"
"1470","124.51914","124.51914","124.51914"
"1490","153.1836","153.1836","153.1836"
"1515","204.68481","204.68481","204.68481"
"1535","141.05923","141.05923","141.05923"
"1547","167.91936","167.91936","167.91936"
"1564","167.30717","167.30717","167.30717"
"1592","115.47686","115.47686","115.47686"
"1604","119.25262","119.25262","119.25262"
"1621","130.18463","130.18463","130.18463"
"1649","194.6738","194.6738","194.6738"
"1661","117.56611","117.56611","117.56611"
"1686","125.70688","125.70688","125.70688"
"1698","125.64874","125.64874","125.64874"
"1726","118.393074","118.393074","118.393074"
"1735","134.75218","134.75218","134.75218"
"1755","115.77063","115.77063","115.77063"
"1783","134.99886","134.99886","134.99886"
"1800","118.5192","118.5192","118.5192"
"1812","114.96321","114.96321","114.96321"
"1840","150.86562","150.86562","150.86562"
"1849","135.25195","135.25195","135.25195"
"1877","200.42863","200.42863","200.42863"
"1897","106.08372","106.08372","106.08372"
"1906","118.58093","118.58093","118.58093"
"1934","151.35852","151.35852","151.35852"
"1954","132.70372","132.70372","132.70372"
"1971","131.94261","131.94261","131.94261"
"1983","119.18786","119.18786","119.18786"
"2011","112.41868","112.41868","112.41868"
"2020","130.67542","130.67542","130.67542"
"2040","128.3854","128.3854","128.3854"
"2068","112.79563","112.79563","112.79563"
"2077","114.94705","114.94705","114.94705"
"2105","127.909874","127.909874","127.909874"
"2117","117.790436","117.790436","117.790436"
"2134","111.84698","111.84698","111.84698"
"2154","115.827156","115.827156","115.827156"
"2174","117.4757","117.4757","117.4757"
"2191","171.16844","171.16844","171.16844"
"2211","116.21556","116.21556","116.21556"
"2231","132.96727","132.96727","132.96727"
"2248","126.126564","126.126564","126.126564"
"2268","150.4713","150.4713","150.4713"
"2288","113.441124","113.441124","113.441124"
"2305","115.785774","115.785774","115.785774"
"2333","118.90498","118.90498","118.90498"
"2353","106.39407","106.39407","106.39407"
"2362","120.114716","120.114716","120.114716"
"2382","137.89027","137.89027","137.89027"
"2402","139.9847","139.9847","139.9847"
"2419","131.72214","131.72214","131.72214"
"2447","112.96642","112.96642","112.96642"
"2459","113.83404","113.83404","113.83404"
"2476","131.7665","131.7665","131.7665"
"2504","108.96112","108.96112","108.96112"
"2524","134.82117","134.82117","134.82117"
"2541","108.15028","108.15028","108.15028"
"2553","129.75046","129.75046","129.75046"
"2581","114.39207","114.39207","114.39207"
"2590","115.48991","115.48991","115.48991"
"2610","124.6292","124.6292","124.6292"
"2630","116.05447","116.05447","116.05447"
"2655","140.10385","140.10385","140.10385"
"2675","116.75327","116.75327","116.75327"
"2687","183.20113","183.20113","183.20113"
"2712","149.90558","149.90558","149.90558"
"2724","105.61683","105.61683","105.61683"
"2744","124.209885","124.209885","124.209885"
"2761","124.60224","124.60224","124.60224"
"2781","129.58342","129.58342","129.58342"
"2801","132.30219","132.30219","132.30219"
"2818","108.73361","108.73361","108.73361"
"2838","124.87569","124.87569","124.87569"
"2858","124.70285","124.70285","124.70285"
"2883","121.79754","121.79754","121.79754"
"2895","109.217285","109.217285","109.217285"
"2915","112.35852","112.35852","112.35852"
"2932","124.10488","124.10488","124.10488"
"2952","115.838135","115.838135","115.838135"
"2972","118.709114","118.709114","118.709114"
"2989","131.53215","131.53215","131.53215"
"3009","116.53649","116.53649","116.53649"
"3029","111.133354","111.133354","111.133354"
"3046","118.26832","118.26832","118.26832"
"3066","120.86211","120.86211","120.86211"
"3086","129.67729","129.67729","129.67729"
"3111","144.92424","144.92424","144.92424"
"3123","118.56077","118.56077","118.56077"
"3151","115.96021","115.96021","115.96021"
"3160","118.42998","118.42998","118.42998"
"3180","122.04335","122.04335","122.04335"
"3208","122.38292","122.38292","122.38292"
"3217","122.85418","122.85418","122.85418"
"3237","121.168434","121.168434","121.168434"
"3257","133.64978","133.64978","133.64978"
