"Step","Feb25_09-46-53_trpo_rover_TRPO - Loss / Policy loss","Feb25_09-46-53_trpo_rover_TRPO - Loss / Policy loss__MIN","Feb25_09-46-53_trpo_rover_TRPO - Loss / Policy loss__MAX"
"22","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"43","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"75","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"96","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"128","3.973643e-9","3.973643e-9","3.973643e-9"
"143","-2.9802322e-8","-2.9802322e-8","-2.9802322e-8"
"181","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"202","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"234","-2.0985803e-8","-2.0985803e-8","-2.0985803e-8"
"255","9.437403e-9","9.437403e-9","9.437403e-9"
"287","-3.576279e-8","-3.576279e-8","-3.576279e-8"
"314","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"346","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"361","-2.7070444e-8","-2.7070444e-8","-2.7070444e-8"
"399","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"420","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"452","-2.9802325e-9","-2.9802325e-9","-2.9802325e-9"
"473","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"511","-1.9868216e-8","-1.9868216e-8","-1.9868216e-8"
"532","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"564","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"591","5.960465e-9","5.960465e-9","5.960465e-9"
"623","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"650","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"688","1.192093e-8","1.192093e-8","1.192093e-8"
"703","-1.9868216e-8","-1.9868216e-8","-1.9868216e-8"
"735","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"756","9.934108e-9","9.934108e-9","9.934108e-9"
"794","-7.102887e-8","-7.102887e-8","-7.102887e-8"
"809","-2.7815503e-8","-2.7815503e-8","-2.7815503e-8"
"847","-1.9868216e-8","-1.9868216e-8","-1.9868216e-8"
"868","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"906","-2.9802322e-8","-2.9802322e-8","-2.9802322e-8"
"927","-5.861124e-8","-5.861124e-8","-5.861124e-8"
"965","3.973643e-9","3.973643e-9","3.973643e-9"
"986","-2.9802322e-8","-2.9802322e-8","-2.9802322e-8"
"1024","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"1045","0","0","0"
"1071","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"1098","-8.543333e-8","-8.543333e-8","-8.543333e-8"
"1130","-1.06294955e-7","-1.06294955e-7","-1.06294955e-7"
"1157","-3.576279e-8","-3.576279e-8","-3.576279e-8"
"1195","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"1216","-3.1789146e-8","-3.1789146e-8","-3.1789146e-8"
"1254","-1.6887984e-8","-1.6887984e-8","-1.6887984e-8"
"1275","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"1313","8.940697e-9","8.940697e-9","8.940697e-9"
"1334","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"1372","9.934108e-10","9.934108e-10","9.934108e-10"
"1393","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"1425","-2.384186e-8","-2.384186e-8","-2.384186e-8"
"1446","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"1484","-8.344651e-8","-8.344651e-8","-8.344651e-8"
"1505","-2.483527e-9","-2.483527e-9","-2.483527e-9"
"1543","-2.384186e-8","-2.384186e-8","-2.384186e-8"
"1564","-1.9868216e-8","-1.9868216e-8","-1.9868216e-8"
"1602","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"1623","0","0","0"
"1661","-3.1789146e-8","-3.1789146e-8","-3.1789146e-8"
"1682","-2.2848448e-8","-2.2848448e-8","-2.2848448e-8"
"1720","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"1741","-2.7815503e-8","-2.7815503e-8","-2.7815503e-8"
"1773","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"1794","-3.1789146e-8","-3.1789146e-8","-3.1789146e-8"
"1832","3.973643e-9","3.973643e-9","3.973643e-9"
"1853","-1.2914341e-8","-1.2914341e-8","-1.2914341e-8"
"1891","3.973643e-9","3.973643e-9","3.973643e-9"
"1912","-2.3345153e-8","-2.3345153e-8","-2.3345153e-8"
"1950","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"1971","0","0","0"
"2009","-2.384186e-8","-2.384186e-8","-2.384186e-8"
"2030","-4.0729844e-8","-4.0729844e-8","-4.0729844e-8"
"2068","-1.4901161e-8","-1.4901161e-8","-1.4901161e-8"
