"Step","Feb25_18-22-37_trpo_rover_TRPO - Loss / Policy loss","Feb25_18-22-37_trpo_rover_TRPO - Loss / Policy loss__MIN","Feb25_18-22-37_trpo_rover_TRPO - Loss / Policy loss__MAX"
"3123","-1.9868216e-8","-1.9868216e-8","-1.9868216e-8"
"3161","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"3182","-1.6887984e-8","-1.6887984e-8","-1.6887984e-8"
"3220","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"3241","-2.7815503e-8","-2.7815503e-8","-2.7815503e-8"
"3279","0","0","0"
"3300","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"3338","3.973643e-9","3.973643e-9","3.973643e-9"
"3359","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"3397","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"3418","-8.940697e-9","-8.940697e-9","-8.940697e-9"
"3456","1.5894573e-8","1.5894573e-8","1.5894573e-8"
"3477","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"3515","-8.940697e-9","-8.940697e-9","-8.940697e-9"
"3536","0","0","0"
"3574","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"3595","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"3633","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"3654","7.947286e-9","7.947286e-9","7.947286e-9"
"3692","1.4901163e-9","1.4901163e-9","1.4901163e-9"
"3713","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"3751","-2.2848448e-8","-2.2848448e-8","-2.2848448e-8"
"3772","6.9538757e-9","6.9538757e-9","6.9538757e-9"
"3810","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"3831","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"3869","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"3890","-2.384186e-8","-2.384186e-8","-2.384186e-8"
"3928","0","0","0"
"3949","-9.934108e-10","-9.934108e-10","-9.934108e-10"
"3987","0","0","0"
"4008","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"4046","-2.7815503e-8","-2.7815503e-8","-2.7815503e-8"
"4067","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"4105","3.973643e-9","3.973643e-9","3.973643e-9"
"4126","0","0","0"
"4164","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"4185","3.973643e-9","3.973643e-9","3.973643e-9"
"4223","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"4244","6.9538757e-9","6.9538757e-9","6.9538757e-9"
"4282","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"4303","-4.967054e-9","-4.967054e-9","-4.967054e-9"
"4341","3.973643e-9","3.973643e-9","3.973643e-9"
"4362","-1.9868216e-8","-1.9868216e-8","-1.9868216e-8"
"4400","7.947286e-9","7.947286e-9","7.947286e-9"
"4421","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"4459","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"4480","8.940697e-9","8.940697e-9","8.940697e-9"
"4518","1.7881394e-8","1.7881394e-8","1.7881394e-8"
"4539","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"4577","0","0","0"
"4598","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"4636","0","0","0"
"4657","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"4695","-6.9538757e-9","-6.9538757e-9","-6.9538757e-9"
"4716","2.0861627e-8","2.0861627e-8","2.0861627e-8"
"4754","0","0","0"
"4775","3.973643e-9","3.973643e-9","3.973643e-9"
"4813","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"4834","3.973643e-9","3.973643e-9","3.973643e-9"
"4872","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"4893","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"4931","2.9802325e-9","2.9802325e-9","2.9802325e-9"
"4952","3.973643e-9","3.973643e-9","3.973643e-9"
