"Step","Feb26_10-47-04_trpo_rover_TRPO - Loss / Value loss","Feb26_10-47-04_trpo_rover_TRPO - Loss / Value loss__MIN","Feb26_10-47-04_trpo_rover_TRPO - Loss / Value loss__MAX"
"35","0.021023171","0.021023171","0.021023171"
"56","0.012084366","0.012084366","0.012084366"
"94","0.022769636","0.022769636","0.022769636"
"115","0.012241098","0.012241098","0.012241098"
"153","0.009105754","0.009105754","0.009105754"
"174","0.014308637","0.014308637","0.014308637"
"212","0.008312326","0.008312326","0.008312326"
"233","0.013494344","0.013494344","0.013494344"
"271","0.008818254","0.008818254","0.008818254"
"292","0.014705721","0.014705721","0.014705721"
"330","0.014201952","0.014201952","0.014201952"
"351","0.015273578","0.015273578","0.015273578"
"389","0.015976617","0.015976617","0.015976617"
"410","0.016156146","0.016156146","0.016156146"
"448","0.014616813","0.014616813","0.014616813"
"469","0.013141744","0.013141744","0.013141744"
"507","0.014064208","0.014064208","0.014064208"
"528","0.016555607","0.016555607","0.016555607"
"566","0.015837507","0.015837507","0.015837507"
"587","0.0110052815","0.0110052815","0.0110052815"
"625","0.016936101","0.016936101","0.016936101"
"646","0.019055964","0.019055964","0.019055964"
"684","0.013871058","0.013871058","0.013871058"
"705","0.011331738","0.011331738","0.011331738"
"743","0.010080118","0.010080118","0.010080118"
"764","0.014359842","0.014359842","0.014359842"
"802","0.014443116","0.014443116","0.014443116"
"823","0.019818535","0.019818535","0.019818535"
"861","0.012339512","0.012339512","0.012339512"
"882","0.010008134","0.010008134","0.010008134"
"920","0.014556504","0.014556504","0.014556504"
"941","0.014967627","0.014967627","0.014967627"
"979","0.01158947","0.01158947","0.01158947"
"1000","0.014219021","0.014219021","0.014219021"
"1038","0.014431572","0.014431572","0.014431572"
"1059","0.012317722","0.012317722","0.012317722"
"1097","0.017892733","0.017892733","0.017892733"
"1118","0.014372601","0.014372601","0.014372601"
"1156","0.01235954","0.01235954","0.01235954"
"1177","0.022655897","0.022655897","0.022655897"
"1215","0.013088623","0.013088623","0.013088623"
"1236","0.01415095","0.01415095","0.01415095"
"1274","0.009717656","0.009717656","0.009717656"
"1295","0.017187327","0.017187327","0.017187327"
"1333","0.012243199","0.012243199","0.012243199"
"1354","0.011252393","0.011252393","0.011252393"
"1392","0.012893698","0.012893698","0.012893698"
"1413","0.01487434","0.01487434","0.01487434"
"1451","0.015462239","0.015462239","0.015462239"
"1472","0.020823594","0.020823594","0.020823594"
"1510","0.012095332","0.012095332","0.012095332"
"1531","0.015262848","0.015262848","0.015262848"
"1569","0.01728425","0.01728425","0.01728425"
"1590","0.010033681","0.010033681","0.010033681"
"1628","0.011726122","0.011726122","0.011726122"
"1649","0.018579457","0.018579457","0.018579457"
"1687","0.0102373585","0.0102373585","0.0102373585"
"1708","0.012887374","0.012887374","0.012887374"
"1746","0.014822972","0.014822972","0.014822972"
"1767","0.021950189","0.021950189","0.021950189"
"1805","0.009188977","0.009188977","0.009188977"
"1826","0.007985455","0.007985455","0.007985455"
"1864","0.017848728","0.017848728","0.017848728"
"1885","0.01473965","0.01473965","0.01473965"
"1923","0.014344888","0.014344888","0.014344888"
"1944","0.022306103","0.022306103","0.022306103"
"1982","0.014168781","0.014168781","0.014168781"
"2003","0.015699768","0.015699768","0.015699768"
