elapsed_s,r0_speed,r0_distance,r0_x,r0_y,r1_speed,r1_distance,r1_x,r1_y
0.103,,48.961,102.7841,98.9916,,34.3787,98.0699,95.2351
0.203,1.7859,48.783,102.8021,98.8137,1.613,34.2405,97.9164,95.1847
0.303,1.6966,48.783,102.8021,98.8137,1.5323,34.2405,97.9164,95.1847
0.403,1.6118,48.783,102.8021,98.8137,1.4557,34.2405,97.9164,95.1847
0.503,1.6212,48.6045,102.8103,98.6353,1.4615,34.108,97.7685,95.1343
0.603,1.5401,48.6045,102.8103,98.6353,1.3885,34.108,97.7685,95.1343
0.703,1.4631,48.6045,102.8103,98.6353,1.319,34.108,97.7685,95.1343
0.803,1.4913,48.4323,102.8025,98.4629,1.3479,33.9702,97.6169,95.0921
0.903,1.4167,48.4323,102.8025,98.4629,1.2805,33.9702,97.6169,95.0921
1.003,1.3459,48.4323,102.8025,98.4629,1.2165,33.9702,97.6169,95.0921
1.103,1.2786,48.4323,102.8025,98.4629,1.1557,33.9702,97.6169,95.0921
1.203,1.3136,48.2607,102.7893,98.2913,1.1865,33.8329,97.4672,95.0563
1.304,1.2479,48.2607,102.7893,98.2913,1.1272,33.8329,97.4672,95.0563
1.403,1.1855,48.2607,102.7893,98.2913,1.0708,33.8329,97.4672,95.0563
1.503,1.2107,48.0928,102.7676,98.1233,1.0973,33.6859,97.3091,95.0281
1.603,1.1502,48.0928,102.7676,98.1233,1.0424,33.6859,97.3091,95.0281
1.703,1.0927,48.0928,102.7676,98.1233,0.9903,33.6859,97.3091,95.0281
1.803,1.1195,47.9318,102.7424,97.9621,1.0295,33.52,97.133,95.0055
1.903,1.0636,47.9318,102.7424,97.9621,0.9781,33.52,97.133,95.0055
2.003,1.0104,47.9318,102.7424,97.9621,0.9292,33.52,97.133,95.0055
2.103,0.9599,47.9318,102.7424,97.9621,0.8827,33.52,97.133,95.0055
2.203,0.9975,47.7658,102.7129,97.7958,0.9261,33.3578,96.9615,94.9875
2.303,0.9476,47.7658,102.7129,97.7958,0.8798,33.3578,96.9615,94.9875
2.403,0.9002,47.7658,102.7129,97.7958,0.8358,33.3578,96.9615,94.9875
2.503,0.9443,47.5923,102.68,97.622,0.8842,33.1865,96.7824,94.9765
2.603,0.8971,47.5923,102.68,97.622,0.84,33.1865,96.7824,94.9765
2.703,0.8522,47.5923,102.68,97.622,0.798,33.1865,96.7824,94.9765
2.803,0.9077,47.4125,102.6521,97.442,0.8543,33.0174,96.6055,94.9655
2.903,0.8623,47.4125,102.6521,97.442,0.8116,33.0174,96.6055,94.9655
3.003,0.8192,47.4125,102.6521,97.442,0.771,33.0174,96.6055,94.9655
3.103,0.8717,47.2245,102.6376,97.2539,0.8162,32.8567,96.4369,94.9537
3.203,0.8281,47.2245,102.6376,97.2539,0.7754,32.8567,96.4369,94.9537
3.303,0.7867,47.2245,102.6376,97.2539,0.7366,32.8567,96.4369,94.9537
3.403,0.8375,47.0324,102.6333,97.0616,0.778,32.7087,96.2744,94.9148
3.503,0.7956,47.0324,102.6333,97.0616,0.7391,32.7087,96.2744,94.9148
3.603,0.7558,47.0324,102.6333,97.0616,0.7021,32.7087,96.2744,94.9148
3.703,0.718,47.0324,102.6333,97.0616,0.667,32.7087,96.2744,94.9148
3.803,0.7734,46.8492,102.6376,96.8785,0.7191,32.5649,96.112,94.8598
3.903,0.7347,46.8492,102.6376,96.8785,0.6832,32.5649,96.112,94.8598
4.003,0.698,46.8492,102.6376,96.8785,0.649,32.5649,96.112,94.8598
4.103,0.7546,46.6672,102.6531,96.6966,0.7088,32.4237,95.9456,94.7803
4.203,0.7169,46.6672,102.6531,96.6966,0.6734,32.4237,95.9456,94.7803
4.303,0.681,46.6672,102.6531,96.6966,0.6397,32.4237,95.9456,94.7803
4.403,0.7329,46.4912,102.6833,96.5209,0.699,32.2936,95.7843,94.6782
4.503,0.6962,46.4912,102.6833,96.5209,0.6641,32.2936,95.7843,94.6782
4.603,0.6614,46.4912,102.6833,96.5209,0.6309,32.2936,95.7843,94.6782
4.703,0.6284,46.4912,102.6833,96.5209,0.5993,32.2936,95.7843,94.6782
4.803,0.6854,46.3174,102.7201,96.3474,0.6718,32.1777,95.6284,94.5443
4.903,0.6511,46.3174,102.7201,96.3474,0.6382,32.1777,95.6284,94.5443
5.003,0.6185,46.3174,102.7201,96.3474,0.6063,32.1777,95.6284,94.5443
5.103,0.6807,46.1339,102.7548,96.1642,0.6806,32.0675,95.4751,94.4016
5.203,0.6467,46.1339,102.7548,96.1642,0.6466,32.0675,95.4751,94.4016
5.303,0.6143,46.1339,102.7548,96.1642,0.6142,32.0675,95.4751,94.4016
5.403,0.6714,45.9453,102.7901,95.9758,0.6773,31.9738,95.3363,94.2529
5.503,0.6378,45.9453,102.7901,95.9758,0.6434,31.9738,95.3363,94.2529
5.603,0.6059,45.9453,102.7901,95.9758,0.6113,31.9738,95.3363,94.2529
5.704,0.6743,45.7518,102.8267,95.7826,0.6741,31.8975,95.2163,94.1107
5.803,0.6406,45.7518,102.8267,95.7826,0.6404,31.8975,95.2163,94.1107
5.903,0.6086,45.7518,102.8267,95.7826,0.6084,31.8975,95.2163,94.1107
6.003,0.6718,45.5639,102.8655,95.5949,0.6601,31.8173,95.098,93.9911
6.103,0.6382,45.5639,102.8655,95.5949,0.6271,31.8173,95.098,93.9911
6.203,0.6063,45.5639,102.8655,95.5949,0.5957,31.8173,95.098,93.9911
6.303,0.684,45.3697,102.9024,95.4009,0.6412,31.7492,94.9988,93.8957
6.404,0.6498,45.3697,102.9024,95.4009,0.6091,31.7492,94.9988,93.8957
6.503,0.6173,45.3697,102.9024,95.4009,0.5787,31.7492,94.9988,93.8957
6.603,0.5864,45.3697,102.9024,95.4009,0.5498,31.7492,94.9988,93.8957
6.703,0.6515,45.173,102.9245,95.2042,0.5907,31.6691,94.888,93.8052
6.803,0.619,45.173,102.9245,95.2042,0.5611,31.6691,94.888,93.8052
6.903,0.588,45.173,102.9245,95.2042,0.5331,31.6691,94.888,93.8052
7.003,0.6494,44.993,102.9226,95.0243,0.5932,31.5494,94.7375,93.7214
7.103,0.6169,44.993,102.9226,95.0243,0.5636,31.5494,94.7375,93.7214
7.203,0.5861,44.993,102.9226,95.0243,0.5354,31.5494,94.7375,93.7214
7.303,0.6467,44.8142,102.9019,94.8454,0.598,31.4167,94.5753,93.6456
7.403,0.6143,44.8142,102.9019,94.8454,0.5681,31.4167,94.5753,93.6456
7.503,0.5836,44.8142,102.9019,94.8454,0.5397,31.4167,94.5753,93.6456
7.603,0.6393,44.6347,102.8699,94.6658,0.5958,31.2797,94.4099,93.5754
7.703,0.6073,44.6347,102.8699,94.6658,0.566,31.2797,94.4099,93.5754
7.803,0.577,44.6347,102.8699,94.6658,0.5377,31.2797,94.4099,93.5754
7.903,0.5481,44.6347,102.8699,94.6658,0.5108,31.2797,94.4099,93.5754
8.003,0.6123,44.4558,102.8291,94.4866,0.5719,31.1417,94.247,93.5179
8.103,0.5817,44.4558,102.8291,94.4866,0.5433,31.1417,94.247,93.5179
8.203,0.5526,44.4558,102.8291,94.4866,0.5161,31.1417,94.247,93.5179
8.303,0.62,44.2735,102.774,94.3039,0.5757,30.9943,94.0798,93.4788
8.403,0.589,44.2735,102.774,94.3039,0.5469,30.9943,94.0798,93.4788
8.503,0.5596,44.2735,102.774,94.3039,0.5195,30.9943,94.0798,93.4788
8.603,0.6358,44.0723,102.7227,94.1023,0.5761,30.8437,93.9155,93.4602
8.703,0.604,44.0723,102.7227,94.1023,0.5473,30.8437,93.9155,93.4602
8.803,0.5738,44.0723,102.7227,94.1023,0.5199,30.8437,93.9155,93.4602
8.903,0.6488,43.8743,102.6837,93.9039,0.5756,30.6933,93.7566,93.4577
