"Step","Feb25_23-32-25_trpo_rover_TRPO - Loss / Policy loss","Feb25_23-32-25_trpo_rover_TRPO - Loss / Policy loss__MIN","Feb25_23-32-25_trpo_rover_TRPO - Loss / Policy loss__MAX"
"34","-2.1855037e-8","-2.1855037e-8","-2.1855037e-8"
"55","-1.2914341e-8","-1.2914341e-8","-1.2914341e-8"
"93","-2.1855037e-8","-2.1855037e-8","-2.1855037e-8"
"114","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"152","3.973643e-9","3.973643e-9","3.973643e-9"
"173","-8.940697e-9","-8.940697e-9","-8.940697e-9"
"211","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"232","9.934108e-9","9.934108e-9","9.934108e-9"
"270","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"291","-1.7881394e-8","-1.7881394e-8","-1.7881394e-8"
"329","3.973643e-9","3.973643e-9","3.973643e-9"
"350","4.4703485e-9","4.4703485e-9","4.4703485e-9"
"388","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"409","0","0","0"
"447","9.934108e-9","9.934108e-9","9.934108e-9"
"468","7.947286e-9","7.947286e-9","7.947286e-9"
"506","-1.09275184e-8","-1.09275184e-8","-1.09275184e-8"
"527","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"565","5.960465e-9","5.960465e-9","5.960465e-9"
"586","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"624","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"645","1.2914341e-8","1.2914341e-8","1.2914341e-8"
"683","5.960465e-9","5.960465e-9","5.960465e-9"
"704","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"742","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"763","-1.9868216e-8","-1.9868216e-8","-1.9868216e-8"
"801","-1.9868216e-8","-1.9868216e-8","-1.9868216e-8"
"822","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"860","5.960465e-9","5.960465e-9","5.960465e-9"
"881","3.973643e-9","3.973643e-9","3.973643e-9"
"919","5.960465e-9","5.960465e-9","5.960465e-9"
"940","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"978","1.9868216e-8","1.9868216e-8","1.9868216e-8"
"999","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"1037","7.947286e-9","7.947286e-9","7.947286e-9"
"1058","3.973643e-9","3.973643e-9","3.973643e-9"
"1096","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"1117","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"1155","4.967054e-9","4.967054e-9","4.967054e-9"
"1176","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"1214","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"1235","-2.9802325e-9","-2.9802325e-9","-2.9802325e-9"
"1273","-4.967054e-9","-4.967054e-9","-4.967054e-9"
"1294","-8.940697e-9","-8.940697e-9","-8.940697e-9"
"1332","-3.774961e-8","-3.774961e-8","-3.774961e-8"
