"Step","Feb25_16-58-57_trpo_rover_TRPO - Loss / Policy loss","Feb25_16-58-57_trpo_rover_TRPO - Loss / Policy loss__MIN","Feb25_16-58-57_trpo_rover_TRPO - Loss / Policy loss__MAX"
"2984","3.973643e-9","3.973643e-9","3.973643e-9"
"3005","0","0","0"
"3043","1.5894573e-8","1.5894573e-8","1.5894573e-8"
"3064","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"3102","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"3123","1.7881394e-8","1.7881394e-8","1.7881394e-8"
"3161","1.7881394e-8","1.7881394e-8","1.7881394e-8"
"3182","0","0","0"
"3220","-1.2914341e-8","-1.2914341e-8","-1.2914341e-8"
"3241","0","0","0"
"3279","-6.9538757e-9","-6.9538757e-9","-6.9538757e-9"
"3300","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"3338","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"3359","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"3397","-7.450581e-10","-7.450581e-10","-7.450581e-10"
"3418","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"3456","-2.384186e-8","-2.384186e-8","-2.384186e-8"
"3477","-6.9538757e-9","-6.9538757e-9","-6.9538757e-9"
"3515","1.192093e-8","1.192093e-8","1.192093e-8"
"3536","-5.3644182e-8","-5.3644182e-8","-5.3644182e-8"
"3574","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"3595","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"3633","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"3654","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"3692","1.7881394e-8","1.7881394e-8","1.7881394e-8"
"3713","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"3751","-7.450581e-9","-7.450581e-9","-7.450581e-9"
"3772","0","0","0"
"3810","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"3831","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"3869","7.947286e-9","7.947286e-9","7.947286e-9"
"3890","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"3928","7.947286e-9","7.947286e-9","7.947286e-9"
"3949","-2.8808913e-8","-2.8808913e-8","-2.8808913e-8"
"3987","-3.0795736e-8","-3.0795736e-8","-3.0795736e-8"
"4008","-2.7815503e-8","-2.7815503e-8","-2.7815503e-8"
"4046","-3.4769378e-9","-3.4769378e-9","-3.4769378e-9"
"4067","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"4105","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"4126","-4.967054e-9","-4.967054e-9","-4.967054e-9"
"4164","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"4185","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"4223","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"4244","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"4282","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"4303","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"4341","1.09275184e-8","1.09275184e-8","1.09275184e-8"
"4362","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"4400","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"4421","-1.6887984e-8","-1.6887984e-8","-1.6887984e-8"
"4459","1.6887984e-8","1.6887984e-8","1.6887984e-8"
"4480","1.3907751e-8","1.3907751e-8","1.3907751e-8"
"4518","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"4539","2.9802325e-9","2.9802325e-9","2.9802325e-9"
"4577","9.934108e-9","9.934108e-9","9.934108e-9"
"4598","0","0","0"
"4636","-4.967054e-9","-4.967054e-9","-4.967054e-9"
"4657","-1.7881394e-8","-1.7881394e-8","-1.7881394e-8"
"4695","0","0","0"
"4716","9.934108e-9","9.934108e-9","9.934108e-9"
"4754","9.934108e-9","9.934108e-9","9.934108e-9"
"4775","-8.940697e-9","-8.940697e-9","-8.940697e-9"
"4813","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"4834","7.947286e-9","7.947286e-9","7.947286e-9"
"4872","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"4893","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"4931","1.192093e-8","1.192093e-8","1.192093e-8"
"4952","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"4990","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"5011","0","0","0"
"5049","9.934108e-9","9.934108e-9","9.934108e-9"
"5070","1.2914341e-8","1.2914341e-8","1.2914341e-8"
"5108","1.5894573e-8","1.5894573e-8","1.5894573e-8"
"5129","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"5167","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"5188","7.947286e-9","7.947286e-9","7.947286e-9"
"5226","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"5247","-1.4901161e-8","-1.4901161e-8","-1.4901161e-8"
"5285","0","0","0"
"5306","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"5344","9.934108e-10","9.934108e-10","9.934108e-10"
"5365","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"5403","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"5424","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"5462","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"5483","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"5521","5.960465e-9","5.960465e-9","5.960465e-9"
"5542","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"5580","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"5601","-1.9868216e-8","-1.9868216e-8","-1.9868216e-8"
"5639","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"5660","1.192093e-8","1.192093e-8","1.192093e-8"
"5698","-9.934108e-10","-9.934108e-10","-9.934108e-10"
"5719","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"5757","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"5778","0","0","0"
"5816","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"5837","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"5875","1.192093e-8","1.192093e-8","1.192093e-8"
"5896","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"5934","1.2914341e-8","1.2914341e-8","1.2914341e-8"
"5955","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"5993","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"6014","3.973643e-9","3.973643e-9","3.973643e-9"
"6052","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"6073","-7.947286e-9","-7.947286e-9","-7.947286e-9"
