"Step","Feb12_13-57-10_PPO - Loss / Policy loss","Feb12_13-57-10_PPO - Loss / Policy loss__MIN","Feb12_13-57-10_PPO - Loss / Policy loss__MAX"
"28","0","0","0"
"54","0.002779769","0.002779769","0.002779769"
"91","-0.0020056148","-0.0020056148","-0.0020056148"
"111","-0.0013368173","-0.0013368173","-0.0013368173"
"148","0.007510688","0.007510688","0.007510688"
"168","-0.0043797307","-0.0043797307","-0.0043797307"
"205","0.00974776","0.00974776","0.00974776"
"225","-0.0019247251","-0.0019247251","-0.0019247251"
"262","0.002907645","0.002907645","0.002907645"
"282","-0.0025381802","-0.0025381802","-0.0025381802"
"319","0.0034097354","0.0034097354","0.0034097354"
"339","-0.0022942529","-0.0022942529","-0.0022942529"
"376","0.00301561","0.00301561","0.00301561"
"396","-0.0031374332","-0.0031374332","-0.0031374332"
"433","-0.0018721294","-0.0018721294","-0.0018721294"
"453","-0.0023316736","-0.0023316736","-0.0023316736"
"490","0.00014765498","0.00014765498","0.00014765498"
"510","0.001833589","0.001833589","0.001833589"
"547","-0.0012178143","-0.0012178143","-0.0012178143"
"567","-0.00737954","-0.00737954","-0.00737954"
"604","0.00017154004","0.00017154004","0.00017154004"
"624","0.00090066716","0.00090066716","0.00090066716"
"661","0.008649938","0.008649938","0.008649938"
"681","-0.004047865","-0.004047865","-0.004047865"
"718","0.0014799628","0.0014799628","0.0014799628"
"738","-0.0005033504","-0.0005033504","-0.0005033504"
"775","0.0008708719","0.0008708719","0.0008708719"
"795","0.00056929985","0.00056929985","0.00056929985"
"832","-0.010117397","-0.010117397","-0.010117397"
"852","-0.009153971","-0.009153971","-0.009153971"
"889","0.00470795","0.00470795","0.00470795"
"909","-0.002942828","-0.002942828","-0.002942828"
"946","-0.0038729347","-0.0038729347","-0.0038729347"
"966","-0.0071224733","-0.0071224733","-0.0071224733"
"1003","-0.0023077496","-0.0023077496","-0.0023077496"
"1023","-0.000058707585","-0.000058707585","-0.000058707585"
"1060","-0.0059554344","-0.0059554344","-0.0059554344"
"1080","0.002810998","0.002810998","0.002810998"
"1117","-0.0056320378","-0.0056320378","-0.0056320378"
"1137","0.0003676797","0.0003676797","0.0003676797"
"1174","0.000530518","0.000530518","0.000530518"
"1194","-0.0013847259","-0.0013847259","-0.0013847259"
"1231","0.0011542861","0.0011542861","0.0011542861"
"1251","0.009243776","0.009243776","0.009243776"
"1288","0.0028444391","0.0028444391","0.0028444391"
"1308","0.0015629472","0.0015629472","0.0015629472"
