"Step","Feb12_03-32-08_PPO - Loss / Policy loss","Feb12_03-32-08_PPO - Loss / Policy loss__MIN","Feb12_03-32-08_PPO - Loss / Policy loss__MAX"
"28","0.022343954","0.022343954","0.022343954"
"54","0.018112404","0.018112404","0.018112404"
"91","-0.005804055","-0.005804055","-0.005804055"
"111","0.001750184","0.001750184","0.001750184"
"148","0.0007623833","0.0007623833","0.0007623833"
"168","-0.0014008001","-0.0014008001","-0.0014008001"
"205","-0.0029507356","-0.0029507356","-0.0029507356"
"225","-0.0032135793","-0.0032135793","-0.0032135793"
"262","0.0010887857","0.0010887857","0.0010887857"
"282","-0.0015801525","-0.0015801525","-0.0015801525"
"319","-0.004656306","-0.004656306","-0.004656306"
"339","-0.00033144504","-0.00033144504","-0.00033144504"
"376","0.00096766476","0.00096766476","0.00096766476"
"396","0.0066087","0.0066087","0.0066087"
"433","-0.00022644427","-0.00022644427","-0.00022644427"
"453","-0.0017428735","-0.0017428735","-0.0017428735"
"490","-0.0040082945","-0.0040082945","-0.0040082945"
"510","0.0010233211","0.0010233211","0.0010233211"
"547","-0.0037553725","-0.0037553725","-0.0037553725"
"567","-0.0048869215","-0.0048869215","-0.0048869215"
"604","-0.0016492113","-0.0016492113","-0.0016492113"
"624","0.00008600299","0.00008600299","0.00008600299"
"661","-0.00058918144","-0.00058918144","-0.00058918144"
"681","0.0012141451","0.0012141451","0.0012141451"
"718","0.005776342","0.005776342","0.005776342"
"738","0.0025100545","0.0025100545","0.0025100545"
"775","-0.0013409039","-0.0013409039","-0.0013409039"
"795","0.0006276459","0.0006276459","0.0006276459"
"832","0.00043861975","0.00043861975","0.00043861975"
"852","0.008001354","0.008001354","0.008001354"
"889","0.00041507807","0.00041507807","0.00041507807"
"909","0.0002539353","0.0002539353","0.0002539353"
"946","-0.0046305554","-0.0046305554","-0.0046305554"
"966","-0.00000460182","-0.00000460182","-0.00000460182"
"1003","0.0075898618","0.0075898618","0.0075898618"
"1023","-0.0012932804","-0.0012932804","-0.0012932804"
"1060","0.0013879493","0.0013879493","0.0013879493"
"1080","-0.0030331078","-0.0030331078","-0.0030331078"
"1117","0.0010590773","0.0010590773","0.0010590773"
"1137","-0.0013324195","-0.0013324195","-0.0013324195"
"1174","0.00033172697","0.00033172697","0.00033172697"
"1194","-0.010244286","-0.010244286","-0.010244286"
