"Step","Feb13_10-59-31_PPO - Loss / Policy loss","Feb13_10-59-31_PPO - Loss / Policy loss__MIN","Feb13_10-59-31_PPO - Loss / Policy loss__MAX"
"34","0","0","0"
"54","0","0","0"
"91","0","0","0"
"111","0","0","0"
"148","0.0037270088","0.0037270088","0.0037270088"
"168","-0.00041206495","-0.00041206495","-0.00041206495"
"205","-0.0015573254","-0.0015573254","-0.0015573254"
"225","0","0","0"
"262","-0.0010122068","-0.0010122068","-0.0010122068"
"282","-0.00078117504","-0.00078117504","-0.00078117504"
"319","0.00080916507","0.00080916507","0.00080916507"
"339","0.0038862943","0.0038862943","0.0038862943"
"376","0.005077759","0.005077759","0.005077759"
"396","-0.0008792882","-0.0008792882","-0.0008792882"
"433","0.0018469002","0.0018469002","0.0018469002"
"453","0.00378255","0.00378255","0.00378255"
"490","-0.00015613259","-0.00015613259","-0.00015613259"
"510","-0.0027634052","-0.0027634052","-0.0027634052"
"547","-0.0002662849","-0.0002662849","-0.0002662849"
"567","0","0","0"
"604","0.00028501754","0.00028501754","0.00028501754"
"624","-0.0055566607","-0.0055566607","-0.0055566607"
"661","0","0","0"
"681","-0.0019115406","-0.0019115406","-0.0019115406"
"718","-0.0015921104","-0.0015921104","-0.0015921104"
"738","-0.0014691142","-0.0014691142","-0.0014691142"
"775","-0.0015477868","-0.0015477868","-0.0015477868"
"795","-0.0037861988","-0.0037861988","-0.0037861988"
"832","0.00435243","0.00435243","0.00435243"
"852","0","0","0"
"889","0","0","0"
"909","-0.0018259587","-0.0018259587","-0.0018259587"
"946","0","0","0"
"966","-0.00087662024","-0.00087662024","-0.00087662024"
"1003","-0.0004918697","-0.0004918697","-0.0004918697"
"1023","0.0016385623","0.0016385623","0.0016385623"
"1060","0.0031671147","0.0031671147","0.0031671147"
"1080","0.0009652952","0.0009652952","0.0009652952"
"1117","-0.00015555191","-0.00015555191","-0.00015555191"
"1137","0.00061716384","0.00061716384","0.00061716384"
"1174","-0.00061442645","-0.00061442645","-0.00061442645"
"1194","0.00089274335","0.00089274335","0.00089274335"
"1231","-0.0013256829","-0.0013256829","-0.0013256829"
"1251","-0.0036562725","-0.0036562725","-0.0036562725"
"1288","-0.0015664909","-0.0015664909","-0.0015664909"
"1308","0.002087534","0.002087534","0.002087534"
"1345","0","0","0"
"1365","-0.0024652367","-0.0024652367","-0.0024652367"
"1402","0","0","0"
"1422","-0.0035454123","-0.0035454123","-0.0035454123"
"1459","-0.0004925371","-0.0004925371","-0.0004925371"
"1479","-0.0001818135","-0.0001818135","-0.0001818135"
"1516","0","0","0"
"1536","0.0015212932","0.0015212932","0.0015212932"
"1573","0.0015080768","0.0015080768","0.0015080768"
"1593","-0.0007055021","-0.0007055021","-0.0007055021"
"1630","0","0","0"
"1650","0","0","0"
"1687","-0.00012752267","-0.00012752267","-0.00012752267"
"1707","0.00033810516","0.00033810516","0.00033810516"
"1744","0.0020980265","0.0020980265","0.0020980265"
"1764","-0.0043474985","-0.0043474985","-0.0043474985"
"1801","0.001703499","0.001703499","0.001703499"
"1821","0","0","0"
"1858","-0.0003809951","-0.0003809951","-0.0003809951"
"1878","0","0","0"
"1915","0","0","0"
"1935","0","0","0"
"1972","-0.00057709776","-0.00057709776","-0.00057709776"
"1992","0","0","0"
"2029","0.0031139601","0.0031139601","0.0031139601"
"2049","-0.0019563932","-0.0019563932","-0.0019563932"
"2086","0","0","0"
"2106","0","0","0"
"2143","0.00038562866","0.00038562866","0.00038562866"
"2163","-0.00043412176","-0.00043412176","-0.00043412176"
"2200","0.00079985487","0.00079985487","0.00079985487"
"2220","-0.007665156","-0.007665156","-0.007665156"
"2257","0.0043148324","0.0043148324","0.0043148324"
"2277","0.0013375534","0.0013375534","0.0013375534"
"2314","-0.0024320337","-0.0024320337","-0.0024320337"
"2334","0","0","0"
"2371","-0.0018442019","-0.0018442019","-0.0018442019"
"2391","-0.0024700747","-0.0024700747","-0.0024700747"
"2428","0.0008900688","0.0008900688","0.0008900688"
"2448","-0.000414584","-0.000414584","-0.000414584"
"2485","0","0","0"
"2505","0","0","0"
"2542","0.0088096885","0.0088096885","0.0088096885"
"2562","0.0012933944","0.0012933944","0.0012933944"
"2599","0","0","0"
"2619","-0.0005188389","-0.0005188389","-0.0005188389"
"2656","0","0","0"
"2676","-0.00037137844","-0.00037137844","-0.00037137844"
"2713","0.0084980205","0.0084980205","0.0084980205"
"2733","-0.0054880264","-0.0054880264","-0.0054880264"
"2770","0.0034573583","0.0034573583","0.0034573583"
"2790","-0.0006758299","-0.0006758299","-0.0006758299"
"2827","0","0","0"
"2847","0.00006227538","0.00006227538","0.00006227538"
"2884","0.00021347469","0.00021347469","0.00021347469"
"2904","0","0","0"
"2941","0","0","0"
"2961","-0.0014625263","-0.0014625263","-0.0014625263"
"2998","0","0","0"
"3018","0.00025327288","0.00025327288","0.00025327288"
"3055","-0.001535237","-0.001535237","-0.001535237"
"3075","0","0","0"
"3112","0.0026786728","0.0026786728","0.0026786728"
"3132","-0.004041466","-0.004041466","-0.004041466"
"3169","0.0007743145","0.0007743145","0.0007743145"
"3189","-0.0013021806","-0.0013021806","-0.0013021806"
"3226","0.0008461713","0.0008461713","0.0008461713"
"3246","0.0018017658","0.0018017658","0.0018017658"
"3283","0","0","0"
"3303","-0.000005907224","-0.000005907224","-0.000005907224"
"3340","0.00004973348","0.00004973348","0.00004973348"
"3360","0.00047562367","0.00047562367","0.00047562367"
"3397","0","0","0"
"3417","-0.0025263818","-0.0025263818","-0.0025263818"
"3454","0","0","0"
"3474","0.004375974","0.004375974","0.004375974"
"3511","0","0","0"
"3531","0","0","0"
"3568","0","0","0"
"3588","-0.0017238591","-0.0017238591","-0.0017238591"
"3625","0","0","0"
"3645","0","0","0"
"3682","0.003947678","0.003947678","0.003947678"
"3702","0","0","0"
"3739","0.0015438349","0.0015438349","0.0015438349"
"3759","0","0","0"
"3796","0","0","0"
"3816","0.0002662595","0.0002662595","0.0002662595"
"3853","-0.0005097615","-0.0005097615","-0.0005097615"
"3873","-0.0071945633","-0.0071945633","-0.0071945633"
"3910","0.0005963708","0.0005963708","0.0005963708"
"3930","-0.00012037651","-0.00012037651","-0.00012037651"
"3967","0","0","0"
"3987","0.0033781515","0.0033781515","0.0033781515"
"4024","-0.0033436196","-0.0033436196","-0.0033436196"
"4044","-0.0034219336","-0.0034219336","-0.0034219336"
"4081","0","0","0"
"4101","0.0042146044","0.0042146044","0.0042146044"
"4138","0.00002892618","0.00002892618","0.00002892618"
"4158","-0.0020664586","-0.0020664586","-0.0020664586"
"4195","0","0","0"
"4215","-0.00056485797","-0.00056485797","-0.00056485797"
"4252","0.00021593265","0.00021593265","0.00021593265"
"4272","0","0","0"
"4309","0","0","0"
"4329","-0.00020819473","-0.00020819473","-0.00020819473"
"4366","-0.00046253527","-0.00046253527","-0.00046253527"
"4386","0","0","0"
"4423","0.0046465173","0.0046465173","0.0046465173"
"4443","-0.0007075874","-0.0007075874","-0.0007075874"
"4480","0.0027349938","0.0027349938","0.0027349938"
"4500","0.0053792284","0.0053792284","0.0053792284"
"4537","0.0016036637","0.0016036637","0.0016036637"
"4557","0","0","0"
"4594","0.00074727385","0.00074727385","0.00074727385"
"4614","-0.0029390673","-0.0029390673","-0.0029390673"
"4651","0","0","0"
"4671","0","0","0"
"4708","0","0","0"
"4728","-0.0014170831","-0.0014170831","-0.0014170831"
"4765","0.0013465729","0.0013465729","0.0013465729"
"4785","0.0011735972","0.0011735972","0.0011735972"
"4822","0.0005117345","0.0005117345","0.0005117345"
"4842","0","0","0"
"4879","-0.0008680792","-0.0008680792","-0.0008680792"
"4899","-0.0018405083","-0.0018405083","-0.0018405083"
"4936","0","0","0"
"4956","0.0039889547","0.0039889547","0.0039889547"
"4993","0","0","0"
"5013","0","0","0"
"5050","0.000088707035","0.000088707035","0.000088707035"
"5070","0.0007041664","0.0007041664","0.0007041664"
"5107","-0.00026370684","-0.00026370684","-0.00026370684"
"5127","-0.0012051776","-0.0012051776","-0.0012051776"
"5164","0.002408926","0.002408926","0.002408926"
"5184","0","0","0"
"5221","0","0","0"
"5241","-0.000047054924","-0.000047054924","-0.000047054924"
"5278","0.0017270005","0.0017270005","0.0017270005"
"5298","0.00023714606","0.00023714606","0.00023714606"
"5335","0","0","0"
"5355","0.0014071983","0.0014071983","0.0014071983"
"5392","-0.003483006","-0.003483006","-0.003483006"
"5412","0.00040242632","0.00040242632","0.00040242632"
"5449","0.00095231895","0.00095231895","0.00095231895"
"5469","0","0","0"
"5506","0.0014023811","0.0014023811","0.0014023811"
"5526","0","0","0"
"5563","0.000061597566","0.000061597566","0.000061597566"
"5583","0.0000036269892","0.0000036269892","0.0000036269892"
"5620","0.00075670856","0.00075670856","0.00075670856"
"5640","-0.0015031724","-0.0015031724","-0.0015031724"
"5677","-0.0029978228","-0.0029978228","-0.0029978228"
"5697","0.0051182937","0.0051182937","0.0051182937"
"5734","0.0022382885","0.0022382885","0.0022382885"
"5754","0.00017733454","0.00017733454","0.00017733454"
"5791","-0.00086302496","-0.00086302496","-0.00086302496"
"5811","-0.0006397318","-0.0006397318","-0.0006397318"
"5848","0.00021735256","0.00021735256","0.00021735256"
"5868","0.0010976831","0.0010976831","0.0010976831"
"5905","0","0","0"
"5925","-0.000117137126","-0.000117137126","-0.000117137126"
"5962","-0.00017316981","-0.00017316981","-0.00017316981"
"5982","-0.0014919878","-0.0014919878","-0.0014919878"
"6019","-0.00327868","-0.00327868","-0.00327868"
"6039","0","0","0"
"6076","0","0","0"
"6096","0","0","0"
"6133","-0.0002552967","-0.0002552967","-0.0002552967"
"6153","0.000040117357","0.000040117357","0.000040117357"
"6190","0.00076008245","0.00076008245","0.00076008245"
"6210","0","0","0"
"6247","0.002196321","0.002196321","0.002196321"
"6267","0.0006668062","0.0006668062","0.0006668062"
"6304","-0.0026819732","-0.0026819732","-0.0026819732"
"6324","0","0","0"
"6361","0","0","0"
"6381","0.0031174598","0.0031174598","0.0031174598"
"6418","-0.00001949331","-0.00001949331","-0.00001949331"
"6438","-0.00019832062","-0.00019832062","-0.00019832062"
"6475","0.0012794567","0.0012794567","0.0012794567"
"6495","-0.0026405358","-0.0026405358","-0.0026405358"
"6532","-0.0011083884","-0.0011083884","-0.0011083884"
"6552","0","0","0"
"6589","-0.004029636","-0.004029636","-0.004029636"
"6609","-0.0007213469","-0.0007213469","-0.0007213469"
"6646","0","0","0"
"6666","0.001910915","0.001910915","0.001910915"
"6703","0.0009687402","0.0009687402","0.0009687402"
"6723","-0.005491604","-0.005491604","-0.005491604"
"6760","0.0035363396","0.0035363396","0.0035363396"
"6780","0.00033997363","0.00033997363","0.00033997363"
"6817","-0.001056726","-0.001056726","-0.001056726"
"6837","0","0","0"
"6874","-0.003519513","-0.003519513","-0.003519513"
"6894","-0.0009716819","-0.0009716819","-0.0009716819"
"6931","0.0038642795","0.0038642795","0.0038642795"
"6951","0","0","0"
"6988","0.0015022187","0.0015022187","0.0015022187"
"7008","-0.00006924638","-0.00006924638","-0.00006924638"
"7045","-0.0016064332","-0.0016064332","-0.0016064332"
"7065","-0.00316802","-0.00316802","-0.00316802"
"7102","0.00075442076","0.00075442076","0.00075442076"
"7122","-0.0022226907","-0.0022226907","-0.0022226907"
"7159","0.0030980494","0.0030980494","0.0030980494"
"7179","0","0","0"
"7216","0","0","0"
"7236","-0.0042971405","-0.0042971405","-0.0042971405"
"7273","0.0013087422","0.0013087422","0.0013087422"
"7293","0","0","0"
"7330","-0.00016587964","-0.00016587964","-0.00016587964"
"7350","-0.0016025042","-0.0016025042","-0.0016025042"
"7387","-0.0024520706","-0.0024520706","-0.0024520706"
"7407","0.0005479365","0.0005479365","0.0005479365"
"7444","0.0004855545","0.0004855545","0.0004855545"
"7464","-0.00069807156","-0.00069807156","-0.00069807156"
"7501","-0.0020539484","-0.0020539484","-0.0020539484"
"7521","0.0029945637","0.0029945637","0.0029945637"
"7558","0","0","0"
"7578","-0.0018289493","-0.0018289493","-0.0018289493"
"7615","0.001065021","0.001065021","0.001065021"
"7635","-0.00020133279","-0.00020133279","-0.00020133279"
"7672","-0.004204188","-0.004204188","-0.004204188"
"7692","0.00016968137","0.00016968137","0.00016968137"
"7729","0","0","0"
"7749","0.0022770585","0.0022770585","0.0022770585"
"7786","-0.000025330624","-0.000025330624","-0.000025330624"
"7806","-0.0014952722","-0.0014952722","-0.0014952722"
"7843","-0.0010524174","-0.0010524174","-0.0010524174"
"7863","-0.00025357964","-0.00025357964","-0.00025357964"
"7900","0.0006714521","0.0006714521","0.0006714521"
"7920","0.0004145426","0.0004145426","0.0004145426"
"7957","0.0040650414","0.0040650414","0.0040650414"
"7977","-0.0015374029","-0.0015374029","-0.0015374029"
"8014","-0.0037903031","-0.0037903031","-0.0037903031"
"8034","0","0","0"
"8071","0","0","0"
"8091","-0.0013557072","-0.0013557072","-0.0013557072"
"8128","0.0009205839","0.0009205839","0.0009205839"
"8148","-0.0012287289","-0.0012287289","-0.0012287289"
"8185","0.0015960755","0.0015960755","0.0015960755"
"8205","0","0","0"
"8242","-0.00014615276","-0.00014615276","-0.00014615276"
"8262","0.0012770549","0.0012770549","0.0012770549"
"8299","0.0023842768","0.0023842768","0.0023842768"
"8319","0","0","0"
"8356","0.0009838324","0.0009838324","0.0009838324"
"8376","0","0","0"
"8413","-0.00055911817","-0.00055911817","-0.00055911817"
"8433","0.00041516798","0.00041516798","0.00041516798"
"8470","0.0019928403","0.0019928403","0.0019928403"
"8490","0","0","0"
"8527","0.0029151249","0.0029151249","0.0029151249"
"8547","-0.001334406","-0.001334406","-0.001334406"
"8584","0.0002320343","0.0002320343","0.0002320343"
"8604","0.006936546","0.006936546","0.006936546"
"8641","0","0","0"
"8661","0","0","0"
"8698","-0.0017200739","-0.0017200739","-0.0017200739"
"8718","-0.0012555952","-0.0012555952","-0.0012555952"
"8755","-0.0013046857","-0.0013046857","-0.0013046857"
"8775","0","0","0"
"8812","-0.0045305924","-0.0045305924","-0.0045305924"
"8832","0.0016095517","0.0016095517","0.0016095517"
"8869","-0.0064216144","-0.0064216144","-0.0064216144"
"8889","0","0","0"
"8926","-0.00003996883","-0.00003996883","-0.00003996883"
