"Step","Feb12_03-32-08_PPO - Reward / Total reward (mean)","Feb12_03-32-08_PPO - Reward / Total reward (mean)__MIN","Feb12_03-32-08_PPO - Reward / Total reward (mean)__MAX"
"2387","-3.205198","-3.205198","-3.205198"
"2407","-1.6935239","-1.6935239","-1.6935239"
"2424","-2.0075984","-2.0075984","-2.0075984"
"2436","-2.4198496","-2.4198496","-2.4198496"
"2464","-2.2563572","-2.2563572","-2.2563572"
"2481","-1.4159851","-1.4159851","-1.4159851"
"2493","-1.6255819","-1.6255819","-1.6255819"
"2513","-2.7656596","-2.7656596","-2.7656596"
"2538","-1.7872734","-1.7872734","-1.7872734"
"2558","-2.782269","-2.782269","-2.782269"
"2570","-2.1333296","-2.1333296","-2.1333296"
"2587","-2.5199628","-2.5199628","-2.5199628"
"2615","-1.4374697","-1.4374697","-1.4374697"
"2627","-1.6363419","-1.6363419","-1.6363419"
"2644","-1.5296557","-1.5296557","-1.5296557"
"2672","-2.633652","-2.633652","-2.633652"
"2692","-1.8894714","-1.8894714","-1.8894714"
"2709","-2.1789827","-2.1789827","-2.1789827"
"2729","-2.117795","-2.117795","-2.117795"
"2749","-2.798999","-2.798999","-2.798999"
"2766","-2.4211962","-2.4211962","-2.4211962"
"2786","-2.59552","-2.59552","-2.59552"
"2806","-2.4874327","-2.4874327","-2.4874327"
"2823","-1.9189006","-1.9189006","-1.9189006"
"2835","-2.7322361","-2.7322361","-2.7322361"
"2863","-2.329511","-2.329511","-2.329511"
"2872","-1.594895","-1.594895","-1.594895"
"2892","-2.2407","-2.2407","-2.2407"
"2920","-1.627495","-1.627495","-1.627495"
"2937","-2.8745098","-2.8745098","-2.8745098"
"2957","-2.8593202","-2.8593202","-2.8593202"
"2977","-2.29914","-2.29914","-2.29914"
"2994","-2.1160543","-2.1160543","-2.1160543"
"3014","-2.585969","-2.585969","-2.585969"
"3034","-2.4548204","-2.4548204","-2.4548204"
"3051","-2.4297411","-2.4297411","-2.4297411"
"3071","-2.1803808","-2.1803808","-2.1803808"
"3091","-2.0428536","-2.0428536","-2.0428536"
"3108","-1.978044","-1.978044","-1.978044"
"3120","-1.752177","-1.752177","-1.752177"
"3148","-2.0791054","-2.0791054","-2.0791054"
"3165","-1.8565842","-1.8565842","-1.8565842"
"3177","-1.8343221","-1.8343221","-1.8343221"
"3205","-1.7671542","-1.7671542","-1.7671542"
"3214","-2.0790148","-2.0790148","-2.0790148"
"3242","-1.5735929","-1.5735929","-1.5735929"
"3262","-1.8833683","-1.8833683","-1.8833683"
