"Step","Feb12_14-13-59_PPO - Reward / Total reward (mean)","Feb12_14-13-59_PPO - Reward / Total reward (mean)__MIN","Feb12_14-13-59_PPO - Reward / Total reward (mean)__MAX"
"13","-0.6382634","-0.6382634","-0.6382634"
"33","-0.6448684","-0.6448684","-0.6448684"
"50","-0.6667199","-0.6667199","-0.6667199"
"70","0.061140824","0.061140824","0.061140824"
"87","1.1535105","1.1535105","1.1535105"
"99","1.2042139","1.2042139","1.2042139"
"127","1.0831541","1.0831541","1.0831541"
"144","1.019479","1.019479","1.019479"
"164","0.7119578","0.7119578","0.7119578"
"176","1.0259571","1.0259571","1.0259571"
"201","0.18044893","0.18044893","0.18044893"
"213","0.69992614","0.69992614","0.69992614"
"233","1.1169493","1.1169493","1.1169493"
"258","0.9492993","0.9492993","0.9492993"
"270","1.1228677","1.1228677","1.1228677"
"290","1.3106165","1.3106165","1.3106165"
"315","0.53404593","0.53404593","0.53404593"
"327","0.75551665","0.75551665","0.75551665"
"355","0.5661434","0.5661434","0.5661434"
"372","0.7201348","0.7201348","0.7201348"
"384","1.3201498","1.3201498","1.3201498"
"412","0.72311425","0.72311425","0.72311425"
"429","1.3972975","1.3972975","1.3972975"
"449","0.9538601","0.9538601","0.9538601"
"469","0.7383094","0.7383094","0.7383094"
"486","1.1982663","1.1982663","1.1982663"
"498","0.3330505","0.3330505","0.3330505"
"518","1.2320495","1.2320495","1.2320495"
"543","0.86094636","0.86094636","0.86094636"
"555","1.2139481","1.2139481","1.2139481"
"583","1.1524884","1.1524884","1.1524884"
"592","1.1083828","1.1083828","1.1083828"
"612","0.8232539","0.8232539","0.8232539"
"640","0.72688174","0.72688174","0.72688174"
"657","0.7065068","0.7065068","0.7065068"
"677","0.9054199","0.9054199","0.9054199"
"697","0.8403769","0.8403769","0.8403769"
"706","1.0506856","1.0506856","1.0506856"
"734","0.7465563","0.7465563","0.7465563"
"754","1.0278192","1.0278192","1.0278192"
"771","1.1782578","1.1782578","1.1782578"
"791","1.1622134","1.1622134","1.1622134"
"803","1.1694418","1.1694418","1.1694418"
"828","0.92297035","0.92297035","0.92297035"
"848","1.0545434","1.0545434","1.0545434"
"868","0.7780886","0.7780886","0.7780886"
"877","1.116685","1.116685","1.116685"
"905","1.111518","1.111518","1.111518"
"925","0.9792416","0.9792416","0.9792416"
"942","-0.17142326","-0.17142326","-0.17142326"
"954","0.9055826","0.9055826","0.9055826"
"982","0.8588508","0.8588508","0.8588508"
"999","0.8305353","0.8305353","0.8305353"
"1019","1.0401819","1.0401819","1.0401819"
"1039","0.6431439","0.6431439","0.6431439"
"1048","1.1537961","1.1537961","1.1537961"
"1076","1.2941872","1.2941872","1.2941872"
"1088","1.2876755","1.2876755","1.2876755"
"1113","1.1340404","1.1340404","1.1340404"
"1133","0.7353177","0.7353177","0.7353177"
"1153","0.84139854","0.84139854","0.84139854"
"1162","1.158385","1.158385","1.158385"
"1182","0.9700225","0.9700225","0.9700225"
"1202","0.7443106","0.7443106","0.7443106"
"1219","1.1478499","1.1478499","1.1478499"
"1247","0.7237341","0.7237341","0.7237341"
"1267","1.0645984","1.0645984","1.0645984"
"1276","1.3098873","1.3098873","1.3098873"
"1296","1.0917784","1.0917784","1.0917784"
"1324","1.0729539","1.0729539","1.0729539"
"1333","0.6922918","0.6922918","0.6922918"
"1361","1.041236","1.041236","1.041236"
"1373","1.3591164","1.3591164","1.3591164"
"1398","0.9419466","0.9419466","0.9419466"
"1410","1.135301","1.135301","1.135301"
"1438","1.2258823","1.2258823","1.2258823"
"1455","1.3201163","1.3201163","1.3201163"
"1467","0.79482013","0.79482013","0.79482013"
"1495","0.8696185","0.8696185","0.8696185"
"1512","0.9365128","0.9365128","0.9365128"
"1524","0.9177989","0.9177989","0.9177989"
"1552","0.90936315","0.90936315","0.90936315"
"1569","0.98212284","0.98212284","0.98212284"
"1581","1.3201227","1.3201227","1.3201227"
"1609","0.42594406","0.42594406","0.42594406"
"1618","1.2234476","1.2234476","1.2234476"
"1646","1.176022","1.176022","1.176022"
"1666","0.6370133","0.6370133","0.6370133"
"1683","0.5970375","0.5970375","0.5970375"
"1703","0.9875083","0.9875083","0.9875083"
"1723","0.8445328","0.8445328","0.8445328"
"1740","1.1640774","1.1640774","1.1640774"
"1760","1.0019944","1.0019944","1.0019944"
"1780","0.9289385","0.9289385","0.9289385"
"1797","1.1484364","1.1484364","1.1484364"
"1817","1.1858478","1.1858478","1.1858478"
"1837","0.88319737","0.88319737","0.88319737"
"1854","0.3166567","0.3166567","0.3166567"
"1874","0.87610525","0.87610525","0.87610525"
"1894","1.0819871","1.0819871","1.0819871"
"1911","1.3025941","1.3025941","1.3025941"
"1931","0.59782034","0.59782034","0.59782034"
"1951","1.0807215","1.0807215","1.0807215"
"1968","0.88098174","0.88098174","0.88098174"
"1988","0.67490816","0.67490816","0.67490816"
"2000","0.77560925","0.77560925","0.77560925"
"2025","0.62864095","0.62864095","0.62864095"
"2045","0.5050007","0.5050007","0.5050007"
"2057","1.1168573","1.1168573","1.1168573"
"2074","0.7323535","0.7323535","0.7323535"
"2102","0.47866902","0.47866902","0.47866902"
"2122","1.0473005","1.0473005","1.0473005"
"2139","0.86241484","0.86241484","0.86241484"
"2159","0.65608966","0.65608966","0.65608966"
"2179","0.4261106","0.4261106","0.4261106"
"2196","0.26348254","0.26348254","0.26348254"
"2216","0.32274303","0.32274303","0.32274303"
"2228","-0.3766128","-0.3766128","-0.3766128"
"2253","0.43458903","0.43458903","0.43458903"
"2273","0.4223008","0.4223008","0.4223008"
"2293","0.32105076","0.32105076","0.32105076"
"2302","0.017067505","0.017067505","0.017067505"
"2330","-0.12241473","-0.12241473","-0.12241473"
"2350","0.29732743","0.29732743","0.29732743"
"2367","-0.11564787","-0.11564787","-0.11564787"
"2387","0.4875452","0.4875452","0.4875452"
"2399","-0.4599172","-0.4599172","-0.4599172"
"2424","0.051819213","0.051819213","0.051819213"
"2444","0.5753786","0.5753786","0.5753786"
"2464","0.5128606","0.5128606","0.5128606"
"2481","0.23327748","0.23327748","0.23327748"
"2501","-0.043446973","-0.043446973","-0.043446973"
"2521","0.47972953","0.47972953","0.47972953"
