"Step","Feb13_10-59-31_PPO - Reward / Total reward (mean)","Feb13_10-59-31_PPO - Reward / Total reward (mean)__MIN","Feb13_10-59-31_PPO - Reward / Total reward (mean)__MAX"
"13","-0.59639645","-0.59639645","-0.59639645"
"30","-0.6270547","-0.6270547","-0.6270547"
"50","1.8021878","1.8021878","1.8021878"
"62","1.7343876","1.7343876","1.7343876"
"87","1.2821256","1.2821256","1.2821256"
"99","1.778076","1.778076","1.778076"
"119","1.6665131","1.6665131","1.6665131"
"144","1.5380619","1.5380619","1.5380619"
"164","1.7533617","1.7533617","1.7533617"
"176","1.7385164","1.7385164","1.7385164"
"193","1.6799917","1.6799917","1.6799917"
"213","1.6852297","1.6852297","1.6852297"
"233","1.611685","1.611685","1.611685"
"258","1.6441768","1.6441768","1.6441768"
"270","1.4019134","1.4019134","1.4019134"
"290","1.746752","1.746752","1.746752"
"315","1.6126593","1.6126593","1.6126593"
"327","1.6172498","1.6172498","1.6172498"
"347","1.6848001","1.6848001","1.6848001"
"372","1.677773","1.677773","1.677773"
"392","1.7317392","1.7317392","1.7317392"
"404","1.5901643","1.5901643","1.5901643"
"421","1.6985178","1.6985178","1.6985178"
"441","1.6538054","1.6538054","1.6538054"
"469","1.503453","1.503453","1.503453"
"486","1.5228435","1.5228435","1.5228435"
"498","1.5634062","1.5634062","1.5634062"
"526","1.4910744","1.4910744","1.4910744"
"535","1.4792019","1.4792019","1.4792019"
"555","1.6800857","1.6800857","1.6800857"
"583","1.6021005","1.6021005","1.6021005"
"600","1.681942","1.681942","1.681942"
"612","1.5975028","1.5975028","1.5975028"
"632","1.7477882","1.7477882","1.7477882"
"649","1.7283939","1.7283939","1.7283939"
"677","1.6602312","1.6602312","1.6602312"
"689","1.5814912","1.5814912","1.5814912"
"714","1.5701952","1.5701952","1.5701952"
"726","1.5072178","1.5072178","1.5072178"
"746","1.6661597","1.6661597","1.6661597"
"763","1.6237649","1.6237649","1.6237649"
"791","1.4886042","1.4886042","1.4886042"
"811","1.488066","1.488066","1.488066"
"820","1.5157299","1.5157299","1.5157299"
"848","1.6024725","1.6024725","1.6024725"
"860","1.7300957","1.7300957","1.7300957"
"877","1.5205835","1.5205835","1.5205835"
"905","1.7215474","1.7215474","1.7215474"
"917","1.6733215","1.6733215","1.6733215"
"934","1.4554243","1.4554243","1.4554243"
"962","1.6861174","1.6861174","1.6861174"
"974","1.7043836","1.7043836","1.7043836"
"991","1.6421974","1.6421974","1.6421974"
"1019","1.7215308","1.7215308","1.7215308"
"1039","1.5244212","1.5244212","1.5244212"
"1056","1.5638801","1.5638801","1.5638801"
"1068","1.6237987","1.6237987","1.6237987"
"1088","1.6511594","1.6511594","1.6511594"
"1113","1.6617999","1.6617999","1.6617999"
"1133","1.6545197","1.6545197","1.6545197"
"1145","1.5990692","1.5990692","1.5990692"
"1162","1.4562086","1.4562086","1.4562086"
"1190","1.6814203","1.6814203","1.6814203"
"1210","1.717354","1.717354","1.717354"
"1219","1.6587311","1.6587311","1.6587311"
"1239","1.3190929","1.3190929","1.3190929"
"1259","1.6823908","1.6823908","1.6823908"
"1276","1.403601","1.403601","1.403601"
"1296","1.3577226","1.3577226","1.3577226"
"1324","1.7183124","1.7183124","1.7183124"
"1333","1.6533303","1.6533303","1.6533303"
"1353","1.7549875","1.7549875","1.7549875"
"1373","1.7215773","1.7215773","1.7215773"
"1390","1.672834","1.672834","1.672834"
"1410","1.6814042","1.6814042","1.6814042"
"1430","1.7028446","1.7028446","1.7028446"
"1447","1.7198286","1.7198286","1.7198286"
"1475","1.4691902","1.4691902","1.4691902"
"1495","1.7065665","1.7065665","1.7065665"
"1504","1.5066758","1.5066758","1.5066758"
"1532","1.3683205","1.3683205","1.3683205"
"1544","1.5927022","1.5927022","1.5927022"
"1561","1.7115464","1.7115464","1.7115464"
"1581","1.6549906","1.6549906","1.6549906"
"1601","1.7062646","1.7062646","1.7062646"
"1618","1.537695","1.537695","1.537695"
"1646","1.6618842","1.6618842","1.6618842"
"1658","1.5892137","1.5892137","1.5892137"
"1675","1.5190495","1.5190495","1.5190495"
"1695","1.691261","1.691261","1.691261"
"1723","1.5197664","1.5197664","1.5197664"
"1732","1.6301829","1.6301829","1.6301829"
"1752","1.5266607","1.5266607","1.5266607"
"1780","1.4579227","1.4579227","1.4579227"
"1797","1.69177","1.69177","1.69177"
"1809","1.7348686","1.7348686","1.7348686"
"1829","1.7195319","1.7195319","1.7195319"
"1846","1.6654472","1.6654472","1.6654472"
"1866","1.6993158","1.6993158","1.6993158"
"1886","1.5114485","1.5114485","1.5114485"
"1903","1.4008968","1.4008968","1.4008968"
"1923","1.6467434","1.6467434","1.6467434"
"1943","1.6273022","1.6273022","1.6273022"
"1960","1.5052497","1.5052497","1.5052497"
"1980","1.6648064","1.6648064","1.6648064"
"2000","1.6815684","1.6815684","1.6815684"
"2025","1.7388256","1.7388256","1.7388256"
"2037","1.714908","1.714908","1.714908"
"2065","1.5467813","1.5467813","1.5467813"
"2074","1.7323252","1.7323252","1.7323252"
"2094","1.7247742","1.7247742","1.7247742"
"2122","1.5870343","1.5870343","1.5870343"
"2131","1.6910853","1.6910853","1.6910853"
"2151","1.6609241","1.6609241","1.6609241"
"2171","1.7119472","1.7119472","1.7119472"
"2196","1.6598662","1.6598662","1.6598662"
"2216","1.6487234","1.6487234","1.6487234"
"2236","1.6147109","1.6147109","1.6147109"
"2245","1.5916843","1.5916843","1.5916843"
"2265","1.6217211","1.6217211","1.6217211"
"2285","1.4819347","1.4819347","1.4819347"
"2302","1.7448323","1.7448323","1.7448323"
"2322","1.7334545","1.7334545","1.7334545"
"2342","1.7397274","1.7397274","1.7397274"
"2359","1.6462053","1.6462053","1.6462053"
"2387","1.4492903","1.4492903","1.4492903"
"2399","1.6218642","1.6218642","1.6218642"
"2416","1.3576657","1.3576657","1.3576657"
"2444","1.6216494","1.6216494","1.6216494"
"2464","1.5954398","1.5954398","1.5954398"
"2481","1.6774414","1.6774414","1.6774414"
"2501","1.7024832","1.7024832","1.7024832"
"2521","1.3717139","1.3717139","1.3717139"
"2538","1.6679463","1.6679463","1.6679463"
"2550","1.609113","1.609113","1.609113"
"2570","1.6388675","1.6388675","1.6388675"
"2587","1.7462336","1.7462336","1.7462336"
"2607","1.6125613","1.6125613","1.6125613"
"2627","1.7034435","1.7034435","1.7034435"
"2652","1.6347154","1.6347154","1.6347154"
"2664","1.7272977","1.7272977","1.7272977"
"2692","1.553299","1.553299","1.553299"
"2709","1.7038854","1.7038854","1.7038854"
"2721","1.5648721","1.5648721","1.5648721"
"2741","1.6445394","1.6445394","1.6445394"
"2758","1.7144762","1.7144762","1.7144762"
"2778","1.6420712","1.6420712","1.6420712"
"2806","1.5392424","1.5392424","1.5392424"
"2823","1.6689543","1.6689543","1.6689543"
"2843","1.5920563","1.5920563","1.5920563"
"2863","1.5885901","1.5885901","1.5885901"
"2880","1.412249","1.412249","1.412249"
"2892","1.6579012","1.6579012","1.6579012"
"2920","1.4618965","1.4618965","1.4618965"
"2929","1.7381908","1.7381908","1.7381908"
"2949","1.7589808","1.7589808","1.7589808"
"2969","0.9931058","0.9931058","0.9931058"
"2994","1.4264538","1.4264538","1.4264538"
"3014","1.6276654","1.6276654","1.6276654"
"3034","1.4462981","1.4462981","1.4462981"
"3051","1.6755321","1.6755321","1.6755321"
"3063","1.7087241","1.7087241","1.7087241"
"3083","1.7395252","1.7395252","1.7395252"
"3108","1.689745","1.689745","1.689745"
"3120","1.7285616","1.7285616","1.7285616"
"3148","1.7297561","1.7297561","1.7297561"
"3157","1.6508849","1.6508849","1.6508849"
"3185","1.7284875","1.7284875","1.7284875"
"3197","1.4808207","1.4808207","1.4808207"
"3222","1.6748716","1.6748716","1.6748716"
"3234","1.5372077","1.5372077","1.5372077"
"3254","1.5625589","1.5625589","1.5625589"
"3279","1.6732215","1.6732215","1.6732215"
"3291","1.6660595","1.6660595","1.6660595"
"3311","1.5937277","1.5937277","1.5937277"
"3336","1.3636512","1.3636512","1.3636512"
"3348","1.6859286","1.6859286","1.6859286"
"3368","1.597158","1.597158","1.597158"
"3393","1.6615422","1.6615422","1.6615422"
"3405","1.442159","1.442159","1.442159"
"3433","1.6382973","1.6382973","1.6382973"
"3442","1.3214629","1.3214629","1.3214629"
"3470","1.6981465","1.6981465","1.6981465"
"3482","1.6956433","1.6956433","1.6956433"
"3499","1.5783017","1.5783017","1.5783017"
"3519","1.5950005","1.5950005","1.5950005"
