"Step","Feb26_10-47-04_trpo_rover_TRPO - Reward / Total reward (mean)","Feb26_10-47-04_trpo_rover_TRPO - Reward / Total reward (mean)__MIN","Feb26_10-47-04_trpo_rover_TRPO - Reward / Total reward (mean)__MAX"
"13","-0.5962052","-0.5962052","-0.5962052"
"30","-0.5854181","-0.5854181","-0.5854181"
"51","1.8040798","1.8040798","1.8040798"
"64","1.5037903","1.5037903","1.5037903"
"81","0.1110644","0.1110644","0.1110644"
"102","1.36904","1.36904","1.36904"
"123","1.7285618","1.7285618","1.7285618"
"140","1.6614305","1.6614305","1.6614305"
"169","1.5963128","1.5963128","1.5963128"
"190","1.604886","1.604886","1.604886"
"207","1.5060189","1.5060189","1.5060189"
"228","1.6580567","1.6580567","1.6580567"
"241","1.5874325","1.5874325","1.5874325"
"266","1.5090264","1.5090264","1.5090264"
"279","1.6061597","1.6061597","1.6061597"
"300","1.4316303","1.4316303","1.4316303"
"325","1.1830367","1.1830367","1.1830367"
"346","1.6804051","1.6804051","1.6804051"
"359","1.7637484","1.7637484","1.7637484"
"384","1.3464382","1.3464382","1.3464382"
"397","1.3079133","1.3079133","1.3079133"
"418","1.3713802","1.3713802","1.3713802"
"435","1.4897991","1.4897991","1.4897991"
"456","1.5957171","1.5957171","1.5957171"
"485","1.6997164","1.6997164","1.6997164"
"494","1.4493736","1.4493736","1.4493736"
"515","1.6276999","1.6276999","1.6276999"
"544","1.5412903","1.5412903","1.5412903"
"553","1.1134238","1.1134238","1.1134238"
"574","1.6267987","1.6267987","1.6267987"
"595","1.2134984","1.2134984","1.2134984"
"620","1.5402685","1.5402685","1.5402685"
"641","1.3614423","1.3614423","1.3614423"
"654","1.7315462","1.7315462","1.7315462"
"679","1.5676874","1.5676874","1.5676874"
"692","1.382098","1.382098","1.382098"
"713","1.4711165","1.4711165","1.4711165"
"738","1.4895704","1.4895704","1.4895704"
"751","1.5681357","1.5681357","1.5681357"
"772","1.5850084","1.5850084","1.5850084"
"789","1.4282926","1.4282926","1.4282926"
"818","1.0943073","1.0943073","1.0943073"
"831","1.7482206","1.7482206","1.7482206"
"848","1.388924","1.388924","1.388924"
"869","1.5462607","1.5462607","1.5462607"
"890","1.5694121","1.5694121","1.5694121"
"907","1.3130556","1.3130556","1.3130556"
"928","1.2333417","1.2333417","1.2333417"
"949","1.4013484","1.4013484","1.4013484"
"966","1.7437898","1.7437898","1.7437898"
"987","1.5698113","1.5698113","1.5698113"
"1016","1.5546099","1.5546099","1.5546099"
"1025","1.5415908","1.5415908","1.5415908"
"1046","1.5073403","1.5073403","1.5073403"
"1075","1.6116084","1.6116084","1.6116084"
"1084","1.4802128","1.4802128","1.4802128"
"1113","1.5475065","1.5475065","1.5475065"
"1134","1.5523568","1.5523568","1.5523568"
"1151","1.5485419","1.5485419","1.5485419"
"1164","1.0524747","1.0524747","1.0524747"
"1193","1.5467176","1.5467176","1.5467176"
"1202","1.460244","1.460244","1.460244"
"1223","1.3465824","1.3465824","1.3465824"
"1252","1.625385","1.625385","1.625385"
"1261","1.555036","1.555036","1.555036"
"1282","1.518861","1.518861","1.518861"
"1311","1.4999542","1.4999542","1.4999542"
"1320","1.651093","1.651093","1.651093"
"1349","1.4887881","1.4887881","1.4887881"
"1370","1.5938007","1.5938007","1.5938007"
"1387","1.6756588","1.6756588","1.6756588"
"1408","1.5135825","1.5135825","1.5135825"
"1421","1.4810816","1.4810816","1.4810816"
"1446","1.4997783","1.4997783","1.4997783"
"1459","1.2720885","1.2720885","1.2720885"
"1488","1.4693424","1.4693424","1.4693424"
"1505","1.5006707","1.5006707","1.5006707"
"1526","1.1813401","1.1813401","1.1813401"
"1547","1.1895432","1.1895432","1.1895432"
"1556","1.3115867","1.3115867","1.3115867"
