"Step","Feb24_22-53-44_trpo_rover_TRPO - Reward / Total reward (mean)","Feb24_22-53-44_trpo_rover_TRPO - Reward / Total reward (mean)__MIN","Feb24_22-53-44_trpo_rover_TRPO - Reward / Total reward (mean)__MAX"
"2491","-3.4680784","-3.4680784","-3.4680784"
"2508","-3.4729826","-3.4729826","-3.4729826"
"2529","-4.5318255","-4.5318255","-4.5318255"
"2550","-2.7393875","-2.7393875","-2.7393875"
"2567","-3.4525757","-3.4525757","-3.4525757"
"2580","-3.1948001","-3.1948001","-3.1948001"
"2609","-4.31773","-4.31773","-4.31773"
"2626","-3.3451571","-3.3451571","-3.3451571"
"2647","-4.286181","-4.286181","-4.286181"
"2668","-3.8027425","-3.8027425","-3.8027425"
"2685","-4.32498","-4.32498","-4.32498"
"2706","-4.4385223","-4.4385223","-4.4385223"
"2727","-3.4974408","-3.4974408","-3.4974408"
"2744","-2.6239965","-2.6239965","-2.6239965"
"2765","-4.178494","-4.178494","-4.178494"
"2786","-3.722114","-3.722114","-3.722114"
"2795","-4.120444","-4.120444","-4.120444"
"2816","-3.8344986","-3.8344986","-3.8344986"
"2845","-3.4501252","-3.4501252","-3.4501252"
"2862","-4.7650013","-4.7650013","-4.7650013"
"2883","-3.4596264","-3.4596264","-3.4596264"
"2904","-2.07807","-2.07807","-2.07807"
"2921","-3.2512085","-3.2512085","-3.2512085"
"2942","-1.6584963","-1.6584963","-1.6584963"
"2963","-3.2258048","-3.2258048","-3.2258048"
"2980","-2.9514852","-2.9514852","-2.9514852"
"3001","-3.214625","-3.214625","-3.214625"
"3022","-3.7880578","-3.7880578","-3.7880578"
"3039","-3.1651993","-3.1651993","-3.1651993"
"3060","-2.7501159","-2.7501159","-2.7501159"
"3073","-2.539551","-2.539551","-2.539551"
"3098","-3.0908995","-3.0908995","-3.0908995"
"3119","-2.7449045","-2.7449045","-2.7449045"
"3132","-2.9726427","-2.9726427","-2.9726427"
"3149","-3.2701292","-3.2701292","-3.2701292"
"3178","-3.411435","-3.411435","-3.411435"
"3199","-3.4791543","-3.4791543","-3.4791543"
"3216","-3.3750825","-3.3750825","-3.3750825"
"3237","-3.0599358","-3.0599358","-3.0599358"
"3258","-3.9375174","-3.9375174","-3.9375174"
"3275","-3.1129797","-3.1129797","-3.1129797"
"3288","-2.9030316","-2.9030316","-2.9030316"
"3317","-2.5039628","-2.5039628","-2.5039628"
"3334","-2.682026","-2.682026","-2.682026"
"3355","-2.7909062","-2.7909062","-2.7909062"
"3376","-2.6011367","-2.6011367","-2.6011367"
"3397","-3.1003282","-3.1003282","-3.1003282"
"3414","-3.130143","-3.130143","-3.130143"
"3435","-3.5777755","-3.5777755","-3.5777755"
"3452","-2.929005","-2.929005","-2.929005"
"3473","-2.143067","-2.143067","-2.143067"
"3494","-2.3602483","-2.3602483","-2.3602483"
"3511","-2.5651922","-2.5651922","-2.5651922"
"3524","-3.4716766","-3.4716766","-3.4716766"
"3553","-3.0588236","-3.0588236","-3.0588236"
"3562","-2.2305121","-2.2305121","-2.2305121"
"3591","-2.7357924","-2.7357924","-2.7357924"
"3612","-3.1609008","-3.1609008","-3.1609008"
"3621","-3.041391","-3.041391","-3.041391"
"3650","-3.1817095","-3.1817095","-3.1817095"
"3663","-3.1294146","-3.1294146","-3.1294146"
"3680","-2.2582343","-2.2582343","-2.2582343"
"3709","-2.2259216","-2.2259216","-2.2259216"
"3730","-3.0360756","-3.0360756","-3.0360756"
"3747","-3.729361","-3.729361","-3.729361"
"3768","-2.518556","-2.518556","-2.518556"
"3789","-2.9794223","-2.9794223","-2.9794223"
"3806","-2.2984369","-2.2984369","-2.2984369"
"3827","-1.9170623","-1.9170623","-1.9170623"
"3840","-2.0085351","-2.0085351","-2.0085351"
"3865","-2.6956947","-2.6956947","-2.6956947"
"3886","-2.450835","-2.450835","-2.450835"
"3907","-2.6612334","-2.6612334","-2.6612334"
"3924","-3.111241","-3.111241","-3.111241"
"3937","-1.8997271","-1.8997271","-1.8997271"
"3966","-3.0397675","-3.0397675","-3.0397675"
"3983","-2.6295428","-2.6295428","-2.6295428"
"4004","-2.7920854","-2.7920854","-2.7920854"
"4025","-2.2698207","-2.2698207","-2.2698207"
"4042","-2.8264933","-2.8264933","-2.8264933"
"4063","-2.662571","-2.662571","-2.662571"
"4084","-2.523094","-2.523094","-2.523094"
"4101","-2.735614","-2.735614","-2.735614"
"4122","-2.3005977","-2.3005977","-2.3005977"
"4143","-2.4315202","-2.4315202","-2.4315202"
"4160","-2.4251723","-2.4251723","-2.4251723"
"4181","-2.3749619","-2.3749619","-2.3749619"
"4202","-2.8155978","-2.8155978","-2.8155978"
"4219","-3.150037","-3.150037","-3.150037"
"4240","-2.5564437","-2.5564437","-2.5564437"
"4261","-2.88616","-2.88616","-2.88616"
"4278","-1.9036521","-1.9036521","-1.9036521"
"4299","-2.4226313","-2.4226313","-2.4226313"
"4320","-2.3707104","-2.3707104","-2.3707104"
"4337","-2.220526","-2.220526","-2.220526"
"4358","-2.3439083","-2.3439083","-2.3439083"
"4379","-2.0343995","-2.0343995","-2.0343995"
"4396","-2.2589378","-2.2589378","-2.2589378"
"4409","-2.4183588","-2.4183588","-2.4183588"
"4438","-1.6801124","-1.6801124","-1.6801124"
"4455","-2.5341024","-2.5341024","-2.5341024"
"4476","-2.226871","-2.226871","-2.226871"
"4497","-2.4856963","-2.4856963","-2.4856963"
"4506","-2.4279926","-2.4279926","-2.4279926"
"4527","-2.0286307","-2.0286307","-2.0286307"
"4556","-2.3485518","-2.3485518","-2.3485518"
"4573","-2.3381343","-2.3381343","-2.3381343"
"4594","-2.220185","-2.220185","-2.220185"
"4607","-2.2425408","-2.2425408","-2.2425408"
"4632","-2.3268754","-2.3268754","-2.3268754"
"4653","-2.0882518","-2.0882518","-2.0882518"
"4674","-2.7033434","-2.7033434","-2.7033434"
"4683","-2.0282223","-2.0282223","-2.0282223"
"4712","-2.6900911","-2.6900911","-2.6900911"
"4733","-2.3324566","-2.3324566","-2.3324566"
"4750","-2.577836","-2.577836","-2.577836"
"4771","-2.1516652","-2.1516652","-2.1516652"
"4792","-1.9110986","-1.9110986","-1.9110986"
"4809","-2.304609","-2.304609","-2.304609"
"4830","-2.326521","-2.326521","-2.326521"
"4851","-2.2623062","-2.2623062","-2.2623062"
"4868","-2.035716","-2.035716","-2.035716"
"4889","-1.9675398","-1.9675398","-1.9675398"
"4910","-1.5338601","-1.5338601","-1.5338601"
"4927","-2.4537902","-2.4537902","-2.4537902"
"4948","-1.6649711","-1.6649711","-1.6649711"
"4969","-2.4511123","-2.4511123","-2.4511123"
"4986","-2.0512342","-2.0512342","-2.0512342"
"5007","-1.9934874","-1.9934874","-1.9934874"
"5028","-1.9102604","-1.9102604","-1.9102604"
"5045","-1.9064097","-1.9064097","-1.9064097"
"5066","-2.4065058","-2.4065058","-2.4065058"
"5087","-2.2911541","-2.2911541","-2.2911541"
"5104","-1.7130663","-1.7130663","-1.7130663"
"5125","-2.3792026","-2.3792026","-2.3792026"
"5146","-1.9363135","-1.9363135","-1.9363135"
"5163","-1.96876","-1.96876","-1.96876"
"5184","-2.3288426","-2.3288426","-2.3288426"
"5205","-2.3622723","-2.3622723","-2.3622723"
"5222","-1.7905706","-1.7905706","-1.7905706"
"5243","-2.0711381","-2.0711381","-2.0711381"
"5256","-2.0068765","-2.0068765","-2.0068765"
"5281","-2.3305602","-2.3305602","-2.3305602"
"5302","-1.8404373","-1.8404373","-1.8404373"
"5323","-1.964515","-1.964515","-1.964515"
"5340","-1.938704","-1.938704","-1.938704"
"5353","-2.1522768","-2.1522768","-2.1522768"
"5382","-1.7430865","-1.7430865","-1.7430865"
"5391","-1.5000103","-1.5000103","-1.5000103"
"5420","-1.6265336","-1.6265336","-1.6265336"
"5441","-1.4247131","-1.4247131","-1.4247131"
"5450","-1.5536813","-1.5536813","-1.5536813"
"5479","-1.9794965","-1.9794965","-1.9794965"
"5500","-1.85839","-1.85839","-1.85839"
"5517","-1.7537537","-1.7537537","-1.7537537"
"5538","-1.849388","-1.849388","-1.849388"
"5551","-1.5445638","-1.5445638","-1.5445638"
"5576","-0.93672407","-0.93672407","-0.93672407"
"5597","-1.501699","-1.501699","-1.501699"
"5618","-1.9404869","-1.9404869","-1.9404869"
"5635","-1.5803088","-1.5803088","-1.5803088"
"5656","-1.4846625","-1.4846625","-1.4846625"
"5677","-1.6797658","-1.6797658","-1.6797658"
"5694","-1.8316773","-1.8316773","-1.8316773"
"5715","-1.9135144","-1.9135144","-1.9135144"
"5736","-1.3029045","-1.3029045","-1.3029045"
"5753","-1.5003206","-1.5003206","-1.5003206"
"5774","-1.807414","-1.807414","-1.807414"
"5795","-1.6616623","-1.6616623","-1.6616623"
"5804","-1.7538254","-1.7538254","-1.7538254"
"5825","-1.9693571","-1.9693571","-1.9693571"
"5846","-1.487375","-1.487375","-1.487375"
"5871","-1.7096784","-1.7096784","-1.7096784"
"5892","-1.4909624","-1.4909624","-1.4909624"
"5913","-1.6940498","-1.6940498","-1.6940498"
"5930","-1.2690814","-1.2690814","-1.2690814"
"5951","-1.3636299","-1.3636299","-1.3636299"
"5964","-1.5902684","-1.5902684","-1.5902684"
"5981","-1.5892638","-1.5892638","-1.5892638"
"6002","-1.5620531","-1.5620531","-1.5620531"
"6031","-1.6612394","-1.6612394","-1.6612394"
"6048","-1.5844977","-1.5844977","-1.5844977"
"6069","-1.6797124","-1.6797124","-1.6797124"
"6090","-1.6006941","-1.6006941","-1.6006941"
"6099","-1.7481433","-1.7481433","-1.7481433"
"6128","-1.8728757","-1.8728757","-1.8728757"
"6149","-1.0745956","-1.0745956","-1.0745956"
"6166","-1.7053927","-1.7053927","-1.7053927"
