"Step","Feb13_10-59-31_PPO - Episode / Total timesteps (mean)","Feb13_10-59-31_PPO - Episode / Total timesteps (mean)__MIN","Feb13_10-59-31_PPO - Episode / Total timesteps (mean)__MAX"
"3017","124.18185","124.18185","124.18185"
"3037","137.01128","137.01128","137.01128"
"3054","147.08691","147.08691","147.08691"
"3066","137.52556","137.52556","137.52556"
"3086","118.5448","118.5448","118.5448"
"3111","134.64093","134.64093","134.64093"
"3123","127.48148","127.48148","127.48148"
"3151","127.383995","127.383995","127.383995"
"3160","123.48185","123.48185","123.48185"
"3188","136.28174","136.28174","136.28174"
"3200","126.74041","126.74041","126.74041"
"3225","137.43196","137.43196","137.43196"
"3237","128.33499","128.33499","128.33499"
"3257","143.78915","143.78915","143.78915"
"3282","129.95909","129.95909","129.95909"
"3294","146.80153","146.80153","146.80153"
"3314","140.43597","140.43597","140.43597"
"3339","130.30438","130.30438","130.30438"
"3351","141.39877","141.39877","141.39877"
"3371","158.50735","158.50735","158.50735"
"3396","160.8845","160.8845","160.8845"
"3408","189.97931","189.97931","189.97931"
"3436","160.41125","160.41125","160.41125"
"3445","140.44788","140.44788","140.44788"
"3473","149.00778","149.00778","149.00778"
"3485","146.91571","146.91571","146.91571"
"3502","227.17575","227.17575","227.17575"
"3522","133.55788","133.55788","133.55788"
"3542","155.0615","155.0615","155.0615"
"3559","130.80411","130.80411","130.80411"
"3587","149.62506","149.62506","149.62506"
"3599","158.47461","158.47461","158.47461"
"3616","169.34023","169.34023","169.34023"
"3644","166.55399","166.55399","166.55399"
"3664","117.63763","117.63763","117.63763"
"3681","157.6033","157.6033","157.6033"
"3693","140.50427","140.50427","140.50427"
"3721","185.43329","185.43329","185.43329"
"3730","156.34749","156.34749","156.34749"
"3750","181.29329","181.29329","181.29329"
"3770","150.39157","150.39157","150.39157"
"3795","194.5824","194.5824","194.5824"
"3815","134.01837","134.01837","134.01837"
"3827","146.41379","146.41379","146.41379"
"3852","164.5035","164.5035","164.5035"
"3864","137.04076","137.04076","137.04076"
"3884","171.8761","171.8761","171.8761"
