"Step","Feb13_21-58-41_PPO - Episode / Total timesteps (mean)","Feb13_21-58-41_PPO - Episode / Total timesteps (mean)__MIN","Feb13_21-58-41_PPO - Episode / Total timesteps (mean)__MAX"
"16","35","35","35"
"33","42.48718","42.48718","42.48718"
"53","93.40565","93.40565","93.40565"
"65","126.77171","126.77171","126.77171"
"90","146.92624","146.92624","146.92624"
"102","115.13347","115.13347","115.13347"
"122","129.10242","129.10242","129.10242"
"147","158.14981","158.14981","158.14981"
"167","116.744316","116.744316","116.744316"
"179","120.685165","120.685165","120.685165"
"196","156.82452","156.82452","156.82452"
"216","120.68645","120.68645","120.68645"
"244","128.05814","128.05814","128.05814"
"253","105.63902","105.63902","105.63902"
"273","128.12085","128.12085","128.12085"
"301","121.7065","121.7065","121.7065"
"318","124.33602","124.33602","124.33602"
"330","123.77669","123.77669","123.77669"
"358","132.55168","132.55168","132.55168"
"367","112.932945","112.932945","112.932945"
"387","120.81985","120.81985","120.81985"
"407","123.4843","123.4843","123.4843"
"424","132.38776","132.38776","132.38776"
"452","133.34674","133.34674","133.34674"
"472","113.90437","113.90437","113.90437"
"489","145.42241","145.42241","145.42241"
"501","128.09843","128.09843","128.09843"
"521","126.848335","126.848335","126.848335"
"538","181.4994","181.4994","181.4994"
"566","190.01631","190.01631","190.01631"
"578","187.82271","187.82271","187.82271"
"595","151.47787","151.47787","151.47787"
"615","121.14326","121.14326","121.14326"
"643","148.65536","148.65536","148.65536"
"660","140.33319","140.33319","140.33319"
"672","127.990486","127.990486","127.990486"
"692","117.702484","117.702484","117.702484"
"709","110.08307","110.08307","110.08307"
"729","189.01918","189.01918","189.01918"
"757","154.75473","154.75473","154.75473"
"774","132.65593","132.65593","132.65593"
"786","149.54164","149.54164","149.54164"
"806","118.3499","118.3499","118.3499"
"831","108.644646","108.644646","108.644646"
"843","126.09049","126.09049","126.09049"
"871","123.89531","123.89531","123.89531"
"888","116.48352","116.48352","116.48352"
"908","112.278336","112.278336","112.278336"
"920","134.01039","134.01039","134.01039"
"937","139.87387","139.87387","139.87387"
"965","155.84392","155.84392","155.84392"
"977","130.65619","130.65619","130.65619"
"994","124.85969","124.85969","124.85969"
"1022","142.00705","142.00705","142.00705"
"1034","128.3457","128.3457","128.3457"
"1059","133.25157","133.25157","133.25157"
"1079","134.23508","134.23508","134.23508"
"1099","137.10396","137.10396","137.10396"
"1108","114.33539","114.33539","114.33539"
"1128","117.83187","117.83187","117.83187"
"1148","151.756","151.756","151.756"
"1165","108.82478","108.82478","108.82478"
"1185","145.66885","145.66885","145.66885"
"1205","124.69864","124.69864","124.69864"
"1230","194.8365","194.8365","194.8365"
"1250","120.810875","120.810875","120.810875"
"1270","118.780136","118.780136","118.780136"
"1279","146.29657","146.29657","146.29657"
"1299","108.79731","108.79731","108.79731"
"1319","160.95415","160.95415","160.95415"
"1336","169.68535","169.68535","169.68535"
"1356","123.873886","123.873886","123.873886"
"1376","114.667694","114.667694","114.667694"
"1393","159.52696","159.52696","159.52696"
"1421","116.534","116.534","116.534"
"1433","115.17452","115.17452","115.17452"
"1450","121.7076","121.7076","121.7076"
"1478","118.826706","118.826706","118.826706"
"1490","128.30254","128.30254","128.30254"
"1515","176.91624","176.91624","176.91624"
"1535","120.569954","120.569954","120.569954"
"1547","117.79892","117.79892","117.79892"
"1572","133.44307","133.44307","133.44307"
"1584","111.99476","111.99476","111.99476"
