"Step","Feb12_03-32-08_PPO - Episode / Total timesteps (mean)","Feb12_03-32-08_PPO - Episode / Total timesteps (mean)__MIN","Feb12_03-32-08_PPO - Episode / Total timesteps (mean)__MAX"
"16","33.4375","33.4375","33.4375"
"36","62.875","62.875","62.875"
"53","89.69231","89.69231","89.69231"
"73","138.09877","138.09877","138.09877"
"90","168.81453","168.81453","168.81453"
"110","214.33928","214.33928","214.33928"
"130","268","268","268"
"147","292.79565","292.79565","292.79565"
"167","329.17172","329.17172","329.17172"
"187","370.62463","370.62463","370.62463"
"204","410.403","410.403","410.403"
"224","423.5147","423.5147","423.5147"
"244","441.20386","441.20386","441.20386"
"261","503.49405","503.49405","503.49405"
"273","169.06393","169.06393","169.06393"
"301","470.52722","470.52722","470.52722"
"318","525.095","525.095","525.095"
"338","426.61673","426.61673","426.61673"
"358","547.3292","547.3292","547.3292"
"367","129.79124","129.79124","129.79124"
"387","198.81593","198.81593","198.81593"
"415","159.88396","159.88396","159.88396"
"432","265.3283","265.3283","265.3283"
"452","183.43141","183.43141","183.43141"
"472","450.38742","450.38742","450.38742"
"489","208.72495","208.72495","208.72495"
"509","269.78024","269.78024","269.78024"
"529","166.70428","166.70428","166.70428"
"546","502.90274","502.90274","502.90274"
"558","334.50693","334.50693","334.50693"
"586","290.54044","290.54044","290.54044"
"603","223.93211","223.93211","223.93211"
"623","232.89568","232.89568","232.89568"
"643","216.15994","216.15994","216.15994"
"660","444.85602","444.85602","444.85602"
"672","345.73532","345.73532","345.73532"
"692","664.26135","664.26135","664.26135"
"717","426.42426","426.42426","426.42426"
"737","219.83266","219.83266","219.83266"
"757","581.30664","581.30664","581.30664"
"766","169.91055","169.91055","169.91055"
"794","478.99518","478.99518","478.99518"
"806","509.73364","509.73364","509.73364"
"831","375.05594","375.05594","375.05594"
"843","401.9658","401.9658","401.9658"
"871","296.01834","296.01834","296.01834"
"880","375.58868","375.58868","375.58868"
"900","346.8732","346.8732","346.8732"
"928","276.33432","276.33432","276.33432"
"945","190.417","190.417","190.417"
"965","358.06104","358.06104","358.06104"
"985","144.01662","144.01662","144.01662"
"1002","426.80344","426.80344","426.80344"
"1022","166.96909","166.96909","166.96909"
"1042","318.68817","318.68817","318.68817"
"1059","373.8577","373.8577","373.8577"
"1079","406.37967","406.37967","406.37967"
"1099","316.46573","316.46573","316.46573"
"1116","445.50726","445.50726","445.50726"
"1136","618.54","618.54","618.54"
"1156","356.59586","356.59586","356.59586"
"1173","337.36548","337.36548","337.36548"
"1193","540.75494","540.75494","540.75494"
"1213","356.52664","356.52664","356.52664"
"1222","548.6059","548.6059","548.6059"
"1250","326.62643","326.62643","326.62643"
"1262","423.77518","423.77518","423.77518"
"1287","361.2689","361.2689","361.2689"
"1299","423.10367","423.10367","423.10367"
"1327","506.93793","506.93793","506.93793"
"1344","394.1342","394.1342","394.1342"
"1364","447.62988","447.62988","447.62988"
"1384","427.97058","427.97058","427.97058"
"1401","395.5513","395.5513","395.5513"
"1413","391.51523","391.51523","391.51523"
"1433","291.80222","291.80222","291.80222"
"1458","425.25668","425.25668","425.25668"
"1478","237.00833","237.00833","237.00833"
"1498","489.93076","489.93076","489.93076"
"1515","389.03717","389.03717","389.03717"
"1535","421.6724","421.6724","421.6724"
"1555","343.80457","343.80457","343.80457"
"1572","346.00024","346.00024","346.00024"
"1592","343.3698","343.3698","343.3698"
"1612","362.38632","362.38632","362.38632"
"1629","554.8172","554.8172","554.8172"
"1649","509.0028","509.0028","509.0028"
"1669","461.0268","461.0268","461.0268"
"1686","425.85385","425.85385","425.85385"
"1698","504.0333","504.0333","504.0333"
"1718","420.97174","420.97174","420.97174"
"1743","365.34927","365.34927","365.34927"
"1763","409.39166","409.39166","409.39166"
"1775","401.4182","401.4182","401.4182"
"1792","331.26666","331.26666","331.26666"
"1820","234.79054","234.79054","234.79054"
"1840","516.64923","516.64923","516.64923"
"1849","452.48444","452.48444","452.48444"
"1877","371.21213","371.21213","371.21213"
"1897","362.86017","362.86017","362.86017"
"1906","506.80673","506.80673","506.80673"
"1934","417.35184","417.35184","417.35184"
"1954","645.5357","645.5357","645.5357"
"1971","428.13315","428.13315","428.13315"
"1991","490.4859","490.4859","490.4859"
"2011","657.998","657.998","657.998"
"2020","581.0943","581.0943","581.0943"
"2048","549.0436","549.0436","549.0436"
"2068","512.2613","512.2613","512.2613"
"2085","277.15216","277.15216","277.15216"
"2105","394.22546","394.22546","394.22546"
"2125","575.9428","575.9428","575.9428"
"2142","519.538","519.538","519.538"
"2162","112.833084","112.833084","112.833084"
"2174","442.69308","442.69308","442.69308"
"2199","341.7117","341.7117","341.7117"
"2211","417.14792","417.14792","417.14792"
"2231","361.17474","361.17474","361.17474"
"2256","487.43893","487.43893","487.43893"
"2276","539.7343","539.7343","539.7343"
"2296","407.68536","407.68536","407.68536"
"2313","481.56076","481.56076","481.56076"
"2333","379.43195","379.43195","379.43195"
"2353","459.89343","459.89343","459.89343"
"2370","404.31815","404.31815","404.31815"
"2390","609.0906","609.0906","609.0906"
"2410","289.77542","289.77542","289.77542"
"2427","349.85004","349.85004","349.85004"
"2439","467.21527","467.21527","467.21527"
"2467","516.9777","516.9777","516.9777"
"2484","216.23634","216.23634","216.23634"
"2496","276.65735","276.65735","276.65735"
"2516","542.5192","542.5192","542.5192"
"2541","349.67612","349.67612","349.67612"
"2561","618.4816","618.4816","618.4816"
"2573","387.83536","387.83536","387.83536"
"2590","518.93774","518.93774","518.93774"
"2618","242.24991","242.24991","242.24991"
"2630","281.16302","281.16302","281.16302"
"2647","374.51025","374.51025","374.51025"
"2675","472.78052","472.78052","472.78052"
"2695","380.78323","380.78323","380.78323"
"2712","422.16687","422.16687","422.16687"
"2732","376.67044","376.67044","376.67044"
"2752","503.11554","503.11554","503.11554"
"2769","455.31232","455.31232","455.31232"
"2789","552.8425","552.8425","552.8425"
"2809","559.3007","559.3007","559.3007"
"2826","341.71402","341.71402","341.71402"
"2838","620.14124","620.14124","620.14124"
"2866","570.29694","570.29694","570.29694"
"2875","351.97708","351.97708","351.97708"
"2895","497.2692","497.2692","497.2692"
"2923","279.07983","279.07983","279.07983"
"2940","624.09247","624.09247","624.09247"
"2960","634.3123","634.3123","634.3123"
"2980","455.07883","455.07883","455.07883"
"2997","489.8558","489.8558","489.8558"
"3017","584.46796","584.46796","584.46796"
"3037","538.11774","538.11774","538.11774"
"3054","603.84485","603.84485","603.84485"
"3074","482.62543","482.62543","482.62543"
"3094","460.88242","460.88242","460.88242"
"3111","409.83633","409.83633","409.83633"
"3123","384.43668","384.43668","384.43668"
"3151","384.37216","384.37216","384.37216"
"3168","383.36505","383.36505","383.36505"
"3180","366.25043","366.25043","366.25043"
"3208","389.95312","389.95312","389.95312"
"3217","580.1707","580.1707","580.1707"
"3245","270.27322","270.27322","270.27322"
"3265","453.1065","453.1065","453.1065"
"3282","535.7135","535.7135","535.7135"
"3294","526.097","526.097","526.097"
"3322","670.9145","670.9145","670.9145"
"3339","591.49335","591.49335","591.49335"
"3359","412.31076","412.31076","412.31076"
"3379","348.18423","348.18423","348.18423"
"3396","439.29376","439.29376","439.29376"
"3408","439.54553","439.54553","439.54553"
"3436","493.37302","493.37302","493.37302"
"3453","361.19373","361.19373","361.19373"
"3473","471.81528","471.81528","471.81528"
"3493","500.482","500.482","500.482"
"3510","433.20578","433.20578","433.20578"
"3530","676.1127","676.1127","676.1127"
"3550","496.12057","496.12057","496.12057"
"3567","465.53436","465.53436","465.53436"
"3587","668.83453","668.83453","668.83453"
"3607","601.6201","601.6201","601.6201"
"3624","487.4065","487.4065","487.4065"
"3644","509.0131","509.0131","509.0131"
"3664","434.00455","434.00455","434.00455"
"3673","585.31213","585.31213","585.31213"
"3701","314.0803","314.0803","314.0803"
"3721","519.5626","519.5626","519.5626"
"3738","552.8972","552.8972","552.8972"
"3758","454.70956","454.70956","454.70956"
"3778","596.2554","596.2554","596.2554"
"3787","513.3504","513.3504","513.3504"
"3815","750","750","750"
"3835","535.80164","535.80164","535.80164"
"3844","501.39108","501.39108","501.39108"
"3872","373.2931","373.2931","373.2931"
"3892","363.24478","363.24478","363.24478"
"3909","485.95853","485.95853","485.95853"
"3929","533.6187","533.6187","533.6187"
"3941","463.49496","463.49496","463.49496"
"3958","417.5662","417.5662","417.5662"
"3986","693.34235","693.34235","693.34235"
"3998","687.5599","687.5599","687.5599"
"4015","593.68335","593.68335","593.68335"
"4043","626.44055","626.44055","626.44055"
"4063","561.55554","561.55554","561.55554"
"4080","391.8662","391.8662","391.8662"
"4092","503.86548","503.86548","503.86548"
"4120","597.9945","597.9945","597.9945"
"4137","516.6667","516.6667","516.6667"
"4149","613.87585","613.87585","613.87585"
"4177","713.16925","713.16925","713.16925"
"4194","424.18588","424.18588","424.18588"
"4214","750","750","750"
"4234","715.70044","715.70044","715.70044"
"4243","554.70734","554.70734","554.70734"
"4271","517.3609","517.3609","517.3609"
"4283","621.31573","621.31573","621.31573"
"4308","522.4768","522.4768","522.4768"
"4328","378.5457","378.5457","378.5457"
"4340","654.9974","654.9974","654.9974"
"4357","460.37555","460.37555","460.37555"
"4385","593.6918","593.6918","593.6918"
"4405","600.99805","600.99805","600.99805"
"4422","324.4853","324.4853","324.4853"
"4442","544.7058","544.7058","544.7058"
"4462","478.96396","478.96396","478.96396"
"4479","428.91736","428.91736","428.91736"
"4499","533.7457","533.7457","533.7457"
"4511","402.68332","402.68332","402.68332"
"4536","471.45203","471.45203","471.45203"
"4556","559.3252","559.3252","559.3252"
"4576","378.57748","378.57748","378.57748"
"4593","322.87045","322.87045","322.87045"
"4605","417.17487","417.17487","417.17487"
"4633","686.6764","686.6764","686.6764"
"4650","537.93243","537.93243","537.93243"
"4670","666.41425","666.41425","666.41425"
"4690","728.8346","728.8346","728.8346"
"4707","725.9737","725.9737","725.9737"
"4719","492.1078","492.1078","492.1078"
"4747","736.581","736.581","736.581"
"4764","746.21454","746.21454","746.21454"
"4784","648.4101","648.4101","648.4101"
"4804","564.3507","564.3507","564.3507"
"4821","415.93152","415.93152","415.93152"
"4841","679.16516","679.16516","679.16516"
"4861","669.42224","669.42224","669.42224"
"4878","635.94324","635.94324","635.94324"
"4898","745.4544","745.4544","745.4544"
"4918","477.8754","477.8754","477.8754"
"4935","559.149","559.149","559.149"
"4955","529.6281","529.6281","529.6281"
"4967","555.95105","555.95105","555.95105"
"4992","616.5282","616.5282","616.5282"
"5012","624.53845","624.53845","624.53845"
"5032","628.87823","628.87823","628.87823"
"5049","695.8919","695.8919","695.8919"
"5069","692.2878","692.2878","692.2878"
"5089","620.15826","620.15826","620.15826"
"5106","594.4611","594.4611","594.4611"
"5118","748","748","748"
"5146","704.9016","704.9016","704.9016"
"5163","627.8677","627.8677","627.8677"
"5183","724.7308","724.7308","724.7308"
"5203","516.4193","516.4193","516.4193"
"5220","629.2718","629.2718","629.2718"
"5240","639.48035","639.48035","639.48035"
"5260","608.3533","608.3533","608.3533"
"5269","678.86206","678.86206","678.86206"
"5289","661.93353","661.93353","661.93353"
"5309","742.58765","742.58765","742.58765"
"5337","552.0595","552.0595","552.0595"
"5354","716.19684","716.19684","716.19684"
"5374","326.15237","326.15237","326.15237"
"5391","711.8471","711.8471","711.8471"
"5411","652.01556","652.01556","652.01556"
"5423","609.0507","609.0507","609.0507"
"5440","582.99023","582.99023","582.99023"
"5468","632.71075","632.71075","632.71075"
"5488","639.5451","639.5451","639.5451"
"5497","688.12695","688.12695","688.12695"
"5525","595.71","595.71","595.71"
"5545","695.26746","695.26746","695.26746"
"5562","541.98596","541.98596","541.98596"
"5574","550.77356","550.77356","550.77356"
"5594","658.51666","658.51666","658.51666"
"5619","715.01526","715.01526","715.01526"
"5639","659.40674","659.40674","659.40674"
"5659","635.4237","635.4237","635.4237"
"5676","720.1133","720.1133","720.1133"
"5696","487.88837","487.88837","487.88837"
"5708","671.8364","671.8364","671.8364"
"5733","568.57086","568.57086","568.57086"
"5753","595.06464","595.06464","595.06464"
"5765","730.2197","730.2197","730.2197"
"5790","532.90857","532.90857","532.90857"
"5810","555.01416","555.01416","555.01416"
"5830","633.17975","633.17975","633.17975"
"5847","525.89655","525.89655","525.89655"
"5867","538.47595","538.47595","538.47595"
"5887","555.36664","555.36664","555.36664"
"5904","729.05237","729.05237","729.05237"
"5916","727.3905","727.3905","727.3905"
"5936","716.29626","716.29626","716.29626"
"5953","667.8125","667.8125","667.8125"
"5981","685.18634","685.18634","685.18634"
"6001","750","750","750"
"6018","741.2113","741.2113","741.2113"
"6038","646.8068","646.8068","646.8068"
"6058","732.0912","732.0912","732.0912"
"6075","750","750","750"
"6095","738.7119","738.7119","738.7119"
"6115","742.32574","742.32574","742.32574"
"6132","738.96747","738.96747","738.96747"
"6144","471.68457","471.68457","471.68457"
"6172","750","750","750"
"6189","662.975","662.975","662.975"
"6209","669.4635","669.4635","669.4635"
"6229","671.5726","671.5726","671.5726"
"6246","623.3234","623.3234","623.3234"
"6266","595.90283","595.90283","595.90283"
"6286","490.14035","490.14035","490.14035"
"6303","747.14435","747.14435","747.14435"
"6323","711.6261","711.6261","711.6261"
"6343","701.54865","701.54865","701.54865"
"6360","749.23334","749.23334","749.23334"
"6380","627.25","627.25","627.25"
"6400","732.9","732.9","732.9"
"6417","660.0707","660.0707","660.0707"
"6437","750","750","750"
"6457","740.4757","740.4757","740.4757"
"6474","547.7848","547.7848","547.7848"
"6494","660.42694","660.42694","660.42694"
"6506","750","750","750"
"6531","750","750","750"
"6543","657.9403","657.9403","657.9403"
"6571","621.89514","621.89514","621.89514"
"6588","740.7237","740.7237","740.7237"
"6608","750","750","750"
"6628","750","750","750"
"6645","750","750","750"
"6665","750","750","750"
"6677","546.90735","546.90735","546.90735"
"6702","690.53125","690.53125","690.53125"
"6714","695.8164","695.8164","695.8164"
"6734","730.08167","730.08167","730.08167"
"6759","750","750","750"
"6771","457.64917","457.64917","457.64917"
"6799","652.5217","652.5217","652.5217"
"6816","675.29987","675.29987","675.29987"
"6836","750","750","750"
"6856","575.1988","575.1988","575.1988"
"6873","750","750","750"
"6893","750","750","750"
"6913","750","750","750"
"6922","707.5679","707.5679","707.5679"
"6942","742.043","742.043","742.043"
"6970","750","750","750"
"6987","750","750","750"
"7007","693.11536","693.11536","693.11536"
"7027","750","750","750"
"7044","685.81995","685.81995","685.81995"
"7064","750","750","750"
"7084","749.86035","749.86035","749.86035"
"7101","750","750","750"
"7121","750","750","750"
"7133","734.42914","734.42914","734.42914"
"7158","750","750","750"
"7170","707.9713","707.9713","707.9713"
"7198","745.1001","745.1001","745.1001"
"7215","655.417","655.417","655.417"
"7235","750","750","750"
"7255","694.4098","694.4098","694.4098"
"7272","726.0579","726.0579","726.0579"
"7292","716.4865","716.4865","716.4865"
"7312","614.4566","614.4566","614.4566"
"7329","671.88007","671.88007","671.88007"
"7341","750","750","750"
"7369","665.31354","665.31354","665.31354"
"7386","511.2246","511.2246","511.2246"
"7398","750","750","750"
"7426","676.42365","676.42365","676.42365"
"7443","720.86774","720.86774","720.86774"
"7463","681.0769","681.0769","681.0769"
"7483","750","750","750"
"7492","680.9229","680.9229","680.9229"
"7520","750","750","750"
"7540","748.9","748.9","748.9"
"7557","750","750","750"
"7569","595.86334","595.86334","595.86334"
"7597","719.82336","719.82336","719.82336"
"7614","739.5833","739.5833","739.5833"
"7634","711.58075","711.58075","711.58075"
"7654","725.8908","725.8908","725.8908"
"7663","750","750","750"
"7691","750","750","750"
"7711","750","750","750"
"7728","636.7397","636.7397","636.7397"
"7748","750","750","750"
"7768","750","750","750"
"7785","618.89746","618.89746","618.89746"
"7805","747.0646","747.0646","747.0646"
"7825","750","750","750"
"7842","725.5065","725.5065","725.5065"
"7862","645.87006","645.87006","645.87006"
"7882","733.16113","733.16113","733.16113"
"7899","604.9793","604.9793","604.9793"
"7919","748.2532","748.2532","748.2532"
"7931","748.36176","748.36176","748.36176"
"7956","640.67145","640.67145","640.67145"
"7976","648.1991","648.1991","648.1991"
"7996","679.3016","679.3016","679.3016"
"8013","750","750","750"
"8033","507.98828","507.98828","507.98828"
"8053","747.71155","747.71155","747.71155"
"8076","706.65564","706.65564","706.65564"
"8096","708.89606","708.89606","708.89606"
"8121","745.03894","745.03894","745.03894"
"8141","750","750","750"
"8153","742.35236","742.35236","742.35236"
"8178","520.61334","520.61334","520.61334"
"8190","750","750","750"
"8218","750","750","750"
"8235","677.476","677.476","677.476"
"8255","746.71875","746.71875","746.71875"
"8275","750","750","750"
"8292","745","745","745"
"8312","750","750","750"
"8332","743.6607","743.6607","743.6607"
"8349","698.3544","698.3544","698.3544"
"8369","740.67804","740.67804","740.67804"
"8389","750","750","750"
"8406","719.03906","719.03906","719.03906"
"8426","750","750","750"
"8446","629.09326","629.09326","629.09326"
"8463","734.31476","734.31476","734.31476"
"8483","658.8912","658.8912","658.8912"
"8503","691.83075","691.83075","691.83075"
"8520","502.2724","502.2724","502.2724"
"8532","750","750","750"
"8552","667.3571","667.3571","667.3571"
"8577","737.0658","737.0658","737.0658"
"8597","750","750","750"
"8617","750","750","750"
"8634","747.8041","747.8041","747.8041"
"8654","713.27704","713.27704","713.27704"
"8674","750","750","750"
"8691","727.3776","727.3776","727.3776"
"8711","719.7083","719.7083","719.7083"
"8731","745.43097","745.43097","745.43097"
"8748","717.4646","717.4646","717.4646"
