"Step","Feb12_23-20-55_PPO - Episode / Total timesteps (mean)","Feb12_23-20-55_PPO - Episode / Total timesteps (mean)__MIN","Feb12_23-20-55_PPO - Episode / Total timesteps (mean)__MAX"
"16","36","36","36"
"36","71.45","71.45","71.45"
"53","97.31851","97.31851","97.31851"
"65","129.83916","129.83916","129.83916"
"82","156.31635","156.31635","156.31635"
"110","135.77136","135.77136","135.77136"
"122","129.58604","129.58604","129.58604"
"147","147.31372","147.31372","147.31372"
"159","158.49196","158.49196","158.49196"
"179","127.048706","127.048706","127.048706"
"196","177.06622","177.06622","177.06622"
"216","152.91957","152.91957","152.91957"
"236","147.9242","147.9242","147.9242"
"261","135.09898","135.09898","135.09898"
"273","149.08688","149.08688","149.08688"
"301","155.85416","155.85416","155.85416"
"318","137.96718","137.96718","137.96718"
"330","138.13452","138.13452","138.13452"
"350","145.74106","145.74106","145.74106"
"375","128.47195","128.47195","128.47195"
"395","182.59544","182.59544","182.59544"
"407","132.90512","132.90512","132.90512"
"424","136.51074","136.51074","136.51074"
"444","156.0364","156.0364","156.0364"
"472","173.5657","173.5657","173.5657"
"481","126.36366","126.36366","126.36366"
"501","125.39147","125.39147","125.39147"
"529","135.12782","135.12782","135.12782"
"546","135.99284","135.99284","135.99284"
"566","125.96065","125.96065","125.96065"
"578","137.69449","137.69449","137.69449"
"603","127.04782","127.04782","127.04782"
"623","133.24486","133.24486","133.24486"
"643","142.96475","142.96475","142.96475"
"660","121.81056","121.81056","121.81056"
"680","122.786316","122.786316","122.786316"
"700","145.28941","145.28941","145.28941"
"709","186.76233","186.76233","186.76233"
"737","139.73355","139.73355","139.73355"
"749","138.51793","138.51793","138.51793"
"774","137.03755","137.03755","137.03755"
"786","128.91483","128.91483","128.91483"
"806","123.69817","123.69817","123.69817"
"831","127.9649","127.9649","127.9649"
"843","156.18793","156.18793","156.18793"
"871","143.2896","143.2896","143.2896"
"880","154.97754","154.97754","154.97754"
"908","130.45406","130.45406","130.45406"
"928","126.69934","126.69934","126.69934"
"937","141.41402","141.41402","141.41402"
"965","154.28943","154.28943","154.28943"
"977","163.90529","163.90529","163.90529"
"994","138.79576","138.79576","138.79576"
"1014","114.651375","114.651375","114.651375"
"1034","156.37086","156.37086","156.37086"
"1051","122.1288","122.1288","122.1288"
"1071","132.21317","132.21317","132.21317"
"1099","122.925766","122.925766","122.925766"
"1108","130.58124","130.58124","130.58124"
"1128","129.91736","129.91736","129.91736"
"1148","130.05318","130.05318","130.05318"
"1173","109.65585","109.65585","109.65585"
"1193","131.68336","131.68336","131.68336"
"1205","142.45468","142.45468","142.45468"
"1222","127.95774","127.95774","127.95774"
"1250","134.11069","134.11069","134.11069"
"1262","145.28995","145.28995","145.28995"
"1287","120.4705","120.4705","120.4705"
"1307","127.82044","127.82044","127.82044"
"1327","130.36678","130.36678","130.36678"
"1336","131.10992","131.10992","131.10992"
"1356","126.41028","126.41028","126.41028"
"1376","135.52107","135.52107","135.52107"
"1401","158.34511","158.34511","158.34511"
"1413","130.60039","130.60039","130.60039"
"1433","130.47801","130.47801","130.47801"
"1458","127.753105","127.753105","127.753105"
