"Step","Feb12_23-20-55_PPO - Reward / Total reward (mean)","Feb12_23-20-55_PPO - Reward / Total reward (mean)__MIN","Feb12_23-20-55_PPO - Reward / Total reward (mean)__MAX"
"13","-0.6025675","-0.6025675","-0.6025675"
"33","-0.60290843","-0.60290843","-0.60290843"
"50","1.7939829","1.7939829","1.7939829"
"62","1.7160316","1.7160316","1.7160316"
"79","1.528198","1.528198","1.528198"
"107","1.6739656","1.6739656","1.6739656"
"119","1.6324804","1.6324804","1.6324804"
"144","1.444821","1.444821","1.444821"
"156","1.337457","1.337457","1.337457"
"176","1.7189987","1.7189987","1.7189987"
"193","1.6462182","1.6462182","1.6462182"
"213","1.5612282","1.5612282","1.5612282"
"233","1.6319494","1.6319494","1.6319494"
"258","1.6766373","1.6766373","1.6766373"
"270","1.6673251","1.6673251","1.6673251"
"298","1.6717901","1.6717901","1.6717901"
"315","1.3693043","1.3693043","1.3693043"
"327","1.6541164","1.6541164","1.6541164"
"347","1.6888158","1.6888158","1.6888158"
"372","1.7152994","1.7152994","1.7152994"
"392","1.6072165","1.6072165","1.6072165"
"404","1.6984973","1.6984973","1.6984973"
"421","1.7088017","1.7088017","1.7088017"
"441","1.6691496","1.6691496","1.6691496"
"469","1.5115806","1.5115806","1.5115806"
"478","1.5921246","1.5921246","1.5921246"
"498","1.5531921","1.5531921","1.5531921"
"526","1.5077435","1.5077435","1.5077435"
"543","1.6817589","1.6817589","1.6817589"
"563","1.6714411","1.6714411","1.6714411"
"575","1.2856385","1.2856385","1.2856385"
"600","1.634251","1.634251","1.634251"
"620","1.7101796","1.7101796","1.7101796"
"640","1.6872808","1.6872808","1.6872808"
"657","1.5622963","1.5622963","1.5622963"
"677","1.5082318","1.5082318","1.5082318"
"697","1.6879743","1.6879743","1.6879743"
"706","1.451689","1.451689","1.451689"
"734","1.6977402","1.6977402","1.6977402"
"746","1.6759701","1.6759701","1.6759701"
"771","1.6573123","1.6573123","1.6573123"
"783","1.4775373","1.4775373","1.4775373"
"803","1.4782457","1.4782457","1.4782457"
"828","1.4618205","1.4618205","1.4618205"
"840","1.5332918","1.5332918","1.5332918"
"868","1.5931975","1.5931975","1.5931975"
"877","1.4449478","1.4449478","1.4449478"
"905","1.6783261","1.6783261","1.6783261"
"925","1.4159634","1.4159634","1.4159634"
"934","1.7017746","1.7017746","1.7017746"
"962","1.5431399","1.5431399","1.5431399"
"974","1.6568836","1.6568836","1.6568836"
"991","1.5458585","1.5458585","1.5458585"
"1011","1.5262134","1.5262134","1.5262134"
"1031","1.5459704","1.5459704","1.5459704"
"1048","1.6016357","1.6016357","1.6016357"
"1068","1.6299745","1.6299745","1.6299745"
"1096","1.5160693","1.5160693","1.5160693"
"1105","1.5966598","1.5966598","1.5966598"
"1125","1.7251289","1.7251289","1.7251289"
"1145","1.4114684","1.4114684","1.4114684"
"1170","1.3894148","1.3894148","1.3894148"
"1190","1.6646816","1.6646816","1.6646816"
"1202","1.6842234","1.6842234","1.6842234"
"1219","1.5454761","1.5454761","1.5454761"
"1247","1.6655039","1.6655039","1.6655039"
"1259","1.6885213","1.6885213","1.6885213"
"1284","1.6186934","1.6186934","1.6186934"
"1304","1.6358837","1.6358837","1.6358837"
"1324","1.5603873","1.5603873","1.5603873"
"1333","1.5957693","1.5957693","1.5957693"
"1353","1.5481987","1.5481987","1.5481987"
"1373","1.621516","1.621516","1.621516"
"1398","1.4715116","1.4715116","1.4715116"
"1410","1.5962931","1.5962931","1.5962931"
"1430","1.4686952","1.4686952","1.4686952"
"1455","1.5282388","1.5282388","1.5282388"
"1475","1.6517844","1.6517844","1.6517844"
"1487","1.6344857","1.6344857","1.6344857"
"1504","1.407438","1.407438","1.407438"
"1532","1.6433192","1.6433192","1.6433192"
"1552","1.6904836","1.6904836","1.6904836"
"1561","1.6997595","1.6997595","1.6997595"
"1581","1.3200564","1.3200564","1.3200564"
"1601","1.6650552","1.6650552","1.6650552"
"1618","1.568054","1.568054","1.568054"
"1646","1.398382","1.398382","1.398382"
"1658","1.6753865","1.6753865","1.6753865"
"1675","1.5889456","1.5889456","1.5889456"
"1695","1.6593347","1.6593347","1.6593347"
"1715","1.289957","1.289957","1.289957"
"1732","1.5237004","1.5237004","1.5237004"
"1752","1.6408153","1.6408153","1.6408153"
"1780","1.482667","1.482667","1.482667"
"1789","1.4460287","1.4460287","1.4460287"
"1809","1.5570893","1.5570893","1.5570893"
"1829","1.5684938","1.5684938","1.5684938"
"1854","1.5681266","1.5681266","1.5681266"
"1866","1.1413245","1.1413245","1.1413245"
"1894","1.6765172","1.6765172","1.6765172"
"1911","1.4770995","1.4770995","1.4770995"
"1923","1.4246792","1.4246792","1.4246792"
"1943","1.4303968","1.4303968","1.4303968"
"1960","1.6086178","1.6086178","1.6086178"
"1980","1.6595864","1.6595864","1.6595864"
"2000","1.6646572","1.6646572","1.6646572"
"2025","1.5114518","1.5114518","1.5114518"
"2037","1.6742183","1.6742183","1.6742183"
"2057","1.6437162","1.6437162","1.6437162"
"2074","1.3711939","1.3711939","1.3711939"
"2102","1.5736188","1.5736188","1.5736188"
"2122","1.6845675","1.6845675","1.6845675"
"2139","1.4336722","1.4336722","1.4336722"
"2159","1.6362165","1.6362165","1.6362165"
"2171","1.6089371","1.6089371","1.6089371"
"2188","1.3669941","1.3669941","1.3669941"
"2216","1.6611608","1.6611608","1.6611608"
"2228","1.5690553","1.5690553","1.5690553"
"2253","1.5654911","1.5654911","1.5654911"
"2273","1.6414268","1.6414268","1.6414268"
"2285","1.4855893","1.4855893","1.4855893"
"2302","1.6928973","1.6928973","1.6928973"
"2330","1.4028153","1.4028153","1.4028153"
"2350","1.3721884","1.3721884","1.3721884"
"2359","1.6835997","1.6835997","1.6835997"
"2379","1.3349383","1.3349383","1.3349383"
"2407","1.2798139","1.2798139","1.2798139"
"2416","1.6913295","1.6913295","1.6913295"
"2436","1.6614908","1.6614908","1.6614908"
"2456","1.7079033","1.7079033","1.7079033"
"2481","1.5394173","1.5394173","1.5394173"
"2493","1.7047968","1.7047968","1.7047968"
"2513","0.9530678","0.9530678","0.9530678"
"2538","1.54012","1.54012","1.54012"
"2558","1.5280874","1.5280874","1.5280874"
"2570","1.5874206","1.5874206","1.5874206"
"2587","1.4776437","1.4776437","1.4776437"
"2607","1.4790181","1.4790181","1.4790181"
"2635","1.6187024","1.6187024","1.6187024"
"2652","1.6431683","1.6431683","1.6431683"
"2664","1.4965436","1.4965436","1.4965436"
"2684","1.6165601","1.6165601","1.6165601"
"2701","1.7055494","1.7055494","1.7055494"
"2729","1.6955197","1.6955197","1.6955197"
"2749","1.7053952","1.7053952","1.7053952"
"2766","1.6618462","1.6618462","1.6618462"
"2778","1.650227","1.650227","1.650227"
"2798","1.5790801","1.5790801","1.5790801"
"2823","1.6352324","1.6352324","1.6352324"
"2835","1.652889","1.652889","1.652889"
"2863","1.4871835","1.4871835","1.4871835"
"2872","1.5584894","1.5584894","1.5584894"
"2892","1.7099861","1.7099861","1.7099861"
"2912","1.7149662","1.7149662","1.7149662"
"2929","1.5807409","1.5807409","1.5807409"
"2949","1.7023752","1.7023752","1.7023752"
"2977","1.7177167","1.7177167","1.7177167"
"2986","1.5177939","1.5177939","1.5177939"
"3006","1.6632174","1.6632174","1.6632174"
"3034","1.7127758","1.7127758","1.7127758"
"3051","1.5652739","1.5652739","1.5652739"
"3063","1.6452516","1.6452516","1.6452516"
"3091","1.5799961","1.5799961","1.5799961"
"3100","1.5616231","1.5616231","1.5616231"
"3120","1.7022094","1.7022094","1.7022094"
"3140","1.5826241","1.5826241","1.5826241"
"3157","1.6667225","1.6667225","1.6667225"
"3185","1.6360946","1.6360946","1.6360946"
"3197","1.5917947","1.5917947","1.5917947"
"3222","1.582443","1.582443","1.582443"
"3234","1.3806142","1.3806142","1.3806142"
"3254","1.6727442","1.6727442","1.6727442"
"3271","1.5937582","1.5937582","1.5937582"
"3291","1.6206917","1.6206917","1.6206917"
"3319","1.6077316","1.6077316","1.6077316"
"3328","1.7043139","1.7043139","1.7043139"
"3348","1.391859","1.391859","1.391859"
"3368","1.4251136","1.4251136","1.4251136"
"3385","1.5383008","1.5383008","1.5383008"
"3405","1.6647893","1.6647893","1.6647893"
"3425","1.5064192","1.5064192","1.5064192"
"3442","1.6857667","1.6857667","1.6857667"
"3462","1.1530418","1.1530418","1.1530418"
"3482","1.6398883","1.6398883","1.6398883"
"3507","1.5223919","1.5223919","1.5223919"
"3527","1.5984006","1.5984006","1.5984006"
"3539","1.5817603","1.5817603","1.5817603"
"3556","1.672998","1.672998","1.672998"
"3584","1.5510418","1.5510418","1.5510418"
"3596","1.4883727","1.4883727","1.4883727"
"3621","1.6057312","1.6057312","1.6057312"
"3633","1.5731993","1.5731993","1.5731993"
"3661","1.5746619","1.5746619","1.5746619"
"3670","1.4505874","1.4505874","1.4505874"
"3698","1.4769745","1.4769745","1.4769745"
"3710","1.4065375","1.4065375","1.4065375"
"3727","1.4211195","1.4211195","1.4211195"
"3755","1.6870924","1.6870924","1.6870924"
"3767","1.5612864","1.5612864","1.5612864"
"3792","1.6335943","1.6335943","1.6335943"
"3804","1.5689492","1.5689492","1.5689492"
"3832","1.6740481","1.6740481","1.6740481"
"3849","1.5597595","1.5597595","1.5597595"
"3861","1.524224","1.524224","1.524224"
"3881","1.5171646","1.5171646","1.5171646"
"3906","1.2999963","1.2999963","1.2999963"
"3918","1.6424999","1.6424999","1.6424999"
"3938","1.5264994","1.5264994","1.5264994"
"3955","1.60952","1.60952","1.60952"
"3975","1.4822929","1.4822929","1.4822929"
"4003","1.2399249","1.2399249","1.2399249"
"4012","1.3758509","1.3758509","1.3758509"
"4040","1.6077945","1.6077945","1.6077945"
"4052","1.6325269","1.6325269","1.6325269"
"4069","1.5546074","1.5546074","1.5546074"
"4097","1.5898066","1.5898066","1.5898066"
"4109","1.4740084","1.4740084","1.4740084"
"4126","1.526565","1.526565","1.526565"
"4146","1.5582262","1.5582262","1.5582262"
"4174","1.3388888","1.3388888","1.3388888"
"4183","1.6206146","1.6206146","1.6206146"
"4203","1.6716999","1.6716999","1.6716999"
"4223","1.6596323","1.6596323","1.6596323"
"4248","1.6869671","1.6869671","1.6869671"
"4260","1.6680665","1.6680665","1.6680665"
"4280","1.5166485","1.5166485","1.5166485"
"4297","1.6799663","1.6799663","1.6799663"
"4325","1.0463274","1.0463274","1.0463274"
"4337","1.6647214","1.6647214","1.6647214"
"4362","1.5687917","1.5687917","1.5687917"
"4374","1.632256","1.632256","1.632256"
"4394","1.6551751","1.6551751","1.6551751"
"4419","1.5105573","1.5105573","1.5105573"
"4431","1.705467","1.705467","1.705467"
"4451","1.4961593","1.4961593","1.4961593"
