"Step","Feb13_21-58-41_PPO - Reward / Total reward (mean)","Feb13_21-58-41_PPO - Reward / Total reward (mean)__MIN","Feb13_21-58-41_PPO - Reward / Total reward (mean)__MAX"
"13","-0.5986214","-0.5986214","-0.5986214"
"30","-0.5987532","-0.5987532","-0.5987532"
"50","1.075066","1.075066","1.075066"
"62","1.6463127","1.6463127","1.6463127"
"87","1.5712571","1.5712571","1.5712571"
"99","1.7661301","1.7661301","1.7661301"
"119","1.7047197","1.7047197","1.7047197"
"144","1.6776707","1.6776707","1.6776707"
"164","1.7096473","1.7096473","1.7096473"
"176","1.4960328","1.4960328","1.4960328"
"193","1.4968872","1.4968872","1.4968872"
"213","1.4474738","1.4474738","1.4474738"
"241","1.7157902","1.7157902","1.7157902"
"250","1.6661594","1.6661594","1.6661594"
"270","1.7268568","1.7268568","1.7268568"
"298","1.7500905","1.7500905","1.7500905"
"315","1.7474388","1.7474388","1.7474388"
"327","1.661697","1.661697","1.661697"
"355","1.5082717","1.5082717","1.5082717"
"364","1.6469389","1.6469389","1.6469389"
"384","1.738425","1.738425","1.738425"
"404","1.6726613","1.6726613","1.6726613"
"421","1.6717284","1.6717284","1.6717284"
"449","1.7133181","1.7133181","1.7133181"
"469","1.6470515","1.6470515","1.6470515"
"486","1.6251673","1.6251673","1.6251673"
"498","1.45058","1.45058","1.45058"
"518","1.5572883","1.5572883","1.5572883"
"535","1.5569167","1.5569167","1.5569167"
"563","1.3630883","1.3630883","1.3630883"
"575","1.407779","1.407779","1.407779"
"592","1.6628225","1.6628225","1.6628225"
"612","1.6556921","1.6556921","1.6556921"
"640","1.673764","1.673764","1.673764"
"657","1.3206166","1.3206166","1.3206166"
"669","1.4264414","1.4264414","1.4264414"
"689","1.6792852","1.6792852","1.6792852"
"706","1.5475082","1.5475082","1.5475082"
"726","1.5077276","1.5077276","1.5077276"
"754","1.4740814","1.4740814","1.4740814"
"771","1.6390576","1.6390576","1.6390576"
"783","1.6701652","1.6701652","1.6701652"
"803","1.7561014","1.7561014","1.7561014"
"828","1.7072947","1.7072947","1.7072947"
"840","1.6428195","1.6428195","1.6428195"
"868","1.7084966","1.7084966","1.7084966"
"885","1.731621","1.731621","1.731621"
"905","1.7547481","1.7547481","1.7547481"
