"Step","Feb13_16-07-32_PPO - Reward / Total reward (mean)","Feb13_16-07-32_PPO - Reward / Total reward (mean)__MIN","Feb13_16-07-32_PPO - Reward / Total reward (mean)__MAX"
"2652","1.5916086","1.5916086","1.5916086"
"2672","1.761661","1.761661","1.761661"
"2684","1.5876282","1.5876282","1.5876282"
"2709","1.6750506","1.6750506","1.6750506"
"2721","1.4727858","1.4727858","1.4727858"
"2741","1.7431418","1.7431418","1.7431418"
"2758","1.738586","1.738586","1.738586"
"2778","1.6399602","1.6399602","1.6399602"
"2798","1.4687185","1.4687185","1.4687185"
"2815","1.5899527","1.5899527","1.5899527"
"2835","1.6178509","1.6178509","1.6178509"
"2855","1.5933518","1.5933518","1.5933518"
"2880","1.7382189","1.7382189","1.7382189"
"2892","1.6385219","1.6385219","1.6385219"
"2912","1.624594","1.624594","1.624594"
"2929","1.6685786","1.6685786","1.6685786"
"2949","1.7285601","1.7285601","1.7285601"
"2969","1.7307531","1.7307531","1.7307531"
"2986","1.6872286","1.6872286","1.6872286"
"3006","1.4725492","1.4725492","1.4725492"
"3026","1.2926991","1.2926991","1.2926991"
"3043","1.7362471","1.7362471","1.7362471"
"3063","1.7351092","1.7351092","1.7351092"
"3083","1.6510285","1.6510285","1.6510285"
"3108","1.5005503","1.5005503","1.5005503"
"3120","1.3817978","1.3817978","1.3817978"
"3148","1.7612367","1.7612367","1.7612367"
"3157","1.6589037","1.6589037","1.6589037"
"3177","1.3655491","1.3655491","1.3655491"
"3205","1.5954078","1.5954078","1.5954078"
"3214","1.5747668","1.5747668","1.5747668"
"3234","1.5256523","1.5256523","1.5256523"
"3254","1.5456775","1.5456775","1.5456775"
"3271","1.681968","1.681968","1.681968"
"3291","1.5734707","1.5734707","1.5734707"
"3319","1.5075151","1.5075151","1.5075151"
"3328","1.6726421","1.6726421","1.6726421"
"3356","1.4723015","1.4723015","1.4723015"
"3368","1.6585946","1.6585946","1.6585946"
"3393","1.6877564","1.6877564","1.6877564"
"3405","1.7601919","1.7601919","1.7601919"
"3425","1.6804873","1.6804873","1.6804873"
"3442","1.7022291","1.7022291","1.7022291"
"3462","1.3550016","1.3550016","1.3550016"
"3490","1.6578356","1.6578356","1.6578356"
"3499","1.4088056","1.4088056","1.4088056"
"3519","1.7032999","1.7032999","1.7032999"
"3539","1.6433102","1.6433102","1.6433102"
"3556","1.4252431","1.4252431","1.4252431"
"3576","1.391268","1.391268","1.391268"
"3604","1.7517856","1.7517856","1.7517856"
"3621","1.6178902","1.6178902","1.6178902"
"3633","1.7476913","1.7476913","1.7476913"
"3653","1.5910474","1.5910474","1.5910474"
"3670","1.545079","1.545079","1.545079"
"3690","1.7087585","1.7087585","1.7087585"
"3710","1.5788616","1.5788616","1.5788616"
"3735","1.6315447","1.6315447","1.6315447"
"3755","1.6226838","1.6226838","1.6226838"
"3775","1.5263135","1.5263135","1.5263135"
"3784","1.1985074","1.1985074","1.1985074"
"3804","1.6678143","1.6678143","1.6678143"
"3824","1.3065807","1.3065807","1.3065807"
"3841","1.5396783","1.5396783","1.5396783"
"3861","1.040688","1.040688","1.040688"
"3881","1.6947161","1.6947161","1.6947161"
"3906","1.460259","1.460259","1.460259"
"3926","1.4102665","1.4102665","1.4102665"
"3938","1.5209463","1.5209463","1.5209463"
"3955","1.5189224","1.5189224","1.5189224"
"3983","1.4672128","1.4672128","1.4672128"
"3995","1.57101","1.57101","1.57101"
"4020","1.1230233","1.1230233","1.1230233"
"4040","1.4046626","1.4046626","1.4046626"
"4060","1.4960269","1.4960269","1.4960269"
"4077","1.4701946","1.4701946","1.4701946"
"4089","1.4887773","1.4887773","1.4887773"
"4109","1.1015313","1.1015313","1.1015313"
"4126","1.5697051","1.5697051","1.5697051"
"4146","1.4633131","1.4633131","1.4633131"
"4166","1.6368666","1.6368666","1.6368666"
"4183","1.6787585","1.6787585","1.6787585"
"4211","1.6912767","1.6912767","1.6912767"
