elapsed_s,r0_speed,r0_distance,r0_x,r0_y,r1_speed,r1_distance,r1_x,r1_y
191.402,0.5808,11.5176,164.8847,84.2538,0.4946,56.2502,48.9235,123.4706
191.502,0.5517,11.5176,164.8847,84.2538,0.4699,56.2502,48.9235,123.4706
191.602,0.5241,11.5176,164.8847,84.2538,0.4464,56.2502,48.9235,123.4706
191.702,0.6145,11.5176,165.0087,84.4492,0.4464,56.2502,48.9235,123.4706
191.802,0.5838,11.2982,165.0087,84.4492,0.4817,56.0584,49.0849,123.3625
191.902,0.5838,11.2982,165.0087,84.4492,0.4817,56.0584,49.0849,123.3625
192.002,0.5268,11.2982,165.0087,84.4492,0.4347,56.0584,49.0849,123.3625
192.102,0.6189,11.2982,165.1141,84.6766,0.5042,56.0584,49.2403,123.2495
192.202,0.588,11.0738,165.1141,84.6766,0.479,55.87,49.2403,123.2495
192.302,0.5586,11.0738,165.1141,84.6766,0.455,55.87,49.2403,123.2495
192.402,0.5586,11.0738,165.1141,84.6766,0.455,55.87,49.2403,123.2495
192.502,0.665,10.8524,165.2097,84.9138,0.5301,55.6923,49.3733,123.1133
192.602,0.6317,10.8524,165.2097,84.9138,0.5036,55.6923,49.3733,123.1133
192.702,0.6001,10.8524,165.2097,84.9138,0.4784,55.6923,49.3733,123.1133
192.802,0.5701,10.8524,165.2097,84.9138,0.4545,55.6923,49.3733,123.1133
192.902,0.6671,10.627,165.3192,85.1417,0.5218,55.5325,49.4827,122.9683
193.002,0.6671,10.627,165.3192,85.1417,0.5218,55.5325,49.4827,122.9683
193.102,0.602,10.627,165.3192,85.1417,0.4709,55.5325,49.4827,122.9683
193.202,0.5719,10.627,165.3192,85.1417,0.4474,55.5325,49.4827,122.9683
193.302,0.6596,10.4016,165.4449,85.35,0.5191,55.3645,49.5954,122.8103
193.402,0.6266,10.4016,165.4449,85.35,0.4932,55.3645,49.5954,122.8103
193.502,0.5953,10.4016,165.4449,85.35,0.4685,55.3645,49.5954,122.8103
193.602,0.6849,10.1729,165.5866,85.5434,0.5567,55.1689,49.7282,122.6295
193.702,0.6506,10.1729,165.5866,85.5434,0.5289,55.1689,49.7282,122.6295
193.802,0.6181,10.1729,165.5866,85.5434,0.5025,55.1689,49.7282,122.6295
193.902,0.5872,10.1729,165.5866,85.5434,0.4773,55.1689,49.7282,122.6295
194.003,0.6741,9.9474,165.7362,85.7209,0.5613,54.9763,49.8642,122.4623
194.102,0.6404,9.9474,165.7362,85.7209,0.5333,54.9763,49.8642,122.4623
194.202,0.6404,9.9474,165.7362,85.7209,0.5333,54.9763,49.8642,122.4623
194.302,0.7164,9.7152,165.8928,85.901,0.5987,54.7852,50.0112,122.3232
194.402,0.6806,9.7152,165.8928,85.901,0.5688,54.7852,50.0112,122.3232
194.502,0.6465,9.7152,165.8928,85.901,0.5403,54.7852,50.0112,122.3232
194.602,0.7263,9.4854,166.0507,86.0754,0.6178,54.5709,50.1886,122.195
194.702,0.7263,9.4854,166.0507,86.0754,0.6178,54.5709,50.1886,122.195
194.803,0.6555,9.4854,166.0507,86.0754,0.5576,54.5709,50.1886,122.195
194.902,0.6227,9.4854,166.0507,86.0754,0.5297,54.5709,50.1886,122.195
195.002,0.7118,9.264,166.2076,86.2372,0.6235,54.3473,50.3849,122.0863
195.102,0.6762,9.264,166.2076,86.2372,0.5923,54.3473,50.3849,122.0863
195.202,0.6424,9.264,166.2076,86.2372,0.5627,54.3473,50.3849,122.0863
195.302,0.6103,9.264,166.2076,86.2372,0.5346,54.3473,50.3849,122.0863
195.402,0.6939,9.041,166.3679,86.3974,0.6156,54.1358,50.5747,121.9924
195.502,0.6592,9.041,166.3679,86.3974,0.5848,54.1358,50.5747,121.9924
195.602,0.6263,9.041,166.3679,86.3974,0.5556,54.1358,50.5747,121.9924
195.702,0.595,9.041,166.3679,86.3974,0.5278,54.1358,50.5747,121.9924
195.802,0.6754,9.041,166.5162,86.5597,0.6041,54.1358,50.7652,121.9176
195.902,0.6416,8.8268,166.5162,86.5597,0.5739,53.9314,50.7652,121.9176
196.002,0.6095,8.8268,166.5162,86.5597,0.5452,53.9314,50.7652,121.9176
196.102,0.6095,8.8268,166.5162,86.5597,0.5452,53.9314,50.7652,121.9176
196.202,0.6453,8.6055,166.661,86.7404,0.582,53.7128,50.974,121.8493
196.302,0.613,8.6055,166.661,86.7404,0.5529,53.7128,50.974,121.8493
196.402,0.5824,8.6055,166.661,86.7404,0.5253,53.7128,50.974,121.8493
196.502,0.6734,8.3871,166.7983,86.9281,0.619,53.4823,51.1962,121.7815
196.602,0.6397,8.3871,166.7983,86.9281,0.588,53.4823,51.1962,121.7815
196.702,0.6077,8.3871,166.7983,86.9281,0.5586,53.4823,51.1962,121.7815
196.802,0.6938,8.1655,166.9415,87.1143,0.6468,53.2495,51.4178,121.7067
196.902,0.6938,8.1655,166.9415,87.1143,0.6468,53.2495,51.4178,121.7067
197.002,0.6262,8.1655,166.9415,87.1143,0.5837,53.2495,51.4178,121.7067
197.102,0.5949,8.1655,166.9415,87.1143,0.5545,53.2495,51.4178,121.7067
197.202,0.6835,7.9424,167.0868,87.3011,0.6415,53.0218,51.6368,121.6384
197.302,0.6493,7.9424,167.0868,87.3011,0.6095,53.0218,51.6368,121.6384
197.402,0.6169,7.9424,167.0868,87.3011,0.579,53.0218,51.6368,121.6384
197.502,0.6905,7.7255,167.2337,87.4751,0.6548,52.796,51.8572,121.5782
197.602,0.656,7.7255,167.2337,87.4751,0.6221,52.796,51.8572,121.5782
197.702,0.6232,7.7255,167.2337,87.4751,0.591,52.796,51.8572,121.5782
197.802,0.6989,7.5202,167.3799,87.6291,0.6671,52.5888,52.0614,121.5271
197.902,0.664,7.5202,167.3799,87.6291,0.6338,52.5888,52.0614,121.5271
198.002,0.6308,7.5202,167.3799,87.6291,0.6021,52.5888,52.0614,121.5271
198.102,0.699,7.3185,167.5281,87.7739,0.6702,52.3872,52.2578,121.4723
198.202,0.699,7.3185,167.5281,87.7739,0.6702,52.3872,52.2578,121.4723
198.302,0.6309,7.3185,167.5281,87.7739,0.6048,52.3872,52.2578,121.4723
198.402,0.5993,7.3185,167.5281,87.7739,0.5746,52.3872,52.2578,121.4723
198.502,0.6662,7.129,167.6714,87.9035,0.6454,52.1887,52.4434,121.4007
198.602,0.6329,7.129,167.6714,87.9035,0.6132,52.1887,52.4434,121.4007
198.702,0.6012,7.129,167.6714,87.9035,0.5825,52.1887,52.4434,121.4007
198.802,0.6012,7.129,167.6714,87.9035,0.5825,52.1887,52.4434,121.4007
198.902,0.6201,6.9507,167.8051,88.0277,0.6195,51.9685,52.6369,121.2943
199.002,0.5891,6.9507,167.8051,88.0277,0.5885,51.9685,52.6369,121.2943
199.102,0.6526,6.9507,167.9462,88.1506,0.6696,51.9685,52.8177,121.1645
199.202,0.6199,6.7669,167.9462,88.1506,0.6361,51.7503,52.8177,121.1645
199.302,0.5889,6.7669,167.9462,88.1506,0.6043,51.7503,52.8177,121.1645
199.405,0.5595,6.7669,167.9462,88.1506,0.5741,51.7503,52.8177,121.1645
199.502,0.6206,6.5926,168.0794,88.2685,0.6599,51.5289,52.9961,121.0212
199.602,0.5896,6.5926,168.0794,88.2685,0.6269,51.5289,52.9961,121.0212
199.702,0.5601,6.5926,168.0794,88.2685,0.5955,51.5289,52.9961,121.0212
199.802,0.6193,6.4231,168.2068,88.3872,0.6809,51.3068,53.1732,120.8733
199.902,0.5883,6.4231,168.2068,88.3872,0.6469,51.3068,53.1732,120.8733
200.002,0.5589,6.4231,168.2068,88.3872,0.6145,51.3068,53.1732,120.8733
200.102,0.5589,6.4231,168.2068,88.3872,0.6145,51.3068,53.1732,120.8733
200.202,0.5781,6.2522,168.3404,88.4984,0.6496,51.0914,53.3464,120.7331
200.302,0.5492,6.2522,168.3404,88.4984,0.6171,51.0914,53.3464,120.7331
200.402,0.5217,6.2522,168.3404,88.4984,0.5862,51.0914,53.3464,120.7331
200.502,0.5867,6.062,168.498,88.6064,0.6605,50.8793,53.5219,120.6058
200.603,0.5573,6.062,168.498,88.6064,0.6275,50.8793,53.5219,120.6058
200.702,0.5295,6.062,168.498,88.6064,0.5961,50.8793,53.5219,120.6058
200.802,0.6017,5.8636,168.6636,88.7169,0.6734,50.6654,53.701,120.4818
200.902,0.5716,5.8636,168.6636,88.7169,0.6397,50.6654,53.701,120.4818
201.002,0.5716,5.8636,168.6636,88.7169,0.6397,50.6654,53.701,120.4818
201.102,0.5159,5.8636,168.6636,88.7169,0.5773,50.6654,53.701,120.4818
201.202,0.5975,5.6475,168.8474,88.8312,0.6583,50.4491,53.8795,120.3508
201.302,0.5676,5.6475,168.8474,88.8312,0.6254,50.4491,53.8795,120.3508
201.402,0.5392,5.6475,168.8474,88.8312,0.5941,50.4491,53.8795,120.3508
201.502,0.5123,5.6475,168.8474,88.8312,0.5644,50.4491,53.8795,120.3508
201.602,0.5945,5.433,169.0267,88.9505,0.6436,50.2362,54.0582,120.2287
201.702,0.5648,5.433,169.0267,88.9505,0.6115,50.2362,54.0582,120.2287
201.802,0.5366,5.433,169.0267,88.9505,0.5809,50.2362,54.0582,120.2287
201.902,0.6127,5.2302,169.1954,89.0648,0.6684,50.0108,54.2517,120.1091
202.002,0.6127,5.2302,169.1954,89.0648,0.6684,50.0108,54.2517,120.1091
202.102,0.5529,5.2302,169.1954,89.0648,0.6032,50.0108,54.2517,120.1091
202.202,0.5253,5.2302,169.1954,89.0648,0.5731,50.0108,54.2517,120.1091
202.302,0.6005,5.0415,169.3562,89.1642,0.6711,49.7772,54.4517,119.9835
