"Step","Feb26_10-47-04_trpo_rover_TRPO - Loss / Policy loss","Feb26_10-47-04_trpo_rover_TRPO - Loss / Policy loss__MIN","Feb26_10-47-04_trpo_rover_TRPO - Loss / Policy loss__MAX"
"3064","3.973643e-9","3.973643e-9","3.973643e-9"
"3102","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"3123","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"3161","3.973643e-9","3.973643e-9","3.973643e-9"
"3182","2.1855037e-8","2.1855037e-8","2.1855037e-8"
"3220","1.9868216e-8","1.9868216e-8","1.9868216e-8"
"3241","1.5894573e-8","1.5894573e-8","1.5894573e-8"
"3279","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"3300","5.960465e-9","5.960465e-9","5.960465e-9"
"3338","1.5894573e-8","1.5894573e-8","1.5894573e-8"
"3359","5.960465e-9","5.960465e-9","5.960465e-9"
"3397","9.934108e-10","9.934108e-10","9.934108e-10"
"3418","1.192093e-8","1.192093e-8","1.192093e-8"
"3456","-1.04308135e-8","-1.04308135e-8","-1.04308135e-8"
"3477","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"3515","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"3536","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"3574","7.947286e-9","7.947286e-9","7.947286e-9"
"3595","1.3907751e-8","1.3907751e-8","1.3907751e-8"
"3633","-9.934108e-10","-9.934108e-10","-9.934108e-10"
"3654","0","0","0"
"3692","7.947286e-9","7.947286e-9","7.947286e-9"
"3713","3.973643e-9","3.973643e-9","3.973643e-9"
"3751","7.947286e-9","7.947286e-9","7.947286e-9"
"3772","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"3810","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"3831","-1.8874806e-8","-1.8874806e-8","-1.8874806e-8"
"3869","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"3890","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"3928","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"3949","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"3987","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"4008","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"4046","1.7881394e-8","1.7881394e-8","1.7881394e-8"
"4067","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"4105","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"4126","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"4164","-1.2914341e-8","-1.2914341e-8","-1.2914341e-8"
"4185","1.7881394e-8","1.7881394e-8","1.7881394e-8"
"4223","3.973643e-9","3.973643e-9","3.973643e-9"
"4244","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"4282","-1.1424224e-8","-1.1424224e-8","-1.1424224e-8"
"4303","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"4341","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"4362","-1.7881394e-8","-1.7881394e-8","-1.7881394e-8"
"4400","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"4421","5.960465e-9","5.960465e-9","5.960465e-9"
"4459","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"4480","1.5894573e-8","1.5894573e-8","1.5894573e-8"
"4518","-2.384186e-8","-2.384186e-8","-2.384186e-8"
"4539","0","0","0"
"4577","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"4598","0","0","0"
"4636","2.1855037e-8","2.1855037e-8","2.1855037e-8"
"4657","-6.9538757e-9","-6.9538757e-9","-6.9538757e-9"
"4695","3.973643e-9","3.973643e-9","3.973643e-9"
"4716","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"4754","1.192093e-8","1.192093e-8","1.192093e-8"
"4775","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"4813","3.973643e-9","3.973643e-9","3.973643e-9"
"4834","-9.934108e-10","-9.934108e-10","-9.934108e-10"
"4872","1.192093e-8","1.192093e-8","1.192093e-8"
"4893","-1.9868216e-8","-1.9868216e-8","-1.9868216e-8"
"4931","-1.2914341e-8","-1.2914341e-8","-1.2914341e-8"
"4952","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"4990","7.947286e-9","7.947286e-9","7.947286e-9"
"5011","7.947286e-9","7.947286e-9","7.947286e-9"
"5049","0","0","0"
"5070","8.940697e-9","8.940697e-9","8.940697e-9"
"5108","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"5129","-8.940697e-9","-8.940697e-9","-8.940697e-9"
"5167","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"5188","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"5226","1.3907751e-8","1.3907751e-8","1.3907751e-8"
"5247","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"5285","3.973643e-9","3.973643e-9","3.973643e-9"
"5306","-2.384186e-8","-2.384186e-8","-2.384186e-8"
"5344","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"5365","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"5403","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"5424","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"5462","1.7881394e-8","1.7881394e-8","1.7881394e-8"
"5483","-1.2914341e-8","-1.2914341e-8","-1.2914341e-8"
"5521","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"5542","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"5580","3.973643e-9","3.973643e-9","3.973643e-9"
"5601","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"5639","-2.384186e-8","-2.384186e-8","-2.384186e-8"
"5660","7.947286e-9","7.947286e-9","7.947286e-9"
"5698","-2.9802322e-8","-2.9802322e-8","-2.9802322e-8"
"5719","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"5757","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"5778","7.947286e-9","7.947286e-9","7.947286e-9"
"5816","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"5837","7.947286e-9","7.947286e-9","7.947286e-9"
"5875","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"5896","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"5934","-8.940697e-9","-8.940697e-9","-8.940697e-9"
"5955","5.960465e-9","5.960465e-9","5.960465e-9"
"5993","0","0","0"
"6014","9.934108e-10","9.934108e-10","9.934108e-10"
"6052","2.9802325e-9","2.9802325e-9","2.9802325e-9"
"6073","-8.940697e-9","-8.940697e-9","-8.940697e-9"
"6111","-2.384186e-8","-2.384186e-8","-2.384186e-8"
"6132","-2.7815503e-8","-2.7815503e-8","-2.7815503e-8"
"6170","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"6191","2.384186e-8","2.384186e-8","2.384186e-8"
