"Step","Feb24_22-53-44_trpo_rover_TRPO - Loss / Policy loss","Feb24_22-53-44_trpo_rover_TRPO - Loss / Policy loss__MIN","Feb24_22-53-44_trpo_rover_TRPO - Loss / Policy loss__MAX"
"28","1.3311704e-7","1.3311704e-7","1.3311704e-7"
"55","1.2516976e-7","1.2516976e-7","1.2516976e-7"
"93","8.145969e-8","8.145969e-8","8.145969e-8"
"114","1.3162693e-7","1.3162693e-7","1.3162693e-7"
"152","-2.5828681e-8","-2.5828681e-8","-2.5828681e-8"
"173","2.384186e-8","2.384186e-8","2.384186e-8"
"211","2.0861627e-8","2.0861627e-8","2.0861627e-8"
"232","1.5894573e-8","1.5894573e-8","1.5894573e-8"
"270","1.5894573e-8","1.5894573e-8","1.5894573e-8"
"291","8.543333e-8","8.543333e-8","8.543333e-8"
"329","2.9802322e-8","2.9802322e-8","2.9802322e-8"
"350","2.384186e-8","2.384186e-8","2.384186e-8"
"388","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"409","4.0729844e-8","4.0729844e-8","4.0729844e-8"
"447","7.947286e-9","7.947286e-9","7.947286e-9"
"468","-2.9802325e-9","-2.9802325e-9","-2.9802325e-9"
"506","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"527","3.1789146e-8","3.1789146e-8","3.1789146e-8"
"565","1.192093e-8","1.192093e-8","1.192093e-8"
"586","2.2848448e-8","2.2848448e-8","2.2848448e-8"
"624","3.1789146e-8","3.1789146e-8","3.1789146e-8"
"645","9.934108e-9","9.934108e-9","9.934108e-9"
"683","3.0795736e-8","3.0795736e-8","3.0795736e-8"
"704","9.934108e-10","9.934108e-10","9.934108e-10"
"742","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"763","2.1855037e-8","2.1855037e-8","2.1855037e-8"
"801","6.357829e-8","6.357829e-8","6.357829e-8"
"822","2.8312208e-8","2.8312208e-8","2.8312208e-8"
"860","6.953876e-8","6.953876e-8","6.953876e-8"
"881","7.947286e-9","7.947286e-9","7.947286e-9"
"919","2.483527e-8","2.483527e-8","2.483527e-8"
"940","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"978","-9.934108e-10","-9.934108e-10","-9.934108e-10"
"999","3.1789146e-8","3.1789146e-8","3.1789146e-8"
"1037","1.192093e-8","1.192093e-8","1.192093e-8"
"1058","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"1096","-6.9538757e-9","-6.9538757e-9","-6.9538757e-9"
